# vel[cm/s]  width[Hz], freq[Hz], drive[A], fit
  0.000088 -141.115736 1575.150988 1.914136e-11 0
  0.002306  11.101151 1593.767237 3.828271e-11 0
  0.003976   9.883625 1593.775396 5.742407e-11 0
  0.005724   9.114326 1593.347370 7.656542e-11 0
  0.008043   8.146743 1593.351388 9.570678e-11 0
  0.009774   8.044541 1593.287439 1.148481e-10 0
  0.012028   7.627254 1593.244835 1.339895e-10 1
  0.014308   7.328119 1593.256384 1.531308e-10 1
  0.016386   7.198488 1593.268933 1.722722e-10 1
  0.018389   7.127182 1593.275051 1.914136e-10 1
  0.021581   6.680479 1593.264043 2.105549e-10 1
  0.024116   6.521475 1593.276715 2.296963e-10 1
  0.026318   6.473888 1593.271225 2.488376e-10 1
  0.029681   6.182009 1593.283814 2.679790e-10 1
  0.033071   5.944543 1593.262126 2.871203e-10 1
  0.036526   5.741032 1593.272038 3.062617e-10 1
  0.040025   5.566744 1593.277044 3.254030e-10 1
  0.043928   5.370454 1593.283874 3.445444e-10 1
  0.048267   5.159176 1593.294062 3.636858e-10 1
  0.052850   4.959745 1593.285123 3.828271e-10 1
  0.057493   4.787237 1593.277946 4.019685e-10 1
  0.062377   4.622417 1593.290437 4.211098e-10 1
  0.067290   4.479772 1593.299374 4.402512e-10 1
  0.073066   4.305039 1593.293234 4.593925e-10 1
  0.078461   4.175958 1593.279118 4.785339e-10 1
  0.083977   4.057714 1593.263359 4.976752e-10 1
  0.089703   3.944755 1593.245305 5.168166e-10 1
  0.096453   3.804675 1593.234523 5.359579e-10 1
  0.102228   3.717594 1593.206434 5.550993e-10 1
  0.108709   3.616642 1593.182950 5.742407e-10 1
  0.115568   3.515030 1593.149102 5.933820e-10 1
  0.121142   3.461621 1593.119885 6.125234e-10 1
  0.127967   3.379038 1593.081897 6.316647e-10 1
  0.134293   3.317355 1593.042812 6.508061e-10 1
  0.139823   3.279464 1592.996114 6.699474e-10 1
  0.145763   3.235389 1592.944749 6.890888e-10 1
  0.152037   3.187611 1592.887734 7.082301e-10 1
  0.157283   3.164861 1592.835662 7.273715e-10 1
  0.162753   3.138267 1592.773892 7.465129e-10 1
  0.168974   3.099732 1592.706924 7.656542e-10 1
  0.173477   3.095221 1592.645849 7.847956e-10 0
  0.176821   3.111079 1592.588827 8.039369e-10 0
  0.176602   3.190748 1592.561204 8.230783e-10 0
  0.176974   3.258197 1592.536379 8.422196e-10 0
  0.177445   3.323473 1592.513386 8.613610e-10 0
  0.177487   3.396689 1592.497555 8.805023e-10 0
  0.177343   3.473330 1592.479761 8.996437e-10 0
  0.177430   3.545543 1592.465293 9.187851e-10 0
  0.177242   3.623289 1592.453305 9.379264e-10 0
  0.177794   3.685634 1592.434267 9.570678e-10 0
  0.177397   3.767833 1592.418455 9.762091e-10 0
  0.177705   3.835116 1592.406430 9.953505e-10 0
  0.178027   3.901825 1592.397867 1.014492e-09 0
  0.178010   3.975815 1592.389325 1.033633e-09 0
  0.178258   4.043792 1592.377214 1.052775e-09 0
  0.178011   4.123036 1592.365539 1.071916e-09 0
  0.178496   4.185278 1592.356831 1.091057e-09 0
  0.178719   4.253410 1592.353729 1.110199e-09 0
  0.178465   4.332863 1592.342434 1.129340e-09 0
  0.178872   4.396252 1592.329517 1.148481e-09 0
  0.179088   4.464193 1592.325444 1.167623e-09 0
  0.178952   4.540828 1592.319595 1.186764e-09 0
  0.179120   4.609750 1592.318968 1.205905e-09 0
  0.179173   4.681442 1592.303934 1.225047e-09 0
  0.179477   4.746610 1592.299512 1.244188e-09 0
  0.180067   4.803837 1592.290123 1.263330e-09 0
  0.179980   4.878968 1592.281079 1.282471e-09 0
  0.179949   4.952638 1592.271738 1.301612e-09 0
  0.180408   5.012701 1592.263033 1.320754e-09 0
  0.180506   5.082589 1592.253731 1.339895e-09 0
  0.180731   5.076269 1592.251634 1.339895e-09 0
