# vel[cm/s]  width[Hz], freq[Hz], drive[A], fit
  0.000768 146.629431 1547.790106 2.236804e-10 0
  0.002759  24.611414 1591.812205 4.473608e-10 0
  0.006311  72.428490 1593.720018 6.710412e-10 0
  0.009606  63.707644 1592.911192 8.947216e-10 0
  0.012379  61.785412 1591.725045 1.118402e-09 1
  0.015274  60.136236 1591.625008 1.342082e-09 1
  0.018723  57.232336 1591.532115 1.565763e-09 1
  0.021906  55.900019 1591.088037 1.789443e-09 1
  0.025900  53.171761 1591.852281 2.013124e-09 1
  0.030181  50.720946 1591.616011 2.236804e-09 1
  0.034006  49.517980 1591.533214 2.460485e-09 1
  0.038866  47.264740 1591.596018 2.684165e-09 1
  0.044544  44.676617 1591.609103 2.907845e-09 1
  0.050397  42.523776 1591.698391 3.131526e-09 1
  0.056200  40.858546 1591.607118 3.355206e-09 1
  0.063764  38.409950 1591.712750 3.578887e-09 1
  0.071407  36.441276 1591.852699 3.802567e-09 1
  0.079517  34.652714 1591.781411 4.026247e-09 1
  0.088693  32.792293 1591.801307 4.249928e-09 1
  0.098526  31.073538 1591.796616 4.473608e-09 1
  0.108916  29.514952 1591.773554 4.697289e-09 1
  0.120117  28.038060 1591.652582 4.920969e-09 1
  0.131587  26.756800 1591.609483 5.144649e-09 1
  0.142783  25.731213 1591.522427 5.368330e-09 1
  0.154679  24.742092 1591.395973 5.592010e-09 1
  0.166273  23.937531 1591.267727 5.815691e-09 1
  0.174790  23.646583 1591.066964 6.039371e-09 0
  0.176058  24.346196 1590.928721 6.263051e-09 0
  0.177300  25.038800 1590.849877 6.486732e-09 0
  0.178136  25.780785 1590.758963 6.710412e-09 0
  0.179394  26.453479 1590.628141 6.934093e-09 0
  0.179799  27.245307 1590.507499 7.157773e-09 0
  0.180647  27.964816 1590.368100 7.381454e-09 0
  0.180864  28.777566 1590.199579 7.605134e-09 0
  0.181202  29.568757 1590.091514 7.828814e-09 0
  0.181785  30.316088 1589.986580 8.052495e-09 0
  0.182314  31.067179 1589.944565 8.276175e-09 0
  0.182727  31.834137 1589.943032 8.499856e-09 0
  0.182924  32.637678 1589.875173 8.723536e-09 0
  0.183468  33.375144 1589.827989 8.947216e-09 0
  0.183573  34.190287 1589.734516 9.170897e-09 0
  0.184461  34.855478 1589.658545 9.394577e-09 0
  0.184697  35.639647 1589.592685 9.618258e-09 0
  0.185186  36.372035 1589.558192 9.841938e-09 0
  0.185454  37.145377 1589.468985 1.006562e-08 0
  0.185417  37.978030 1589.421499 1.028930e-08 0
  0.186148  38.651613 1589.317359 1.051298e-08 0
  0.186701  39.357097 1589.196312 1.073666e-08 0
  0.186770  40.162033 1589.122633 1.096034e-08 0
  0.187257  40.875184 1588.995587 1.118402e-08 0
  0.187285  41.686364 1588.929137 1.140770e-08 0
  0.187531  42.448210 1588.839800 1.163138e-08 0
  0.188455  43.052083 1588.786610 1.185506e-08 0
  0.189063  43.723604 1588.705458 1.207874e-08 0
  0.189725  44.377795 1588.602558 1.230242e-08 0
  0.190085  45.099256 1588.524461 1.252610e-08 0
  0.191405  45.587937 1588.448397 1.274978e-08 0
  0.191590  46.342935 1588.314795 1.297346e-08 0
  0.191950  47.053419 1588.252588 1.319714e-08 0
  0.192983  47.595040 1588.153358 1.342082e-08 0
  0.193598  48.234159 1587.972441 1.364451e-08 0
  0.194449  48.810551 1587.850993 1.386819e-08 0
  0.194987  49.461136 1587.782900 1.409187e-08 0
  0.195114  50.213363 1587.703162 1.431555e-08 0
  0.196334  50.680986 1587.586755 1.453923e-08 0
  0.196845  51.327149 1587.456926 1.476291e-08 0
  0.197660  51.890080 1587.367734 1.498659e-08 0
  0.198374  52.475047 1587.331870 1.521027e-08 0
  0.199651  52.905267 1587.142442 1.543395e-08 0
  0.200389  53.475015 1587.010041 1.565763e-08 0
  0.200038  53.569013 1587.017681 1.565763e-08 0
