# vel[cm/s]  width[Hz], freq[Hz], drive[A], fit
  0.222366 141.152393 1582.455426 4.593925e-08 0
  0.221607 139.612687 1582.542370 4.528298e-08 0
  0.221537 137.632272 1582.715750 4.462670e-08 0
  0.221253 135.782277 1582.780727 4.397043e-08 0
  0.221151 133.817660 1582.714311 4.331415e-08 0
  0.220759 132.023800 1582.457973 4.265788e-08 0
  0.220604 130.083960 1582.482524 4.200160e-08 0
  0.220048 128.375311 1582.302761 4.134533e-08 0
  0.219999 126.365696 1582.097607 4.068905e-08 0
  0.219861 124.404228 1582.137860 4.003278e-08 0
  0.219807 122.393556 1582.239332 3.937650e-08 0
  0.219522 120.510297 1582.287353 3.872023e-08 0
  0.219128 118.681185 1582.262485 3.806395e-08 0
  0.218988 116.710022 1582.173148 3.740768e-08 0
  0.218775 114.774347 1582.022327 3.675140e-08 0
  0.217961 113.141808 1582.095891 3.609513e-08 0
  0.217828 111.149175 1582.305164 3.543885e-08 0
  0.217309 109.344537 1582.706027 3.478258e-08 0
  0.216672 107.603416 1582.850991 3.412630e-08 0
  0.215980 105.870463 1583.031267 3.347003e-08 0
  0.215099 104.211830 1583.426943 3.281375e-08 0
  0.214139 102.590094 1583.639840 3.215748e-08 0
  0.213107 100.983142 1583.823823 3.150120e-08 0
  0.211915  99.442684 1583.704831 3.084493e-08 0
  0.210486  97.977677 1583.928665 3.018865e-08 0
  0.208549  96.740201 1584.057613 2.953238e-08 0
  0.206843  95.368587 1584.232344 2.887610e-08 0
  0.204468  94.279417 1584.495828 2.821983e-08 0
  0.202539  92.966050 1584.674854 2.756355e-08 0
  0.199720  92.026193 1585.017932 2.690728e-08 0
  0.197222  90.918931 1585.342602 2.625100e-08 0
  0.195016  89.646997 1585.675465 2.559473e-08 0
  0.192995  88.268265 1585.863845 2.493845e-08 0
  0.190899  86.881360 1586.210584 2.428218e-08 0
  0.189196  85.293744 1586.529301 2.362590e-08 0
  0.187730  83.576609 1586.722206 2.296963e-08 0
  0.186007  81.938504 1586.939302 2.231335e-08 0
  0.184942  79.988075 1587.092012 2.165708e-08 0
  0.184016  77.945583 1587.393975 2.100080e-08 0
  0.182637  76.079815 1587.662019 2.034453e-08 0
  0.181652  74.031824 1587.768863 1.968825e-08 0
  0.180164  72.153338 1587.886195 1.903198e-08 0
  0.179240  70.012888 1588.187488 1.837570e-08 0
  0.177913  68.013230 1588.491050 1.771943e-08 0
  0.174716  66.693893 1588.754561 1.706315e-08 0
  0.163900  68.356986 1589.107834 1.640688e-08 1
  0.150267  71.584486 1589.376815 1.575060e-08 1
  0.136741  75.396632 1589.543683 1.509433e-08 1
  0.123566  79.812240 1589.676989 1.443805e-08 1
  0.111330  84.561921 1589.779894 1.378178e-08 1
  0.100295  89.405206 1589.702734 1.312550e-08 1
  0.090048  94.595809 1589.826013 1.246923e-08 1
  0.080917  99.740206 1589.646502 1.181295e-08 1
  0.073214 104.107246 1589.660597 1.115668e-08 1
  0.064158 111.818739 1589.455934 1.050040e-08 1
  0.057462 117.043202 1589.608906 9.844126e-09 1
  0.051501 121.890951 1589.242158 9.187850e-09 1
  0.045547 127.979407 1588.782644 8.531575e-09 1
  0.039962 134.643884 1588.888881 7.875301e-09 1
  0.035643 138.379834 1589.012637 7.219026e-09 1
  0.031027 144.514897 1588.889591 6.562750e-09 1
  0.026736 150.937829 1589.309820 5.906475e-09 1
  0.023460 152.906728 1589.678039 5.250200e-09 1
  0.019355 162.161284 1589.470752 4.593925e-09 1
  0.015991 168.236675 1589.162359 3.937650e-09 1
  0.012914 173.604426 1590.806868 3.281375e-09 1
  0.009705 184.688134 1588.373215 2.625100e-09 0
  0.007202 186.531622 1594.475173 1.968825e-09 0
  0.004243 211.360954 1596.752336 1.312550e-09 0
  0.001783 244.350673 1628.561337 6.562750e-10 0
  0.001211 364.896145 1600.956668 6.562750e-10 0
