# vel[cm/s]  width[Hz], freq[Hz], drive[A], fit
  0.002953 102.571218 6764.002385 2.975114e-09 0
  0.006030 100.700613 6765.647082 5.950228e-09 0
  0.009068 100.496706 6766.136940 8.925341e-09 0
  0.012312  98.685570 6766.805373 1.190045e-08 1
  0.015695  96.773351 6766.896687 1.487557e-08 1
  0.019046  95.699060 6766.861647 1.785068e-08 1
  0.022549  94.300021 6767.227961 2.082580e-08 1
  0.025949  93.648581 6767.545136 2.380091e-08 1
  0.030111  90.795902 6767.735009 2.677602e-08 1
  0.034238  88.723649 6767.397635 2.975114e-08 1
  0.038587  86.594050 6767.616143 3.272625e-08 1
  0.042771  85.221883 6767.972158 3.570136e-08 1
  0.047636  82.902936 6767.788156 3.867648e-08 1
  0.052862  80.451896 6767.732714 4.165159e-08 1
  0.058507  77.878736 6767.892226 4.462670e-08 1
  0.064185  75.723839 6767.903938 4.760182e-08 1
  0.070581  73.165795 6767.959480 5.057693e-08 1
  0.077724  70.350201 6767.954999 5.355204e-08 1
  0.084793  68.067891 6767.948558 5.652716e-08 1
  0.093135  65.233102 6767.884697 5.950227e-08 1
  0.102128  62.462657 6767.852881 6.247738e-08 1
  0.111715  59.822522 6767.737045 6.545250e-08 1
  0.122563  57.005014 6767.671977 6.842761e-08 1
  0.134774  54.092413 6767.692053 7.140272e-08 1
  0.148184  51.248028 6767.657032 7.437784e-08 1
  0.163528  48.297991 6767.543124 7.735295e-08 0
  0.180317  45.486305 6767.364522 8.032807e-08 0
  0.197500  43.067446 6767.110658 8.330318e-08 0
  0.202804  43.438242 6766.738548 8.627829e-08 0
  0.212827  42.797393 6765.774583 8.925341e-08 0
  0.206651  45.466613 6763.983346 9.222852e-08 0
  0.192754  50.111895 6760.891863 9.520364e-08 0
  0.168507  59.012821 6756.867225 9.817875e-08 0
  0.132759  77.455724 6752.956315 1.011539e-07 0
  0.093406 113.826028 6752.374237 1.041290e-07 0
  0.088079 122.456120 6742.174963 1.071041e-07 0
  0.036033 278.531657 6809.831335 1.093792e-07 0
  0.095161  64.132207 6768.300543 1.064041e-07 0
