# vel[cm/s]  width[Hz], freq[Hz], drive[A], fit
  0.002909  32.928828 6766.084996 9.313637e-10 0
  0.006243  30.697871 6766.661526 1.862727e-09 0
  0.009397  30.612645 6766.911086 2.794091e-09 0
  0.012804  29.956060 6767.144924 3.725455e-09 0
  0.016578  28.923520 6767.301067 4.656818e-09 1
  0.020428  28.166376 6767.428546 5.588182e-09 1
  0.024725  27.147659 6767.641751 6.519546e-09 1
  0.029410  26.086714 6767.623805 7.450910e-09 1
  0.034391  25.095641 6767.761981 8.382272e-09 1
  0.039817  24.084869 6767.836704 9.313636e-09 1
  0.045812  23.025811 6767.958996 1.024500e-08 1
  0.052458  21.933160 6768.170683 1.117636e-08 1
  0.059692  20.886097 6768.174106 1.210773e-08 1
  0.067280  19.954823 6768.264746 1.303909e-08 1
  0.076352  18.840300 6768.312877 1.397046e-08 1
  0.085890  17.864537 6768.371960 1.490182e-08 1
  0.097087  16.792406 6768.379973 1.583318e-08 1
  0.109635  15.745268 6768.393891 1.676455e-08 1
  0.123936  14.702188 6768.398021 1.769591e-08 1
  0.140421  13.659153 6768.353665 1.862727e-08 1
  0.159014  12.664903 6768.293256 1.955864e-08 1
  0.178827  11.796119 6768.166381 2.049000e-08 1
  0.197368  11.168092 6767.946363 2.142136e-08 1
  0.206061  11.165675 6767.786315 2.235273e-08 0
  0.208649  11.490342 6767.722670 2.328409e-08 0
  0.210512  11.842664 6767.598085 2.421546e-08 0
  0.212365  12.191606 6767.494768 2.514682e-08 0
  0.213527  12.574378 6767.388580 2.607818e-08 0
  0.214579  12.959956 6767.292073 2.700955e-08 0
  0.215917  13.323958 6767.200893 2.794091e-08 0
  0.216749  13.715038 6767.097606 2.887227e-08 0
  0.218051  14.072955 6766.994580 2.980364e-08 0
  0.219202  14.436527 6766.887592 3.073500e-08 0
  0.220097  14.813492 6766.777094 3.166637e-08 0
  0.221252  15.169810 6766.673420 3.259773e-08 0
  0.222009  15.550026 6766.566650 3.352909e-08 0
  0.222991  15.911394 6766.451054 3.446045e-08 0
  0.223371  16.314315 6766.366574 3.539182e-08 0
  0.224415  16.665093 6766.247248 3.632318e-08 0
  0.225402  17.018123 6766.152375 3.725455e-08 0
  0.226168  17.384107 6766.037362 3.818591e-08 0
  0.227084  17.736421 6765.926441 3.911727e-08 0
  0.227736  18.106733 6765.813782 4.004864e-08 0
  0.228871  18.436005 6765.702631 4.098000e-08 0
  0.229626  18.793247 6765.600481 4.191136e-08 0
  0.230657  19.125161 6765.503663 4.284273e-08 0
  0.231577  19.463220 6765.402632 4.377409e-08 0
  0.232783  19.774787 6765.331638 4.470546e-08 0
  0.233974  20.083720 6765.240914 4.563682e-08 0
  0.234920  20.411374 6765.171036 4.656818e-08 0
  0.236011  20.723045 6765.073143 4.749955e-08 0
  0.237221  21.021803 6764.992762 4.843091e-08 0
  0.238400  21.319828 6764.892058 4.936227e-08 0
  0.239680  21.606086 6764.786172 5.029364e-08 0
  0.240906  21.894293 6764.688778 5.122500e-08 0
  0.242162  22.177043 6764.610535 5.215637e-08 0
  0.243061  22.489114 6764.496723 5.308773e-08 0
  0.244412  22.757299 6764.394625 5.401909e-08 0
  0.245782  23.020378 6764.275102 5.495046e-08 0
  0.246923  23.302770 6764.175827 5.588182e-08 0
  0.248072  23.581500 6764.080919 5.681318e-08 0
  0.249070  23.871902 6763.980218 5.774455e-08 0
  0.250000  24.167182 6763.915274 5.867591e-08 0
  0.251138  24.439132 6763.815887 5.960727e-08 0
  0.252638  24.673712 6763.722451 6.053864e-08 0
  0.253596  24.958747 6763.634469 6.147000e-08 0
  0.255096  25.187561 6763.518895 6.240137e-08 0
  0.256618  25.411840 6763.405261 6.333273e-08 0
  0.257959  25.651713 6763.304620 6.426409e-08 0
  0.259676  25.851267 6763.190886 6.519546e-08 0
  0.259286  25.890905 6763.197250 6.519546e-08 0
