# vel[cm/s]  width[Hz], freq[Hz], drive[A], fit
  0.110784  45.845670 6764.558483 1.064412e-07 0
  0.210225  39.581256 6757.922635 1.035033e-07 0
  0.170494  49.651755 6755.265024 1.005654e-07 0
  0.152977  53.513791 6758.706326 9.762748e-08 0
  0.189809  42.118412 6759.918740 9.468955e-08 0
  0.207442  37.213520 6761.713125 9.175163e-08 0
  0.213056  35.221284 6762.457414 8.881370e-08 0
  0.210046  34.580218 6762.751364 8.587578e-08 0
  0.206940  33.897729 6763.057360 8.293785e-08 0
  0.207839  32.568309 6762.953064 7.999993e-08 0
  0.202760  32.131387 6763.445663 7.706200e-08 0
  0.181365  34.557086 6763.921019 7.412408e-08 1
  0.163261  36.885672 6764.124266 7.118615e-08 1
  0.146840  39.321373 6764.261911 6.824823e-08 1
  0.132507  41.700210 6764.368239 6.531030e-08 1
  0.119961  43.987501 6764.546580 6.237238e-08 1
  0.108504  46.344783 6764.618871 5.943446e-08 1
  0.098240  48.657558 6764.657705 5.649653e-08 1
  0.088910  50.967094 6764.753433 5.355860e-08 1
  0.080805  53.000304 6764.964659 5.062068e-08 1
  0.072854  55.377189 6765.003197 4.768275e-08 1
  0.065726  57.598860 6765.147294 4.474483e-08 1
  0.059500  59.452576 6764.991275 4.180691e-08 1
  0.053182  61.831440 6765.369506 3.886898e-08 1
  0.047833  63.558196 6765.406357 3.593106e-08 1
  0.042774  65.248352 6764.532238 3.299314e-08 1
  0.037855  67.174630 6764.738394 3.005521e-08 1
  0.033156  69.198817 6764.929861 2.711728e-08 1
  0.028765  71.118971 6764.426894 2.417936e-08 1
  0.025029  71.804378 6764.716870 2.124144e-08 1
  0.020901  74.096119 6764.606159 1.830351e-08 1
  0.017319  75.066942 6764.901224 1.536559e-08 0
  0.013756  76.433468 6764.302235 1.242766e-08 0
  0.010457  76.742099 6762.950955 9.489737e-09 0
  0.006968  79.526126 6764.061200 6.551812e-09 0
  0.003777  80.811603 6761.582474 3.613888e-09 0
  0.002895  85.666434 6758.538124 2.937924e-09 0
  0.002907  85.505651 6757.671265 2.937924e-09 0
