# vel[cm/s]  width[Hz], freq[Hz], drive[A], fit
  0.003154   3.286833 6765.055243 1.241454e-10 0
  0.005955   3.481907 6765.146263 2.482907e-10 0
  0.009426   3.295905 6765.268602 3.724361e-10 0
  0.012899   3.219065 6765.257820 4.965815e-10 0
  0.016480   3.147187 6765.324626 6.207268e-10 0
  0.020454   3.044559 6765.361659 7.448722e-10 1
  0.024609   2.952816 6765.383112 8.690175e-10 1
  0.028860   2.877050 6765.418548 9.931629e-10 1
  0.033340   2.801755 6765.453101 1.117308e-09 1
  0.038377   2.704811 6765.476274 1.241454e-09 1
  0.043653   2.615889 6765.489730 1.365599e-09 1
  0.049246   2.529141 6765.518520 1.489744e-09 1
  0.055683   2.423609 6765.530710 1.613890e-09 1
  0.062220   2.335871 6765.531394 1.738035e-09 1
  0.069036   2.255654 6765.534393 1.862180e-09 1
  0.076307   2.176765 6765.535398 1.986326e-09 1
  0.084815   2.080767 6765.532818 2.110471e-09 1
  0.093276   2.003153 6765.521391 2.234617e-09 1
  0.102396   1.925737 6765.499934 2.358762e-09 1
  0.112246   1.849111 6765.477969 2.482907e-09 1
  0.122361   1.780716 6765.450757 2.607053e-09 1
  0.132636   1.720411 6765.416443 2.731198e-09 1
  0.143527   1.661308 6765.374919 2.855343e-09 1
  0.154617   1.608493 6765.328891 2.979489e-09 1
  0.165620   1.562766 6765.273227 3.103634e-09 1
  0.176088   1.527235 6765.209884 3.227779e-09 1
  0.185262   1.506018 6765.139453 3.351925e-09 1
  0.193139   1.497515 6765.067047 3.476070e-09 0
  0.198671   1.508685 6764.998222 3.600215e-09 0
  0.203059   1.528426 6764.936698 3.724361e-09 0
  0.205557   1.562694 6764.891270 3.848506e-09 0
  0.206689   1.605437 6764.855311 3.972652e-09 0
  0.206466   1.659259 6764.853078 4.096797e-09 0
  0.206914   1.705278 6764.833225 4.220942e-09 0
  0.207037   1.754506 6764.814787 4.345088e-09 0
  0.207261   1.802791 6764.798739 4.469233e-09 0
  0.207683   1.849075 6764.781014 4.593379e-09 0
  0.208117   1.895139 6764.764526 4.717524e-09 0
  0.208537   1.941039 6764.746080 4.841669e-09 0
  0.208818   1.988079 6764.725828 4.965814e-09 0
  0.208599   2.040147 6764.711370 5.089960e-09 0
  0.208821   2.087750 6764.698102 5.214105e-09 0
  0.208894   2.136606 6764.681740 5.338251e-09 0
  0.209357   2.181345 6764.661906 5.462396e-09 0
  0.209502   2.229622 6764.648539 5.586541e-09 0
  0.209509   2.278853 6764.628334 5.710686e-09 0
  0.209793   2.325375 6764.611317 5.834832e-09 0
  0.210025   2.372270 6764.594883 5.958977e-09 0
  0.209737   2.425012 6764.577805 6.083123e-09 0
  0.210392   2.466818 6764.561321 6.207268e-09 0
  0.210496   2.514883 6764.543722 6.331413e-09 0
  0.210525   2.563911 6764.528269 6.455559e-09 0
  0.210494   2.613598 6764.512265 6.579704e-09 0
  0.210797   2.659083 6764.495732 6.703850e-09 0
  0.210683   2.709855 6764.481477 6.827995e-09 0
  0.210951   2.755531 6764.463936 6.952140e-09 0
  0.211140   2.802283 6764.448083 7.076286e-09 0
  0.211075   2.852338 6764.432200 7.200431e-09 0
  0.211390   2.897253 6764.418521 7.324576e-09 0
  0.211853   2.939870 6764.402811 7.448722e-09 0
  0.211827   2.989282 6764.388921 7.572867e-09 0
  0.212009   3.035677 6764.374645 7.697012e-09 0
  0.211841   3.086948 6764.355539 7.821158e-09 0
  0.211935   3.134731 6764.342254 7.945303e-09 0
  0.212679   3.172616 6764.330605 8.069449e-09 0
  0.212494   3.224162 6764.315958 8.193594e-09 0
  0.212588   3.271600 6764.302602 8.317739e-09 0
  0.212789   3.317233 6764.286645 8.441885e-09 0
  0.212450   3.371493 6764.274920 8.566030e-09 0
  0.212848   3.413882 6764.260083 8.690175e-09 0
  0.212853   3.414035 6764.258175 8.690175e-09 0
