# vel[cm/s]  width[Hz], freq[Hz], drive[A], fit
  0.221642  25.016789 1611.247197 4.402512e-09 0
  0.220933  24.738325 1611.273946 4.339619e-09 0
  0.220667  24.409293 1611.290681 4.276726e-09 0
  0.220521  24.066132 1611.316258 4.213833e-09 0
  0.219865  23.777731 1611.337118 4.150940e-09 0
  0.219439  23.463013 1611.351293 4.088047e-09 0
  0.219378  23.108371 1611.376235 4.025154e-09 0
  0.219016  22.784899 1611.397499 3.962261e-09 0
  0.218647  22.461146 1611.404473 3.899368e-09 0
  0.218476  22.116224 1611.403967 3.836475e-09 0
  0.217996  21.801529 1611.405951 3.773581e-09 0
  0.218014  21.436416 1611.402089 3.710688e-09 0
  0.217591  21.114075 1611.402619 3.647795e-09 0
  0.217439  20.764431 1611.411324 3.584902e-09 0
  0.217211  20.421543 1611.415853 3.522009e-09 0
  0.216760  20.098514 1611.433399 3.459116e-09 0
  0.216518  19.754973 1611.463103 3.396223e-09 0
  0.216267  19.411578 1611.497716 3.333330e-09 0
  0.216102  19.059400 1611.559389 3.270437e-09 0
  0.215731  18.725221 1611.608882 3.207544e-09 0
  0.215571  18.371685 1611.655376 3.144651e-09 0
  0.215272  18.029143 1611.708513 3.081758e-09 0
  0.214881  17.693679 1611.737947 3.018865e-09 0
  0.214552  17.351759 1611.753818 2.955972e-09 0
  0.214091  17.019059 1611.773759 2.893079e-09 0
  0.213822  16.670003 1611.798251 2.830186e-09 0
  0.213240  16.344108 1611.815290 2.767293e-09 0
  0.212643  16.016875 1611.865607 2.704400e-09 0
  0.211725  15.712021 1611.922340 2.641507e-09 0
  0.210713  15.411525 1611.980892 2.578614e-09 0
  0.209685  15.109717 1612.020641 2.515721e-09 0
  0.208889  14.787932 1612.069298 2.452828e-09 0
  0.208220  14.454826 1612.123162 2.389935e-09 0
  0.207227  14.141838 1612.179046 2.327042e-09 0
  0.206085  13.835689 1612.238981 2.264149e-09 0
  0.205010  13.522126 1612.287285 2.201256e-09 0
  0.200808  13.409223 1612.380798 2.138363e-09 0
  0.191561  13.642623 1612.486923 2.075470e-09 1
  0.181432  13.968662 1612.573072 2.012577e-09 1
  0.173067  14.186255 1612.659901 1.949684e-09 1
  0.163946  14.492417 1612.748512 1.886791e-09 1
  0.153392  14.973643 1612.828552 1.823898e-09 1
  0.144275  15.371345 1612.897864 1.761005e-09 1
  0.134661  15.880122 1612.986768 1.698112e-09 1
  0.125537  16.404434 1613.043682 1.635219e-09 1
  0.117129  16.906025 1613.086404 1.572326e-09 1
  0.108661  17.494843 1613.121360 1.509433e-09 1
  0.100453  18.135175 1613.188121 1.446540e-09 1
  0.093070  18.723093 1613.242084 1.383646e-09 1
  0.085917  19.360412 1613.284117 1.320754e-09 1
  0.079401  19.951530 1613.332894 1.257860e-09 1
  0.072782  20.677586 1613.383438 1.194967e-09 1
  0.066982  21.285610 1613.430011 1.132074e-09 1
  0.060271  22.341450 1613.502540 1.069181e-09 1
  0.055235  22.945098 1613.529258 1.006288e-09 1
  0.050503  23.525569 1613.609642 9.433954e-10 1
  0.045741  24.243797 1613.663237 8.805023e-10 1
  0.041268  24.952282 1613.601931 8.176093e-10 1
  0.036874  25.777380 1613.658565 7.547163e-10 1
  0.033056  26.356759 1613.818103 6.918233e-10 1
  0.029607  26.754530 1613.793313 6.289302e-10 1
  0.025837  27.591983 1613.836685 5.660372e-10 1
  0.022495  28.170188 1613.841968 5.031442e-10 1
  0.019368  28.627396 1613.918503 4.402512e-10 1
  0.016372  29.027354 1614.040402 3.773581e-10 1
  0.013373  29.616474 1614.031975 3.144651e-10 1
  0.010378  30.525538 1614.332705 2.515721e-10 1
  0.007602  31.255980 1614.611412 1.886791e-10 0
  0.005055  31.307003 1615.317744 1.257860e-10 0
  0.002277  34.685511 1616.695659 6.289302e-11 0
  0.002080  37.947252 1615.117972 6.289302e-11 0
