# vel[cm/s]  width[Hz], freq[Hz], drive[A], fit
  0.313802 308.190961 1581.261034 9.876939e-08 0
  0.311054 306.459989 1582.044738 9.735840e-08 0
  0.308098 304.912077 1582.908321 9.594742e-08 0
  0.305835 302.644979 1583.924658 9.453641e-08 0
  0.303567 300.352709 1584.932158 9.312543e-08 0
  0.301422 297.903782 1585.964774 9.171444e-08 0
  0.299645 295.062380 1586.789281 9.030344e-08 0
  0.297850 292.198628 1587.625739 8.889245e-08 0
  0.295754 289.598338 1588.340107 8.748146e-08 0
  0.293560 287.059113 1588.880200 8.607047e-08 0
  0.292124 283.747645 1589.063079 8.465948e-08 0
  0.291791 279.346795 1588.650225 8.324849e-08 0
  0.289689 276.581276 1589.022894 8.183750e-08 0
  0.288054 273.360422 1589.101459 8.042651e-08 0
  0.285561 270.892774 1589.565908 7.901552e-08 0
  0.283191 268.277064 1590.039668 7.760452e-08 0
  0.280773 265.657698 1590.657137 7.619353e-08 0
  0.279374 262.054122 1590.900747 7.478254e-08 0
  0.277237 259.075552 1591.420197 7.337155e-08 0
  0.275280 255.893619 1591.936384 7.196056e-08 0
  0.274393 251.707578 1591.831291 7.054957e-08 0
  0.272963 247.950820 1591.963408 6.913858e-08 0
  0.270514 245.078151 1592.213847 6.772758e-08 0
  0.267626 242.554516 1592.492112 6.631659e-08 0
  0.264988 239.738589 1593.017225 6.490560e-08 0
  0.262815 236.461534 1593.511497 6.349461e-08 0
  0.260882 232.886634 1594.410606 6.208362e-08 0
  0.261673 226.965981 1594.093744 6.067263e-08 0
  0.260037 223.049103 1594.275815 5.926164e-08 0
  0.258975 218.606569 1594.679098 5.785064e-08 0
  0.257904 214.156752 1594.982611 5.643965e-08 0
  0.257187 209.406939 1594.795312 5.502866e-08 0
  0.256342 204.721362 1594.312736 5.361767e-08 0
  0.252911 201.956903 1594.907437 5.220668e-08 0
  0.250658 198.259175 1595.409658 5.079569e-08 0
  0.246288 196.125299 1596.357371 4.938470e-08 0
  0.242229 193.741816 1596.903787 4.797371e-08 0
  0.236129 192.868445 1597.792450 4.656271e-08 0
  0.228230 193.538970 1598.205064 4.515172e-08 0
  0.220634 193.932161 1598.806168 4.374073e-08 0
  0.214942 192.685071 1598.909853 4.232974e-08 0
  0.209389 191.184227 1599.214942 4.091875e-08 0
  0.201191 192.115075 1599.495422 3.950776e-08 1
  0.186892 199.438131 1599.807342 3.809677e-08 1
  0.171955 208.747532 1600.206089 3.668578e-08 1
  0.157606 219.033736 1600.327496 3.527478e-08 1
  0.142591 232.443575 1600.383454 3.386379e-08 1
  0.129971 244.401286 1600.614815 3.245280e-08 1
  0.118991 255.383618 1600.461186 3.104181e-08 1
  0.108632 267.023468 1600.697330 2.963082e-08 1
  0.099303 278.217120 1600.864572 2.821983e-08 1
  0.090716 289.341812 1600.918626 2.680884e-08 1
  0.082650 300.877683 1600.955915 2.539784e-08 1
  0.075350 311.695013 1601.334115 2.398685e-08 1
  0.068449 322.946862 1601.343818 2.257586e-08 1
  0.062174 333.321221 1601.818425 2.116487e-08 1
  0.056292 343.609202 1601.738283 1.975388e-08 1
  0.050997 352.195918 1602.536813 1.834289e-08 1
  0.045712 362.681796 1602.714283 1.693190e-08 1
  0.041009 370.573395 1603.106273 1.552091e-08 1
  0.036200 381.637333 1603.763332 1.410991e-08 1
  0.031968 388.912417 1603.682637 1.269892e-08 1
  0.027645 399.754127 1603.746342 1.128793e-08 1
  0.023673 408.515449 1606.438013 9.876939e-09 1
  0.019696 420.688750 1605.155858 8.465948e-09 1
  0.016139 428.000607 1608.269440 7.054957e-09 1
  0.012826 430.730560 1609.225974 5.643965e-09 1
  0.009220 449.523229 1617.411392 4.232974e-09 1
  0.005697 484.842401 1619.066124 2.821983e-09 0
  0.002544 532.622264 1682.496576 1.410991e-09 0
  0.002280 592.845213 1630.623747 1.410991e-09 0
