# vel[cm/s]  width[Hz], freq[Hz], drive[A], fit
  0.002105  12.333529 6756.133890 8.400321e-10 0
  0.005579   9.323524 6756.319088 1.680064e-09 0
  0.008281   9.253958 6757.235980 2.520096e-09 0
  0.011964   8.696063 6757.390326 3.360128e-09 0
  0.016332   7.964326 6757.352605 4.200160e-09 0
  0.020312   7.681474 6757.485876 5.040192e-09 0
  0.024995   7.286492 6757.504466 5.880224e-09 0
  0.028849   7.214751 6757.521194 6.720257e-09 0
  0.033633   6.962096 6757.524665 7.560288e-09 0
  0.038265   6.799255 6757.526597 8.400321e-09 0
  0.043936   6.513904 6757.541498 9.240353e-09 0
  0.049901   6.256243 6757.517903 1.008038e-08 1
  0.055820   6.058664 6757.574080 1.092042e-08 1
  0.061856   5.888626 6757.580681 1.176045e-08 1
  0.068507   5.694817 6757.517538 1.260048e-08 1
  0.075149   5.539134 6757.497421 1.344051e-08 1
  0.084764   5.218001 6757.501845 1.428055e-08 1
  0.094632   4.948694 6757.491036 1.512058e-08 1
  0.104460   4.730798 6757.440532 1.596061e-08 1
  0.114888   4.528060 6757.397822 1.680064e-08 1
  0.127643   4.279684 6757.365739 1.764067e-08 1
  0.140733   4.065726 6757.318964 1.848071e-08 1
  0.155890   3.835210 6757.245749 1.932074e-08 1
  0.172633   3.613006 6757.168280 2.016077e-08 1
  0.189888   3.420811 6757.087637 2.100080e-08 1
  0.207767   3.248222 6756.983713 2.184083e-08 1
  0.224236   3.122343 6756.864015 2.268087e-08 0
  0.230802   3.151138 6756.780789 2.352090e-08 0
  0.233213   3.233802 6756.739412 2.436093e-08 0
  0.234787   3.323402 6756.704946 2.520096e-08 0
  0.235050   3.430793 6756.680068 2.604099e-08 0
  0.235441   3.535208 6756.645359 2.688103e-08 0
  0.235747   3.641454 6756.621751 2.772106e-08 0
  0.236107   3.746050 6756.596690 2.856109e-08 0
  0.236705   3.846252 6756.564613 2.940112e-08 0
  0.236774   3.955370 6756.542565 3.024115e-08 0
  0.236626   4.067627 6756.514849 3.108119e-08 0
  0.236808   4.174257 6756.483952 3.192122e-08 0
  0.237769   4.267164 6756.463688 3.276125e-08 0
  0.237339   4.384508 6756.442767 3.360128e-08 0
  0.237763   4.485609 6756.406643 3.444131e-08 0
  0.236588   4.618083 6756.375830 3.528135e-08 0
  0.236689   4.726047 6756.345321 3.612138e-08 0
  0.237214   4.825476 6756.321518 3.696141e-08 0
  0.237988   4.918868 6756.290090 3.780144e-08 0
  0.238026   5.027480 6756.260460 3.864147e-08 0
  0.238155   5.134169 6756.236779 3.948151e-08 0
  0.238321   5.239823 6756.215631 4.032154e-08 0
  0.237504   5.367250 6756.188528 4.116157e-08 0
  0.237765   5.470754 6756.160204 4.200160e-08 0
  0.239169   5.547551 6756.135878 4.284163e-08 0
  0.239035   5.659515 6756.112923 4.368167e-08 0
  0.240241   5.739262 6756.084041 4.452170e-08 0
  0.238945   5.879505 6756.064360 4.536173e-08 0
  0.240167   5.957707 6756.036032 4.620176e-08 0
  0.240344   6.061786 6756.016198 4.704179e-08 0
  0.240814   6.157827 6755.989174 4.788183e-08 0
  0.240428   6.276079 6755.967976 4.872186e-08 0
  0.240960   6.369932 6755.935798 4.956189e-08 0
  0.241054   6.475347 6755.902684 5.040192e-08 0
  0.241781   6.563871 6755.886863 5.124196e-08 0
  0.241293   6.684724 6755.858812 5.208199e-08 0
  0.241576   6.784662 6755.833160 5.292202e-08 0
  0.242594   6.863420 6755.805996 5.376205e-08 0
  0.242454   6.974618 6755.776889 5.460208e-08 0
  0.242360   7.084856 6755.754678 5.544212e-08 0
  0.243062   7.170988 6755.714956 5.628215e-08 0
  0.243590   7.262961 6755.709524 5.712218e-08 0
  0.243614   7.368679 6755.682780 5.796221e-08 0
  0.244272   7.455229 6755.651450 5.880224e-08 0
  0.244462   7.449934 6755.649891 5.880224e-08 0
