# vel[cm/s]  width[Hz], freq[Hz], drive[A], fit
  0.601247   3.044275 3770.341585 2.396498e-08 0
  0.600712   3.002487 3770.353748 2.361496e-08 0
  0.598656   2.968138 3770.366358 2.326495e-08 0
  0.597913   2.927119 3770.378328 2.291494e-08 0
  0.598087   2.882338 3770.382197 2.257039e-08 0
  0.597571   2.839890 3770.400385 2.222038e-08 0
  0.597734   2.795251 3770.409417 2.187583e-08 0
  0.597400   2.752748 3770.419353 2.153129e-08 0
  0.598190   2.705165 3770.424489 2.118675e-08 0
  0.596826   2.667113 3770.439870 2.084220e-08 0
  0.595848   2.627480 3770.440732 2.049766e-08 0
  0.594867   2.587498 3770.451348 2.015311e-08 0
  0.594184   2.546031 3770.469134 1.980857e-08 0
  0.595537   2.496227 3770.478494 1.946402e-08 0
  0.593734   2.459526 3770.483878 1.911948e-08 0
  0.592837   2.418794 3770.494456 1.877494e-08 0
  0.592392   2.376141 3770.507258 1.843039e-08 0
  0.592248   2.332369 3770.514843 1.808585e-08 0
  0.592064   2.288611 3770.524846 1.774130e-08 0
  0.591241   2.247303 3770.533812 1.739676e-08 0
  0.590534   2.205367 3770.545840 1.705221e-08 0
  0.591922   2.155830 3770.552149 1.670767e-08 0
  0.589574   2.119675 3770.564533 1.636312e-08 0
  0.589077   2.076883 3770.571824 1.601858e-08 0
  0.588371   2.034645 3770.579110 1.567404e-08 0
  0.588443   1.989502 3770.593961 1.532949e-08 0
  0.587972   1.946507 3770.601445 1.498495e-08 0
  0.587365   1.903707 3770.609137 1.464040e-08 0
  0.586470   1.861697 3770.619066 1.429586e-08 0
  0.584923   1.821610 3770.629754 1.395131e-08 0
  0.585270   1.775599 3770.638749 1.360677e-08 0
  0.584203   1.733761 3770.649206 1.326222e-08 0
  0.581197   1.697476 3770.658336 1.291768e-08 0
  0.581696   1.650791 3770.666987 1.257314e-08 0
  0.579839   1.610661 3770.676571 1.222859e-08 0
  0.578501   1.568936 3770.684546 1.188405e-08 0
  0.579180   1.521616 3770.694268 1.153950e-08 0
  0.579299   1.475815 3770.705687 1.119496e-08 0
  0.578153   1.433212 3770.717377 1.085041e-08 0
  0.579225   1.385148 3770.728246 1.050587e-08 0
  0.580254   1.337521 3770.729602 1.016133e-08 0
  0.578680   1.295416 3770.742364 9.816781e-09 0
  0.578758   1.249836 3770.753171 9.472236e-09 0
  0.574462   1.212572 3770.765592 9.122223e-09 0
  0.577065   1.160847 3770.776017 8.772210e-09 0
  0.572568   1.123859 3770.789337 8.427665e-09 0
  0.569876   1.083066 3770.801036 8.083121e-09 0
  0.562631   1.049085 3770.819494 7.733108e-09 0
  0.539810   1.042570 3770.851500 7.383094e-09 0
  0.482567   1.109170 3770.902259 7.038549e-09 1
  0.432545   1.178762 3770.944468 6.694005e-09 1
  0.384384   1.258621 3770.978449 6.343992e-09 1
  0.337626   1.355131 3771.001143 5.993979e-09 1
  0.297007   1.452072 3771.023175 5.649434e-09 1
  0.260011   1.557060 3771.040983 5.302155e-09 1
  0.229156   1.651462 3771.043577 4.954877e-09 1
  0.200053   1.759095 3771.048991 4.607598e-09 1
  0.173513   1.875092 3771.063524 4.260319e-09 1
  0.151716   1.969946 3771.061379 3.913040e-09 1
  0.131621   2.069172 3771.061925 3.565761e-09 1
  0.112063   2.192291 3771.023209 3.218482e-09 1
  0.097171   2.256727 3771.012510 2.871203e-09 1
  0.081235   2.372942 3771.001475 2.523924e-09 1
  0.066787   2.489228 3770.997745 2.176646e-09 1
  0.054376   2.569511 3770.987847 1.829367e-09 1
  0.040729   2.778680 3771.018596 1.482088e-09 0
  0.031406   2.758814 3770.981230 1.134809e-09 0
  0.021247   2.830887 3770.990618 7.875300e-10 0
  0.009439   3.558181 3771.077110 4.402512e-10 0
  0.008049   3.221106 3770.732792 3.472789e-10 0
  0.008012   3.187781 3771.172853 3.472789e-10 0
