# vel[cm/s]  width[Hz], freq[Hz], drive[A], fit
  0.008039   4.002449 3770.478593 4.189222e-10 0
  0.017535   3.578213 3770.902364 8.378445e-10 0
  0.027235   3.549198 3770.914247 1.256767e-09 0
  0.037813   3.407284 3770.959600 1.675689e-09 0
  0.048741   3.304634 3770.930371 2.094611e-09 1
  0.059938   3.225365 3770.939089 2.513533e-09 1
  0.072934   3.090554 3770.994803 2.932456e-09 1
  0.087870   2.933368 3771.009614 3.351378e-09 1
  0.103641   2.796906 3771.049641 3.770300e-09 1
  0.118816   2.711723 3771.061586 4.189222e-09 1
  0.137586   2.576003 3771.069846 4.608145e-09 1
  0.157922   2.448340 3771.070146 5.027067e-09 1
  0.181637   2.306066 3771.069251 5.445989e-09 1
  0.206254   2.186114 3771.058897 5.862724e-09 1
  0.237250   2.037121 3771.062532 6.283834e-09 1
  0.269509   1.913360 3771.053519 6.704943e-09 1
  0.306942   1.785280 3771.036537 7.126053e-09 1
  0.349539   1.659977 3771.013384 7.547163e-09 1
  0.397439   1.541100 3770.987414 7.968273e-09 1
  0.449953   1.431898 3770.949289 8.389383e-09 1
  0.504643   1.339468 3770.903050 8.810492e-09 1
  0.556748   1.270671 3770.850128 9.231602e-09 0
  0.569567   1.301986 3770.820412 9.652712e-09 0
  0.575263   1.346549 3770.806692 1.007382e-08 0
  0.578529   1.394818 3770.789962 1.049493e-08 0
  0.577313   1.454066 3770.777881 1.091604e-08 0
  0.580198   1.502871 3770.775027 1.133715e-08 0
  0.580471   1.557779 3770.763147 1.175826e-08 0
  0.582067   1.609068 3770.748824 1.217937e-08 0
  0.584149   1.658797 3770.734664 1.260048e-08 0
  0.583722   1.715658 3770.726122 1.302159e-08 0
  0.583750   1.770924 3770.712224 1.344270e-08 0
  0.584854   1.823004 3770.699703 1.386381e-08 0
  0.585643   1.875877 3770.688057 1.428492e-08 0
  0.586031   1.929967 3770.678845 1.470603e-08 0
  0.588138   1.978023 3770.665402 1.512714e-08 0
  0.587154   2.036568 3770.654391 1.554825e-08 0
  0.587803   2.089338 3770.640200 1.596936e-08 0
  0.588394   2.142345 3770.627836 1.639047e-08 0
  0.590835   2.188369 3770.618142 1.681158e-08 0
  0.591064   2.242282 3770.606803 1.723269e-08 0
  0.592286   2.292293 3770.593114 1.765380e-08 0
  0.591732   2.349281 3770.584312 1.807491e-08 0
  0.592662   2.400175 3770.571951 1.849602e-08 0
  0.592754   2.454500 3770.562716 1.891713e-08 0
  0.593953   2.503869 3770.544525 1.933824e-08 0
  0.593652   2.559954 3770.538042 1.975935e-08 0
  0.593958   2.613069 3770.525872 2.018046e-08 0
  0.594524   2.665031 3770.512091 2.060157e-08 0
  0.596413   2.710870 3770.497454 2.102268e-08 0
  0.595710   2.768567 3770.489187 2.144379e-08 0
  0.596488   2.819118 3770.473787 2.186490e-08 0
  0.597308   2.869670 3770.472202 2.228601e-08 0
  0.597448   2.923044 3770.457969 2.270712e-08 0
  0.597031   2.979336 3770.443708 2.312823e-08 0
  0.599187   3.022762 3770.434492 2.354934e-08 0
  0.598100   3.082394 3770.424098 2.397045e-08 0
  0.600628   3.123362 3770.415003 2.439156e-08 0
  0.598113   3.190562 3770.400955 2.481267e-08 0
  0.599746   3.235860 3770.385585 2.523377e-08 0
  0.601297   3.281345 3770.368974 2.565489e-08 0
  0.599977   3.342461 3770.348582 2.607600e-08 0
  0.602684   3.381426 3770.340206 2.649710e-08 0
  0.604077   3.427174 3770.327409 2.691821e-08 0
  0.602892   3.487536 3770.309801 2.733932e-08 0
  0.604645   3.531136 3770.299538 2.776044e-08 0
  0.606007   3.576594 3770.286411 2.818154e-08 0
  0.609042   3.611932 3770.272105 2.860265e-08 0
  0.608678   3.667329 3770.259360 2.902376e-08 0
  0.611483   3.688373 3770.248536 2.932456e-08 0
  0.607942   3.656623 3770.261083 2.890345e-08 0
