# vel[cm/s]  width[Hz], freq[Hz], drive[A], fit
  0.008904   5.591376 3761.237021 1.370521e-09 0
  0.015206   6.425352 3760.544114 2.741042e-09 0
  0.023753   6.210692 3761.073991 4.111563e-09 0
  0.037530   5.290052 3760.785164 5.479897e-09 1
  0.048606   5.111329 3761.038514 6.852605e-09 1
  0.059291   5.055359 3761.091404 8.225313e-09 1
  0.071619   4.884347 3761.121277 9.598022e-09 1
  0.089036   4.488904 3761.039431 1.097073e-08 1
  0.103084   4.361191 3761.117709 1.234344e-08 1
  0.119831   4.172095 3761.093961 1.371615e-08 1
  0.141955   3.874428 3761.081794 1.508886e-08 1
  0.161647   3.711373 3761.108298 1.646157e-08 1
  0.186089   3.492959 3761.075275 1.783427e-08 1
  0.214670   3.260675 3761.035851 1.920698e-08 1
  0.248956   3.013107 3761.037209 2.057969e-08 1
  0.284929   2.807829 3761.003872 2.195240e-08 1
  0.328122   2.590437 3760.967658 2.332511e-08 1
  0.382561   2.351612 3760.918988 2.469782e-08 1
  0.444907   2.133613 3760.865003 2.607053e-08 1
  0.511095   1.953663 3760.802205 2.744324e-08 1
  0.553143   1.894600 3760.735332 2.881594e-08 0
  0.560528   1.962666 3760.710949 3.018865e-08 0
  0.567243   2.027526 3760.682562 3.156136e-08 0
  0.565814   2.121475 3760.664559 3.293407e-08 0
  0.569037   2.197215 3760.640021 3.430678e-08 0
  0.569209   2.284594 3760.651293 3.567949e-08 0
  0.569487   2.371344 3760.629746 3.705220e-08 0
  0.572307   2.447143 3760.610528 3.842490e-08 0
  0.572827   2.532137 3760.585950 3.979761e-08 0
  0.570642   2.629681 3760.567867 4.117032e-08 0
  0.573061   2.705763 3760.543609 4.254303e-08 0
  0.572615   2.795447 3760.528207 4.391574e-08 0
  0.573987   2.875753 3760.503556 4.528845e-08 0
  0.576239   2.951585 3760.493814 4.666115e-08 0
  0.578142   3.028315 3760.474501 4.803386e-08 0
  0.578806   3.111203 3760.450858 4.940657e-08 0
  0.575982   3.213356 3760.428274 5.077928e-08 0
  0.577256   3.293092 3760.415915 5.215199e-08 0
  0.578475   3.372540 3760.394411 5.352470e-08 0
  0.575402   3.478132 3760.369125 5.490835e-08 0
  0.582012   3.524376 3760.350541 5.627558e-08 0
  0.579158   3.627603 3760.321703 5.764282e-08 0
  0.581144   3.701216 3760.309266 5.901006e-08 0
  0.580231   3.792916 3760.294760 6.037730e-08 0
  0.583025   3.859739 3760.256248 6.174454e-08 0
  0.583398   3.943204 3760.248813 6.311178e-08 0
  0.584438   4.021454 3760.237384 6.447902e-08 0
  0.586228   4.094020 3760.211090 6.584626e-08 0
  0.589051   4.159061 3760.187773 6.721350e-08 0
  0.592279   4.220521 3760.163469 6.858074e-08 0
  0.594410   4.289364 3760.154383 6.994798e-08 0
  0.598970   4.339896 3760.141160 7.131522e-08 0
  0.597639   4.432782 3760.113108 7.268246e-08 0
  0.599046   4.505745 3760.102303 7.404970e-08 0
  0.600912   4.574614 3760.081018 7.541694e-08 0
  0.603506   4.637600 3760.068161 7.678418e-08 0
  0.605987   4.700850 3760.054295 7.815142e-08 0
  0.611106   4.742993 3760.036028 7.951866e-08 0
  0.612825   4.811017 3760.019026 8.088590e-08 0
  0.610390   4.911531 3759.981271 8.225314e-08 0
  0.611024   4.988227 3759.954848 8.362038e-08 0
  0.614230   5.043457 3759.950490 8.498762e-08 0
  0.615803   5.111501 3759.939344 8.635486e-08 0
  0.618288   5.171543 3759.924138 8.772210e-08 0
  0.614709   5.282549 3759.893251 8.908934e-08 0
  0.619617   5.321329 3759.890564 9.045658e-08 0
  0.618625   5.410400 3759.873284 9.182382e-08 0
  0.622434   5.457348 3759.855469 9.319106e-08 0
  0.620442   5.555235 3759.848818 9.455830e-08 0
  0.623607   5.606916 3759.829579 9.592554e-08 0
  0.622137   5.620152 3759.834192 9.592554e-08 0
