# vel[cm/s]  width[Hz], freq[Hz], drive[A], fit
  0.618860   5.693200 3759.799786 9.783967e-08 0
  0.615479   5.641357 3759.813244 9.641774e-08 0
  0.616280   5.550940 3759.825494 9.499582e-08 0
  0.613025   5.496864 3759.829119 9.357389e-08 0
  0.612271   5.419876 3759.860169 9.215195e-08 0
  0.613414   5.326401 3759.860898 9.073002e-08 0
  0.609969   5.272230 3759.901825 8.930810e-08 0
  0.610094   5.187569 3759.910660 8.788617e-08 0
  0.611829   5.089143 3759.928499 8.646424e-08 0
  0.608726   5.030991 3759.937492 8.504231e-08 0
  0.606712   4.963246 3759.957591 8.362038e-08 0
  0.607250   4.874558 3759.973430 8.219845e-08 0
  0.602651   4.826789 3759.976838 8.077652e-08 0
  0.603926   4.731819 3759.983026 7.935459e-08 0
  0.596665   4.703086 3760.026128 7.793266e-08 0
  0.594547   4.634203 3760.040854 7.651073e-08 0
  0.591463   4.571739 3760.061836 7.508880e-08 0
  0.593875   4.466978 3760.079190 7.366687e-08 0
  0.589674   4.411927 3760.100215 7.224494e-08 0
  0.588381   4.334614 3760.118832 7.082301e-08 0
  0.587755   4.252144 3760.133160 6.940109e-08 0
  0.584220   4.190195 3760.150652 6.797916e-08 0
  0.580768   4.126607 3760.185616 6.655723e-08 0
  0.580989   4.037246 3760.200366 6.513530e-08 0
  0.579851   3.956307 3760.241059 6.371337e-08 0
  0.578565   3.877024 3760.265367 6.229144e-08 0
  0.577378   3.796430 3760.279918 6.086951e-08 0
  0.575458   3.719939 3760.305958 5.944758e-08 0
  0.576778   3.622774 3760.324193 5.802565e-08 0
  0.578081   3.525959 3760.346498 5.660372e-08 0
  0.577299   3.441907 3760.373913 5.518179e-08 0
  0.572533   3.381661 3760.391566 5.376533e-08 0
  0.573678   3.285915 3760.413374 5.234887e-08 0
  0.572875   3.201470 3760.435550 5.093241e-08 0
  0.571139   3.121820 3760.460317 4.951595e-08 0
  0.574201   3.016427 3760.480425 4.809949e-08 0
  0.568646   2.956315 3760.492645 4.668303e-08 0
  0.571504   2.851947 3760.519701 4.526657e-08 0
  0.569103   2.774653 3760.533872 4.385011e-08 0
  0.569981   2.680755 3760.554159 4.243365e-08 0
  0.568311   2.598645 3760.581410 4.101719e-08 0
  0.567506   2.512666 3760.601136 3.960073e-08 0
  0.567884   2.421267 3760.616855 3.818427e-08 0
  0.567964   2.330958 3760.638025 3.676781e-08 0
  0.565767   2.249808 3760.659856 3.535135e-08 0
  0.565692   2.159983 3760.679996 3.393489e-08 0
  0.563396   2.078509 3760.678053 3.251843e-08 0
  0.556875   2.010521 3760.708175 3.110197e-08 0
  0.545358   1.959258 3760.740758 2.968551e-08 0
  0.485794   2.091742 3760.805885 2.826905e-08 1
  0.420363   2.295776 3760.880439 2.685259e-08 1
  0.364734   2.509541 3760.930800 2.543613e-08 1
  0.314112   2.752865 3760.968010 2.401967e-08 1
  0.271833   2.993770 3761.001858 2.260321e-08 1
  0.236956   3.219255 3761.036696 2.118675e-08 1
  0.205790   3.459403 3761.060385 1.977029e-08 1
  0.182486   3.621442 3761.035599 1.835382e-08 1
  0.157628   3.869190 3761.064385 1.693736e-08 1
  0.137020   4.079051 3761.086599 1.552091e-08 1
  0.116965   4.342274 3761.070175 1.410444e-08 1
  0.099895   4.573926 3761.075140 1.268798e-08 1
  0.082413   4.923487 3761.146764 1.127152e-08 0
  0.072725   4.879777 3761.134832 9.855064e-09 0
  0.058141   5.222618 3761.037992 8.438603e-09 0
  0.045053   5.612662 3761.066687 7.022143e-09 0
  0.037988   5.313574 3761.040595 5.605683e-09 0
  0.027838   5.400213 3761.261236 4.187582e-09 0
  0.017417   5.723834 3761.190596 2.769481e-09 0
  0.009136   5.535382 3760.809032 1.418101e-09 0
  0.007004   7.254395 3761.175632 1.418101e-09 0
