# vel[cm/s]  width[Hz], freq[Hz], drive[A], fit
  1.106623  11.972352 1667.175103 1.063395e-07 0
  1.093902  11.765543 1667.227741 1.032999e-07 0
  1.083189  11.532263 1667.279634 1.002602e-07 0
  1.075371  11.264032 1667.326435 9.722058e-08 0
  1.069983  10.966855 1667.369551 9.418094e-08 0
  1.061537  10.697192 1667.416291 9.114128e-08 0
  1.054395  10.410523 1667.459491 8.810164e-08 0
  1.005719  10.535523 1667.560713 8.506200e-08 0
  0.985400  10.370321 1667.617265 8.202235e-08 0
  0.945831  10.403849 1667.673066 7.898270e-08 1
  0.863503  10.957358 1667.728907 7.594305e-08 1
  0.781626  11.620981 1667.778852 7.290341e-08 1
  0.708151  12.292322 1667.818163 6.986376e-08 1
  0.639669  13.016385 1667.855834 6.682411e-08 1
  0.578852  13.730028 1667.879181 6.378447e-08 1
  0.524378  14.433927 1667.912784 6.074482e-08 1
  0.474390  15.156765 1667.934601 5.770517e-08 1
  0.429830  15.846938 1667.956518 5.466552e-08 1
  0.389213  16.527685 1667.971908 5.162588e-08 1
  0.351624  17.217322 1667.992653 4.858623e-08 1
  0.317614  17.868498 1668.013387 4.554658e-08 1
  0.285110  18.577297 1668.019889 4.250693e-08 1
  0.256249  19.191647 1668.021149 3.946729e-08 1
  0.229428  19.784332 1668.027315 3.642764e-08 1
  0.203596  20.434144 1668.039316 3.338799e-08 1
  0.179805  21.031606 1668.023000 3.034835e-08 1
  0.157499  21.605381 1668.016292 2.730870e-08 1
  0.136647  22.130681 1667.986282 2.426905e-08 1
  0.117065  22.596990 1667.956901 2.122940e-08 1
  0.098217  23.077054 1667.937326 1.818976e-08 1
  0.080257  23.521349 1667.818227 1.515011e-08 1
  0.063337  23.825392 1667.726471 1.211046e-08 1
  0.046510  24.301439 1667.637170 9.070815e-09 0
  0.030154  24.900611 1667.085803 6.031168e-09 0
  0.014839  25.412465 1665.861797 3.039647e-09 0
  0.014204  26.666071 1665.833728 3.039647e-09 0
