# vel[cm/s]  width[Hz], freq[Hz], drive[A], fit
  1.065231   1.825105 1667.792609 1.599999e-08 0
  1.064093   1.800579 1667.796289 1.576810e-08 0
  1.064388   1.773613 1667.799485 1.553622e-08 0
  1.063600   1.748433 1667.802748 1.530433e-08 0
  1.062273   1.724096 1667.805774 1.507245e-08 0
  1.061791   1.698349 1667.808062 1.484057e-08 0
  1.060695   1.673531 1667.811050 1.460868e-08 0
  1.059828   1.648300 1667.815065 1.437680e-08 0
  1.060082   1.621343 1667.817830 1.414491e-08 0
  1.058711   1.596823 1667.820711 1.391303e-08 0
  1.058458   1.570594 1667.822886 1.368115e-08 0
  1.056186   1.547278 1667.826479 1.344926e-08 0
  1.054817   1.522570 1667.830204 1.321738e-08 0
  1.055027   1.495578 1667.832561 1.298549e-08 0
  1.053370   1.471175 1667.835424 1.275361e-08 0
  1.052031   1.446260 1667.838532 1.252173e-08 0
  1.050851   1.421074 1667.841500 1.228984e-08 0
  1.048088   1.397920 1667.845484 1.205796e-08 0
  1.044351   1.375925 1667.850507 1.182608e-08 0
  1.042021   1.351962 1667.855406 1.159419e-08 0
  1.037945   1.330110 1667.861093 1.136231e-08 0
  1.032430   1.309917 1667.866792 1.113043e-08 0
  0.992257   1.331992 1667.907235 1.089854e-08 0
  0.988965   1.310509 1667.913309 1.066666e-08 0
  0.985770   1.286196 1667.917998 1.043477e-08 0
  0.982345   1.262002 1667.922389 1.020289e-08 0
  0.981285   1.234651 1667.926786 9.971005e-09 0
  0.978897   1.208874 1667.931288 9.739122e-09 0
  0.971630   1.188871 1667.937704 9.507238e-09 0
  0.961333   1.172231 1667.946273 9.275354e-09 0
  0.938546   1.170471 1667.959527 9.043470e-09 0
  0.911559   1.174179 1667.973713 8.811586e-09 1
  0.883267   1.179881 1667.988441 8.579702e-09 1
  0.843557   1.201886 1668.005750 8.347819e-09 1
  0.805255   1.224215 1668.021336 8.115935e-09 1
  0.765513   1.251008 1668.036530 7.884051e-09 1
  0.725418   1.281417 1668.050270 7.652167e-09 1
  0.686104   1.313822 1668.063669 7.420283e-09 1
  0.649354   1.344888 1668.075310 7.188399e-09 1
  0.610206   1.385050 1668.085943 6.956515e-09 1
  0.573419   1.424817 1668.095750 6.724632e-09 1
  0.539144   1.463188 1668.104338 6.492748e-09 1
  0.504647   1.507416 1668.111757 6.260863e-09 1
  0.471639   1.553202 1668.118333 6.028980e-09 1
  0.440374   1.599511 1668.124233 5.797096e-09 1
  0.410404   1.647710 1668.127737 5.565213e-09 1
  0.382249   1.695369 1668.130741 5.333329e-09 1
  0.354458   1.748805 1668.133620 5.101445e-09 1
  0.329089   1.798021 1668.133853 4.869561e-09 1
  0.304529   1.850509 1668.133531 4.637677e-09 1
  0.281216   1.903726 1668.132293 4.405793e-09 1
  0.259849   1.951828 1668.130742 4.173909e-09 1
  0.239310   2.001605 1668.126537 3.942025e-09 1
  0.219670   2.052294 1668.122916 3.710141e-09 1
  0.200960   2.103153 1668.116732 3.478258e-09 1
  0.182757   2.158457 1668.110607 3.246374e-09 1
  0.165695   2.210658 1668.102648 3.014490e-09 1
  0.149671   2.259076 1668.094392 2.782606e-09 1
  0.134347   2.307037 1668.089595 2.550722e-09 1
  0.119859   2.350810 1668.083226 2.318838e-09 1
  0.106337   2.384758 1668.074343 2.086955e-09 1
  0.092426   2.438817 1668.062990 1.855071e-09 1
  0.079711   2.474347 1668.051541 1.623187e-09 1
  0.067565   2.502080 1668.037014 1.391303e-09 1
  0.055200   2.552170 1668.024778 1.159419e-09 1
  0.043382   2.597348 1667.992137 9.275354e-10 0
  0.032047   2.636320 1667.945141 6.956516e-10 0
  0.020750   2.710940 1667.858268 4.637677e-10 0
  0.009849   2.828165 1667.635641 2.318838e-10 0
  0.008603   3.273121 1667.564473 2.318838e-10 0
