# vel[cm/s]  width[Hz], freq[Hz], drive[A], fit
  1.082275   3.082151 1667.676388 2.714244e-08 0
  1.081562   3.040086 1667.681288 2.675469e-08 0
  1.080226   2.999723 1667.686876 2.636694e-08 0
  1.079359   2.958003 1667.690811 2.597919e-08 0
  1.078527   2.916095 1667.695156 2.559145e-08 0
  1.077754   2.873977 1667.698663 2.520370e-08 0
  1.077299   2.830955 1667.702566 2.481595e-08 0
  1.076884   2.787795 1667.706376 2.442820e-08 0
  1.076115   2.745504 1667.710145 2.404045e-08 0
  1.076180   2.701061 1667.713633 2.365270e-08 0
  1.075253   2.659056 1667.718524 2.326495e-08 0
  1.073147   2.619844 1667.725165 2.287720e-08 0
  1.071503   2.579402 1667.730982 2.248945e-08 0
  1.070700   2.536853 1667.734969 2.210170e-08 0
  1.069750   2.494544 1667.739989 2.171395e-08 0
  1.068791   2.452178 1667.746350 2.132620e-08 0
  1.067911   2.409581 1667.752504 2.093845e-08 0
  1.065829   2.369572 1667.758727 2.055071e-08 0
  1.064553   2.327647 1667.765145 2.016296e-08 0
  1.063399   2.285358 1667.771643 1.977521e-08 0
  1.061168   2.245256 1667.778080 1.938746e-08 0
  1.060777   2.201197 1667.781856 1.899971e-08 0
  1.058639   2.160617 1667.786671 1.861196e-08 0
  1.058128   2.116629 1667.790957 1.822421e-08 0
  1.055815   2.076126 1667.795650 1.783646e-08 0
  1.054397   2.033717 1667.800707 1.744871e-08 0
  1.052828   1.991492 1667.805372 1.706096e-08 0
  1.051289   1.949075 1667.810251 1.667321e-08 0
  1.046440   1.912515 1667.818095 1.628546e-08 0
  1.039919   1.878652 1667.827226 1.589772e-08 0
  1.034480   1.842494 1667.835019 1.550997e-08 0
  0.992576   1.870053 1667.879505 1.512222e-08 0
  0.988776   1.831265 1667.887559 1.473447e-08 0
  0.983539   1.792568 1667.895575 1.434672e-08 0
  0.979954   1.750516 1667.902633 1.395897e-08 0
  0.973896   1.712444 1667.910961 1.357122e-08 0
  0.959946   1.687566 1667.923427 1.318347e-08 0
  0.921515   1.705827 1667.945203 1.279572e-08 1
  0.884997   1.722526 1667.964578 1.240797e-08 1
  0.835064   1.768333 1667.987171 1.202022e-08 1
  0.784219   1.822373 1668.008128 1.163248e-08 1
  0.734239   1.881679 1668.026778 1.124473e-08 1
  0.679591   1.962934 1668.045458 1.085698e-08 1
  0.632039   2.035392 1668.060713 1.046923e-08 1
  0.587151   2.109949 1668.073519 1.008148e-08 1
  0.544421   2.188076 1668.085140 9.693729e-09 1
  0.503265   2.272398 1668.094559 9.305980e-09 1
  0.464952   2.357169 1668.104006 8.918231e-09 1
  0.428773   2.444970 1668.111522 8.530482e-09 1
  0.395432   2.530646 1668.117488 8.142732e-09 1
  0.363526   2.621710 1668.120119 7.754983e-09 1
  0.333458   2.715210 1668.121933 7.367234e-09 1
  0.305475   2.807935 1668.124808 6.979486e-09 1
  0.279680   2.896547 1668.124163 6.591736e-09 1
  0.255286   2.986671 1668.120160 6.203987e-09 1
  0.232489   3.074544 1668.120641 5.816238e-09 1
  0.211697   3.151425 1668.115751 5.428488e-09 1
  0.190827   3.246362 1668.108842 5.040739e-09 1
  0.171808   3.328360 1668.102406 4.652990e-09 1
  0.153854   3.407044 1668.096664 4.265241e-09 1
  0.136529   3.490347 1668.087298 3.877492e-09 1
  0.120321   3.564481 1668.081343 3.489743e-09 1
  0.104644   3.643073 1668.082366 3.101993e-09 1
  0.089817   3.713724 1668.058423 2.714244e-09 1
  0.075783   3.772889 1668.053212 2.326495e-09 1
  0.062239   3.827718 1668.017787 1.938746e-09 1
  0.049124   3.880156 1667.998799 1.550997e-09 0
  0.036265   3.939199 1667.919361 1.163247e-09 0
  0.023669   4.024197 1667.841772 7.754983e-10 0
  0.010750   4.392384 1667.536778 3.877492e-10 0
  0.010313   4.618302 1667.448254 3.877492e-10 0
