# vel[cm/s]  width[Hz], freq[Hz], drive[A], fit
  0.003496 111.906791 6772.458054 3.269344e-09 0
  0.007266 107.695487 6771.960668 6.538687e-09 0
  0.011028 106.434998 6771.916747 9.808030e-09 1
  0.014530 107.708298 6772.317799 1.307737e-08 1
  0.018262 107.127227 6772.518803 1.634672e-08 1
  0.022623 103.767618 6772.888427 1.961606e-08 1
  0.026679 102.656003 6772.648594 2.288540e-08 1
  0.030822 101.550788 6773.111485 2.615475e-08 1
  0.035123 100.257528 6773.013541 2.942409e-08 1
  0.039783  98.349823 6773.079212 3.269344e-08 1
  0.044072  97.655570 6773.283474 3.596278e-08 1
  0.048975  95.868744 6773.194527 3.923212e-08 1
  0.053899  94.368484 6773.075838 4.250147e-08 1
  0.059129  92.637859 6773.222339 4.577081e-08 1
  0.064704  90.703952 6773.223229 4.904015e-08 1
  0.070491  88.808489 6773.256861 5.230950e-08 1
  0.076492  86.955821 6773.127916 5.557884e-08 1
  0.083032  84.817019 6773.306326 5.884818e-08 1
  0.089512  83.050373 6773.199692 6.211753e-08 1
  0.096711  80.913426 6773.099105 6.538687e-08 1
  0.103976  79.022904 6773.058295 6.865621e-08 1
  0.112058  76.814161 6773.096538 7.192556e-08 1
  0.120696  74.558310 6773.136859 7.519490e-08 1
  0.129596  72.457181 6773.176706 7.846424e-08 1
  0.139477  70.129551 6773.140348 8.173359e-08 1
  0.149780  67.917536 6773.154012 8.500293e-08 1
  0.160691  65.741240 6773.057603 8.827227e-08 0
  0.168846  64.865637 6772.108544 9.154162e-08 0
  0.165887  67.938376 6767.955996 9.481097e-08 0
  0.148191  78.303149 6761.805310 9.808030e-08 0
  0.113714 105.985983 6755.645312 1.013496e-07 0
  0.081751 152.880090 6751.087675 1.046190e-07 0
  0.061033 210.636727 6741.862186 1.078883e-07 0
  0.038848 333.477537 6767.675208 1.093792e-07 0
  0.199763  56.301640 6760.053667 1.061098e-07 0
