# vel[cm/s]  width[Hz], freq[Hz], drive[A], fit
  0.009745   2.259136 3793.960425 1.607874e-10 0
  0.021697   2.031104 3793.953882 3.215748e-10 0
  0.033613   1.966614 3793.963591 4.823622e-10 1
  0.046407   1.899215 3793.974149 6.431495e-10 1
  0.059924   1.837698 3794.003948 8.039369e-10 1
  0.072952   1.811919 3794.024479 9.647244e-10 1
  0.087764   1.755972 3794.061940 1.125512e-09 1
  0.103727   1.699138 3794.080045 1.286299e-09 1
  0.120494   1.645431 3794.099844 1.447087e-09 1
  0.136720   1.611416 3794.116089 1.607874e-09 1
  0.156936   1.544432 3794.124339 1.768661e-09 1
  0.175209   1.508856 3794.140820 1.929449e-09 1
  0.197996   1.446783 3794.144742 2.090236e-09 1
  0.219293   1.406705 3794.152016 2.251023e-09 1
  0.241991   1.365824 3794.158842 2.411811e-09 1
  0.269501   1.308183 3794.153225 2.572598e-09 1
  0.296242   1.264495 3794.157217 2.733386e-09 1
  0.323933   1.224389 3794.150867 2.894173e-09 1
  0.353018   1.185937 3794.145413 3.054960e-09 1
  0.383728   1.148338 3794.135724 3.215748e-09 1
  0.414124   1.117309 3794.128227 3.376535e-09 1
  0.446233   1.086376 3794.125639 3.537322e-09 1
  0.478634   1.058524 3794.111736 3.698110e-09 1
  0.511745   1.033084 3794.098211 3.858897e-09 1
  0.545969   1.008438 3794.081112 4.019685e-09 1
  0.578501   0.989797 3794.064615 4.180472e-09 1
  0.611087   0.972874 3794.045599 4.341259e-09 1
  0.639441   0.964227 3794.027719 4.502047e-09 1
  0.671669   0.950300 3794.004660 4.662834e-09 0
  0.684815   0.964975 3793.991977 4.823622e-09 0
  0.694183   0.983751 3793.980027 4.984409e-09 0
  0.695175   1.014261 3793.974051 5.145196e-09 0
  0.700118   1.038509 3793.965547 5.305984e-09 0
  0.698562   1.072471 3793.961635 5.466771e-09 0
  0.702479   1.097778 3793.953644 5.627558e-09 0
  0.709519   1.117410 3793.942554 5.786158e-09 0
  0.711677   1.144653 3793.933998 5.944758e-09 0
  0.719708   1.162004 3793.923204 6.103358e-09 0
  0.722841   1.187087 3793.913526 6.261958e-09 0
  0.725301   1.213107 3793.906846 6.420557e-09 0
  0.729864   1.235310 3793.900521 6.579157e-09 0
  0.729626   1.265387 3793.889588 6.737757e-09 0
  0.732589   1.290085 3793.884632 6.896357e-09 0
  0.732984   1.319036 3793.879336 7.054957e-09 0
  0.732694   1.349206 3793.872887 7.213556e-09 0
  0.734057   1.376338 3793.868021 7.372156e-09 0
  0.732519   1.408928 3793.865812 7.530756e-09 0
  0.732731   1.438117 3793.858664 7.689356e-09 0
  0.734452   1.464371 3793.853193 7.847955e-09 0
  0.734513   1.493803 3793.845374 8.006556e-09 0
  0.735067   1.522307 3793.841302 8.165155e-09 0
  0.736257   1.549320 3793.834138 8.323755e-09 0
  0.735797   1.579891 3793.831833 8.482355e-09 0
  0.736566   1.607736 3793.827361 8.640955e-09 0
  0.736211   1.638020 3793.822078 8.799555e-09 0
  0.736564   1.666726 3793.815298 8.958154e-09 0
  0.736815   1.695674 3793.809652 9.116755e-09 0
  0.737117   1.724475 3793.804570 9.275354e-09 0
  0.737664   1.752669 3793.800224 9.433954e-09 0
  0.738849   1.779269 3793.795011 9.592553e-09 0
  0.738594   1.809323 3793.791041 9.751153e-09 0
  0.740658   1.833615 3793.785723 9.909753e-09 0
  0.740439   1.863496 3793.779408 1.006835e-08 0
  0.737904   1.899383 3793.775272 1.022695e-08 0
  0.740048   1.923250 3793.771350 1.038555e-08 0
  0.740736   1.950790 3793.765518 1.054415e-08 0
  0.740133   1.981742 3793.759604 1.070275e-08 0
  0.742630   2.004365 3793.755081 1.086135e-08 0
  0.740807   2.038486 3793.769689 1.101995e-08 0
  0.743196   2.061311 3793.763792 1.117855e-08 0
  0.742228   2.078179 3793.761886 1.125512e-08 0
  0.742379   2.048472 3793.766544 1.109652e-08 0
