# vel[cm/s]  width[Hz], freq[Hz], drive[A], fit
  0.716868   2.462341 3768.810878 2.321026e-08 0
  0.716150   2.429403 3768.815956 2.287665e-08 0
  0.716144   2.393996 3768.823266 2.254305e-08 0
  0.716058   2.358852 3768.828948 2.220944e-08 0
  0.713592   2.331446 3768.833225 2.187583e-08 0
  0.714069   2.294357 3768.841909 2.154223e-08 0
  0.713834   2.259571 3768.846569 2.120862e-08 0
  0.713790   2.224166 3768.853804 2.087501e-08 0
  0.713444   2.189677 3768.862530 2.054141e-08 0
  0.712848   2.155340 3768.867834 2.020233e-08 0
  0.711450   2.123913 3768.872623 1.986873e-08 0
  0.711852   2.087072 3768.879021 1.953512e-08 0
  0.711756   2.051705 3768.886398 1.920151e-08 0
  0.709754   2.021748 3768.891562 1.886791e-08 0
  0.712299   1.978906 3768.896934 1.853430e-08 0
  0.710953   1.946379 3768.902743 1.819522e-08 0
  0.707123   1.921043 3768.908061 1.786162e-08 0
  0.709292   1.879397 3768.914359 1.752801e-08 0
  0.707298   1.848823 3768.920591 1.719441e-08 0
  0.707064   1.813542 3768.928604 1.686080e-08 0
  0.707041   1.777726 3768.935251 1.652719e-08 0
  0.705109   1.746026 3768.941390 1.618812e-08 0
  0.705944   1.708023 3768.946721 1.585451e-08 0
  0.704828   1.674718 3768.954450 1.552091e-08 0
  0.704075   1.640487 3768.958207 1.518730e-08 0
  0.703373   1.606046 3768.964998 1.485369e-08 0
  0.702703   1.571478 3768.969884 1.452009e-08 0
  0.702126   1.536037 3768.976223 1.418101e-08 0
  0.701528   1.501164 3768.984124 1.384740e-08 0
  0.702251   1.463509 3768.989631 1.351380e-08 0
  0.700937   1.430046 3768.996420 1.318019e-08 0
  0.701004   1.393713 3769.003293 1.284658e-08 0
  0.700460   1.358577 3769.009803 1.251298e-08 0
  0.698741   1.325023 3769.014616 1.217390e-08 0
  0.697733   1.290546 3769.022368 1.184030e-08 0
  0.697049   1.255435 3769.028392 1.150669e-08 0
  0.695527   1.221685 3769.035808 1.117308e-08 0
  0.697217   1.182333 3769.042941 1.083948e-08 0
  0.695102   1.149426 3769.050277 1.050587e-08 0
  0.697806   1.108518 3769.044436 1.017226e-08 0
  0.694060   1.078007 3769.053586 9.838657e-09 0
  0.693193   1.042161 3769.061682 9.499581e-09 0
  0.690462   1.009531 3769.070158 9.165975e-09 0
  0.691676   0.971109 3769.076952 8.832368e-09 0
  0.688247   0.939032 3769.085660 8.498762e-09 0
  0.676995   0.916814 3769.102125 8.165155e-09 0
  0.675759   0.881342 3769.108503 7.831549e-09 0
  0.661421   0.861038 3769.124814 7.492473e-09 0
  0.619984   0.876528 3769.153476 7.158867e-09 1
  0.563979   0.917823 3769.189281 6.825260e-09 1
  0.508746   0.968786 3769.219164 6.491654e-09 1
  0.454987   1.028101 3769.246060 6.158047e-09 1
  0.403618   1.095475 3769.271365 5.818972e-09 1
  0.359535   1.159738 3769.291963 5.485366e-09 1
  0.318167   1.230560 3769.306087 5.149025e-09 1
  0.279777   1.307995 3769.321379 4.812684e-09 1
  0.245086   1.388994 3769.330065 4.476343e-09 1
  0.213075   1.477606 3769.340509 4.140002e-09 1
  0.187703   1.541135 3769.345962 3.803661e-09 1
  0.161669   1.631088 3769.348997 3.467320e-09 1
  0.140502   1.694004 3769.327229 3.130979e-09 1
  0.117701   1.805741 3769.330941 2.794638e-09 1
  0.101060   1.849871 3769.325100 2.458297e-09 1
  0.082332   1.959354 3769.302228 2.121956e-09 1
  0.067196   2.020516 3769.285621 1.785615e-09 1
  0.053252   2.069777 3769.292779 1.449274e-09 1
  0.040596   2.084603 3769.278606 1.112933e-09 1
  0.026173   2.251605 3769.208536 7.765921e-10 1
  0.013256   2.518172 3769.310907 4.402512e-10 0
  0.010361   2.439463 3769.128667 3.363410e-10 0
  0.011419   2.226706 3769.252908 3.363410e-10 0
