# vel[cm/s]  width[Hz], freq[Hz], drive[A], fit
  0.008181  24.873381 3118.230657 1.587092e-09 0
  0.015849  25.668397 3117.771082 3.174184e-09 0
  0.023963  25.477574 3117.548127 4.761275e-09 0
  0.032119  25.347195 3117.551103 6.348367e-09 1
  0.040658  25.029437 3117.482854 7.935459e-09 1
  0.049466  24.687744 3117.481672 9.522551e-09 1
  0.058358  24.413681 3117.501160 1.110964e-08 1
  0.068124  23.901316 3117.548596 1.269673e-08 1
  0.077856  23.527994 3117.569173 1.428383e-08 1
  0.088199  23.076567 3117.560557 1.587092e-08 1
  0.099074  22.597486 3117.625553 1.745801e-08 1
  0.110047  22.193931 3117.660229 1.904510e-08 1
  0.122122  21.665854 3117.720890 2.063219e-08 1
  0.134630  21.164555 3117.788258 2.221928e-08 1
  0.147746  20.663695 3117.822687 2.380638e-08 1
  0.161762  20.131327 3117.868108 2.539347e-08 1
  0.176718  19.578942 3117.934425 2.698056e-08 1
  0.192664  19.014947 3117.990918 2.856765e-08 1
  0.209570  18.452274 3118.041399 3.015474e-08 1
  0.227924  17.859162 3118.096165 3.174184e-08 1
  0.247625  17.260385 3118.139480 3.332893e-08 1
  0.268446  16.679860 3118.175805 3.491602e-08 1
  0.291423  16.063187 3118.206598 3.650311e-08 1
  0.316660  15.425737 3118.237055 3.809020e-08 1
  0.343496  14.813255 3118.250556 3.967730e-08 1
  0.372695  14.198838 3118.257026 4.126439e-08 1
  0.404721  13.578258 3118.251288 4.285148e-08 1
  0.438429  12.998568 3118.235713 4.443857e-08 1
  0.475014  12.425861 3118.199281 4.602566e-08 1
  0.511731  11.931800 3118.139245 4.761276e-08 1
  0.529709  11.910359 3118.043643 4.919984e-08 0
  0.533235  12.213659 3117.962575 5.078694e-08 0
  0.536610  12.516365 3117.894406 5.237403e-08 0
  0.541871  12.770781 3117.854864 5.396112e-08 0
  0.546075  13.045230 3117.821063 5.554821e-08 0
  0.549335  13.338278 3117.779370 5.713531e-08 0
  0.552320  13.634732 3117.745772 5.872240e-08 0
  0.556277  13.903635 3117.710827 6.030949e-08 0
  0.561319  14.141330 3117.675718 6.189658e-08 0
  0.565638  14.393179 3117.639608 6.348367e-08 0
  0.571044  14.613384 3117.610296 6.507076e-08 0
  0.575124  14.863603 3117.581829 6.665786e-08 0
  0.577533  15.154027 3117.549663 6.824495e-08 0
  0.580708  15.421652 3117.513273 6.983204e-08 0
  0.582388  15.726613 3117.470721 7.141913e-08 0
  0.584192  16.026442 3117.429647 7.300622e-08 0
  0.586368  16.314101 3117.393598 7.459332e-08 0
  0.588793  16.592603 3117.359506 7.618041e-08 0
  0.591165  16.870344 3117.337101 7.776750e-08 0
  0.593514  17.146487 3117.302829 7.935459e-08 0
  0.596293  17.407925 3117.281450 8.094168e-08 0
  0.599425  17.656526 3117.254397 8.252877e-08 0
  0.601605  17.930832 3117.215335 8.411587e-08 0
  0.603829  18.201787 3117.166213 8.570296e-08 0
  0.606714  18.450767 3117.128135 8.729005e-08 0
  0.610349  18.674372 3117.092255 8.887714e-08 0
  0.613444  18.911956 3117.069982 9.046424e-08 0
  0.616162  19.158816 3117.031150 9.205132e-08 0
  0.619208  19.393311 3117.006978 9.363841e-08 0
  0.622787  19.608640 3116.969190 9.522551e-08 0
  0.625833  19.838443 3116.937901 9.681260e-08 0
  0.629768  20.037654 3116.902544 9.839969e-08 0
  0.633110  20.253366 3116.862003 9.998678e-08 0
  0.636682  20.459449 3116.830519 1.015739e-07 0
  0.640709  20.648530 3116.803026 1.031610e-07 0
  0.645208  20.819978 3116.770969 1.047481e-07 0
  0.648462  21.029411 3116.744370 1.063351e-07 0
  0.651419  21.246377 3116.711600 1.079222e-07 0
  0.654002  21.448142 3116.682200 1.093792e-07 0
  0.654189  21.442021 3116.681738 1.093792e-07 0
