# vel[cm/s]  width[Hz], freq[Hz], drive[A], fit
  0.533402   2.046987 3118.685428 8.919872e-09 0
  0.533358   2.017907 3118.690217 8.792445e-09 0
  0.532698   1.991129 3118.694469 8.665019e-09 0
  0.532123   1.963966 3118.699235 8.537591e-09 0
  0.531632   1.936436 3118.704102 8.410165e-09 0
  0.530963   1.909503 3118.708808 8.282738e-09 0
  0.531068   1.879743 3118.714309 8.155311e-09 0
  0.531025   1.850525 3118.719259 8.027884e-09 0
  0.530822   1.821837 3118.725510 7.900458e-09 0
  0.530758   1.792678 3118.730421 7.773032e-09 0
  0.531032   1.762366 3118.736367 7.645604e-09 0
  0.530544   1.734584 3118.742676 7.518177e-09 0
  0.530368   1.705757 3118.748087 7.390751e-09 0
  0.529755   1.678261 3118.755489 7.263324e-09 0
  0.530129   1.647681 3118.760520 7.135897e-09 0
  0.529005   1.621644 3118.769077 7.008471e-09 0
  0.529742   1.589998 3118.773710 6.881044e-09 0
  0.528520   1.564069 3118.783588 6.753617e-09 0
  0.526794   1.539537 3118.795251 6.626190e-09 0
  0.524795   1.515692 3118.806267 6.498764e-09 0
  0.525495   1.484109 3118.811155 6.371337e-09 0
  0.520854   1.467007 3118.828811 6.243910e-09 0
  0.512433   1.460352 3118.852329 6.116483e-09 0
  0.500365   1.464206 3118.879171 5.989057e-09 1
  0.486252   1.474713 3118.905214 5.861630e-09 1
  0.469810   1.493161 3118.931433 5.734203e-09 1
  0.452405   1.516289 3118.955488 5.606776e-09 1
  0.434485   1.543137 3118.976838 5.479350e-09 1
  0.416168   1.573728 3118.995613 5.351923e-09 1
  0.397706   1.607682 3119.012543 5.224496e-09 1
  0.378960   1.646169 3119.026762 5.097069e-09 1
  0.361006   1.684939 3119.037806 4.969643e-09 1
  0.343295   1.726464 3119.048157 4.842216e-09 1
  0.326272   1.768784 3119.056444 4.714789e-09 1
  0.309701   1.813096 3119.062852 4.587363e-09 1
  0.293747   1.858505 3119.066504 4.459936e-09 1
  0.278717   1.902761 3119.070135 4.332509e-09 1
  0.263889   1.950587 3119.070394 4.205082e-09 1
  0.249883   1.997490 3119.072361 4.077656e-09 1
  0.236323   2.046099 3119.070514 3.950229e-09 1
  0.223624   2.092543 3119.067436 3.822802e-09 1
  0.211295   2.140808 3119.063197 3.695375e-09 1
  0.199495   2.189242 3119.058020 3.567949e-09 1
  0.187942   2.240808 3119.050855 3.440522e-09 1
  0.177433   2.285614 3119.043707 3.313095e-09 1
  0.166987   2.335183 3119.036090 3.185668e-09 1
  0.157262   2.380391 3119.027426 3.058242e-09 1
  0.147770   2.427735 3119.018318 2.930815e-09 1
  0.138793   2.472333 3119.007072 2.803388e-09 1
  0.130195   2.515830 3118.996334 2.675962e-09 1
  0.121607   2.565133 3118.980506 2.548535e-09 1
  0.113624   2.608130 3118.966672 2.421108e-09 1
  0.105831   2.652835 3118.955068 2.293681e-09 1
  0.098428   2.693801 3118.938503 2.166255e-09 1
  0.091106   2.739187 3118.925949 2.038828e-09 1
  0.084358   2.773283 3118.908761 1.911401e-09 1
  0.077721   2.809474 3118.891638 1.783974e-09 1
  0.070920   2.859015 3118.877443 1.656548e-09 1
  0.064509   2.901224 3118.858063 1.529121e-09 1
  0.058398   2.937954 3118.846287 1.401694e-09 1
  0.052554   2.967756 3118.829082 1.274267e-09 1
  0.046810   2.998736 3118.813643 1.146841e-09 1
  0.041158   3.031498 3118.792990 1.019414e-09 1
  0.035902   3.041129 3118.783647 8.919872e-10 1
  0.030406   3.077608 3118.764202 7.645604e-10 1
  0.025044   3.113818 3118.746425 6.371337e-10 0
  0.019888   3.137107 3118.759333 5.097069e-10 0
  0.015069   3.104483 3118.728220 3.822802e-10 0
  0.010028   3.110908 3118.719381 2.548535e-10 0
  0.004892   3.188310 3118.699791 1.274267e-10 0
  0.005184   3.007568 3118.751136 1.274267e-10 0
