# vel[cm/s]  width[Hz], freq[Hz], drive[A], fit
  0.007163   1.029869 3084.263661 1.110199e-10 0
  0.013977   1.059211 3084.268166 2.220397e-10 0
  0.021553   1.030208 3084.280565 3.330596e-10 0
  0.029284   1.010786 3084.297612 4.440795e-10 0
  0.037107   0.997411 3084.305333 5.550993e-10 0
  0.045358   0.979177 3084.310310 6.661192e-10 1
  0.054420   0.952073 3084.319748 7.771391e-10 1
  0.063474   0.932904 3084.328429 8.881589e-10 1
  0.073234   0.909673 3084.334915 9.991787e-10 1
  0.083742   0.883925 3084.340866 1.110199e-09 1
  0.094723   0.859619 3084.345221 1.221218e-09 1
  0.106961   0.830440 3084.351660 1.332238e-09 1
  0.118997   0.808668 3084.356312 1.443258e-09 1
  0.131919   0.785553 3084.362029 1.554278e-09 1
  0.145797   0.761559 3084.366655 1.665298e-09 1
  0.160272   0.738961 3084.371547 1.776318e-09 1
  0.176486   0.713016 3084.376116 1.887338e-09 1
  0.192500   0.692169 3084.378380 1.998357e-09 1
  0.210471   0.668234 3084.381261 2.109377e-09 1
  0.229066   0.646304 3084.382410 2.220397e-09 1
  0.248974   0.624357 3084.383643 2.331417e-09 1
  0.268612   0.606263 3084.384090 2.442437e-09 1
  0.289822   0.587433 3084.383902 2.553457e-09 1
  0.312562   0.568335 3084.381830 2.664477e-09 1
  0.335106   0.552114 3084.377628 2.775496e-09 1
  0.358566   0.536450 3084.370215 2.886517e-09 1
  0.382087   0.522470 3084.358939 2.997536e-09 1
  0.406754   0.508425 3084.343406 3.108556e-09 1
  0.430173   0.497425 3084.324718 3.219576e-09 1
  0.452214   0.488988 3084.303593 3.330596e-09 1
  0.472384   0.483192 3084.279682 3.441616e-09 1
  0.489220   0.481731 3084.256637 3.552636e-09 0
  0.502711   0.483554 3084.234148 3.663655e-09 0
  0.507743   0.494520 3084.218433 3.774675e-09 0
  0.509517   0.508126 3084.210427 3.885695e-09 0
  0.510098   0.522309 3084.206845 3.996715e-09 0
  0.509988   0.536962 3084.203745 4.107735e-09 0
  0.510817   0.550541 3084.199742 4.218755e-09 0
  0.511973   0.563759 3084.195854 4.329775e-09 0
  0.513045   0.577001 3084.191899 4.440794e-09 0
  0.513359   0.591092 3084.188237 4.551814e-09 0
  0.513609   0.605251 3084.185789 4.662834e-09 0
  0.514299   0.618801 3084.182391 4.773854e-09 0
  0.514628   0.632814 3084.179678 4.884874e-09 0
  0.514919   0.646816 3084.176609 4.995894e-09 0
  0.515761   0.660121 3084.173732 5.106914e-09 0
  0.515528   0.674773 3084.170512 5.217934e-09 0
  0.516302   0.688109 3084.167920 5.328953e-09 0
  0.516479   0.702200 3084.165254 5.439973e-09 0
  0.516619   0.716347 3084.162505 5.550993e-09 0
  0.516986   0.730154 3084.159998 5.662013e-09 0
  0.517157   0.744207 3084.156821 5.773033e-09 0
  0.517566   0.757923 3084.153714 5.884053e-09 0
  0.517185   0.772799 3084.150604 5.995073e-09 0
  0.517751   0.786245 3084.147629 6.106092e-09 0
  0.518401   0.799545 3084.144583 6.217113e-09 0
  0.518227   0.814111 3084.142119 6.328132e-09 0
  0.518279   0.828321 3084.140229 6.439152e-09 0
  0.518246   0.842636 3084.137484 6.550172e-09 0
  0.518623   0.856305 3084.135042 6.661192e-09 0
  0.518677   0.870479 3084.132237 6.772212e-09 0
  0.519041   0.884124 3084.129247 6.883231e-09 0
  0.519311   0.897894 3084.125810 6.994251e-09 0
  0.519129   0.912484 3084.122585 7.105272e-09 0
  0.521852   0.921525 3084.111575 7.216291e-09 0
  0.521701   0.936356 3084.107871 7.327311e-09 0
  0.521460   0.950947 3084.103733 7.438331e-09 0
  0.521714   0.964728 3084.101051 7.549350e-09 0
  0.522036   0.978300 3084.098076 7.660370e-09 0
  0.522031   0.992505 3084.095880 7.771390e-09 0
  0.521883   0.992834 3084.095827 7.771390e-09 0
