# vel[cm/s]  width[Hz], freq[Hz], drive[A], fit
  0.293366  26.003946 6764.590981 7.468957e-08 0
  0.292281  25.724800 6764.643425 7.362257e-08 0
  0.291058  25.459000 6764.683278 7.255558e-08 0
  0.290061  25.169276 6764.748544 7.148859e-08 0
  0.288768  24.904784 6764.808163 7.042159e-08 0
  0.287684  24.619916 6764.863602 6.935460e-08 0
  0.286691  24.325645 6764.904483 6.828761e-08 0
  0.285689  24.029027 6764.951314 6.722061e-08 0
  0.284823  23.719253 6764.999232 6.615362e-08 0
  0.283374  23.455897 6765.047129 6.508662e-08 0
  0.282190  23.168573 6765.084860 6.401963e-08 0
  0.280885  22.887453 6765.133802 6.295264e-08 0
  0.280019  22.567894 6765.198656 6.188564e-08 0
  0.278288  22.317350 6765.251330 6.081865e-08 0
  0.277382  21.996450 6765.316227 5.975165e-08 0
  0.275751  21.731551 6765.375986 5.868466e-08 0
  0.274549  21.429021 6765.444616 5.761767e-08 0
  0.273504  21.112604 6765.508620 5.655067e-08 0
  0.272396  20.798611 6765.567401 5.548368e-08 0
  0.270608  20.533427 6765.623972 5.441669e-08 0
  0.269295  20.228409 6765.685215 5.334969e-08 0
  0.267894  19.926581 6765.756694 5.228270e-08 0
  0.266367  19.630971 6765.835851 5.121571e-08 0
  0.265091  19.313304 6765.928296 5.014871e-08 0
  0.264517  18.944914 6765.994834 4.908172e-08 0
  0.263459  18.606497 6766.071227 4.801472e-08 0
  0.261900  18.301122 6766.146857 4.694773e-08 0
  0.260737  17.964785 6766.220748 4.588074e-08 0
  0.259299  17.643671 6766.299031 4.481374e-08 0
  0.258310  17.288440 6766.387211 4.374675e-08 0
  0.257240  16.935766 6766.484622 4.267975e-08 0
  0.256062  16.589026 6766.569032 4.161276e-08 0
  0.255151  16.220950 6766.654346 4.054576e-08 0
  0.254266  15.847768 6766.749934 3.947877e-08 0
  0.252883  15.503926 6766.838631 3.841178e-08 0
  0.251683  15.143970 6766.936257 3.734478e-08 0
  0.250646  14.772196 6767.027552 3.627779e-08 0
  0.249315  14.414145 6767.115520 3.521080e-08 0
  0.248564  14.019298 6767.201863 3.414380e-08 0
  0.247425  13.644172 6767.278419 3.307681e-08 0
  0.243079  13.437850 6767.378940 3.200982e-08 0
  0.230791  13.674675 6767.551823 3.094282e-08 1
  0.212431  14.349857 6767.685365 2.987583e-08 1
  0.194263  15.136264 6767.783449 2.880883e-08 1
  0.177097  15.992221 6767.848180 2.774184e-08 1
  0.161788  16.834545 6767.889948 2.667485e-08 1
  0.147237  17.758723 6767.935808 2.560785e-08 1
  0.134424  18.643390 6767.950360 2.454086e-08 1
  0.122894  19.507187 6767.950315 2.347386e-08 1
  0.112104  20.413456 6767.940612 2.240687e-08 1
  0.102001  21.367256 6767.936195 2.133988e-08 1
  0.093371  22.176806 6767.899949 2.027288e-08 1
  0.085186  23.024618 6767.945784 1.920589e-08 1
  0.077545  23.894047 6767.859997 1.813890e-08 1
  0.070284  24.808312 6767.871236 1.707190e-08 1
  0.063745  25.646009 6767.836533 1.600491e-08 1
  0.057692  26.449681 6767.739204 1.493791e-08 1
  0.051893  27.302311 6767.730321 1.387092e-08 1
  0.046337  28.226766 6767.647821 1.280393e-08 1
  0.041396  28.961947 6767.599129 1.173693e-08 1
  0.036800  29.617627 6767.567798 1.066994e-08 1
  0.032341  30.332714 6767.465880 9.602945e-09 1
  0.027994  31.149807 6767.346493 8.535951e-09 1
  0.023760  32.109342 6767.357897 7.468957e-09 1
  0.020252  32.295349 6767.152157 6.401964e-09 1
  0.016199  33.639512 6767.208311 5.334969e-09 1
  0.012897  33.805045 6766.776837 4.267975e-09 0
  0.009454  34.590879 6766.448451 3.200982e-09 0
  0.006115  35.645549 6766.441233 2.133988e-09 0
  0.003006  36.199604 6765.170884 1.066994e-09 0
  0.003018  36.079484 6765.616911 1.066994e-09 0
