# vel[cm/s]  width[Hz], freq[Hz], drive[A], fit
  0.049396 198.002327 6800.105926 1.074497e-07 0
  0.261813  31.606559 6765.572509 1.055203e-07 0
  0.223922  43.651289 6754.330537 1.035908e-07 0
  0.077684 111.462836 6787.995923 1.016614e-07 0
  0.265295  32.288184 6765.367751 9.973193e-08 0
  0.224459  43.043486 6757.532009 9.780248e-08 0
  0.123672  75.360341 6766.479877 9.587303e-08 0
  0.199362  47.902803 6758.613839 9.394359e-08 0
  0.140938  61.971603 6767.402212 9.201414e-08 0
  0.225300  40.714556 6761.210857 9.008469e-08 0
  0.183380  47.976712 6763.268120 8.815524e-08 0
  0.202675  42.776540 6763.185428 8.622579e-08 0
  0.210676  40.029800 6763.857235 8.429634e-08 0
  0.223826  36.830478 6764.348010 8.236689e-08 0
  0.235775  34.114567 6764.890722 8.043744e-08 0
  0.248025  31.631567 6765.435434 7.850800e-08 0
  0.255934  29.937259 6765.897591 7.657855e-08 0
  0.255020  29.426822 6766.044532 7.464910e-08 0
  0.252873  28.909005 6766.196961 7.271965e-08 0
  0.250562  28.402499 6766.341500 7.079020e-08 0
  0.247964  27.910653 6766.503596 6.886075e-08 0
  0.245615  27.385325 6766.665360 6.693130e-08 0
  0.242053  26.978184 6766.858452 6.500186e-08 0
  0.227292  27.915283 6767.048109 6.307241e-08 1
  0.210825  29.206428 6767.176078 6.114296e-08 1
  0.194921  30.608104 6767.269880 5.921351e-08 1
  0.179985  32.086482 6767.313602 5.728406e-08 1
  0.166089  33.605955 6767.344445 5.535461e-08 1
  0.153827  35.025107 6767.354199 5.342516e-08 1
  0.142185  36.506533 6767.432503 5.149572e-08 1
  0.131909  37.903191 6767.415532 4.956627e-08 1
  0.121973  39.389166 6767.432462 4.763682e-08 1
  0.112829  40.870947 6767.402225 4.570737e-08 1
  0.104129  42.430964 6767.330715 4.377792e-08 1
  0.096009  43.976105 6767.316248 4.184847e-08 1
  0.088800  45.362367 6767.264425 3.991902e-08 1
  0.081863  46.819927 6767.249669 3.798958e-08 1
  0.075765  47.991467 6767.314120 3.606012e-08 1
  0.070375  48.945664 6767.214920 3.413068e-08 1
  0.064308  50.529068 6767.192538 3.220123e-08 1
  0.058914  51.863749 6767.110392 3.027178e-08 1
  0.053784  53.142117 6767.197313 2.834233e-08 1
  0.048755  54.711380 6767.027885 2.641288e-08 1
  0.044172  55.900983 6767.121795 2.448343e-08 1
  0.039887  57.133783 6766.828343 2.255399e-08 1
  0.035640  58.411681 6766.784517 2.062454e-08 1
  0.031490  59.880931 6766.905275 1.869509e-08 1
  0.027712  61.165923 6766.486905 1.676564e-08 1
  0.023894  62.635134 6766.628480 1.483619e-08 1
  0.020441  63.908711 6765.921710 1.290674e-08 1
  0.016988  65.158308 6766.181845 1.097729e-08 1
  0.013939  65.522015 6766.087738 9.047845e-09 1
  0.010576  68.073163 6765.664614 7.118397e-09 1
  0.007601  69.201499 6764.532671 5.188948e-09 0
  0.004673  70.609094 6763.850137 3.259499e-09 0
  0.002745  71.175167 6763.016641 1.929449e-09 0
  0.002493  78.332478 6762.795861 1.929449e-09 0
