# vel[cm/s]  width[Hz], freq[Hz], drive[A], fit
  0.525232   1.809414 3105.120465 9.264416e-09 0
  0.525326   1.783252 3105.124202 9.132067e-09 0
  0.524990   1.758530 3105.128145 8.999718e-09 0
  0.525094   1.732328 3105.131766 8.867370e-09 0
  0.524848   1.707272 3105.134129 8.735021e-09 0
  0.524491   1.682545 3105.138841 8.602672e-09 0
  0.524377   1.657019 3105.143406 8.470323e-09 0
  0.524307   1.631341 3105.148835 8.337974e-09 0
  0.524201   1.605778 3105.152371 8.205625e-09 0
  0.524256   1.579708 3105.157181 8.073277e-09 0
  0.524391   1.553402 3105.162957 7.940928e-09 0
  0.524090   1.528394 3105.168060 7.808580e-09 0
  0.524008   1.502728 3105.172569 7.676230e-09 0
  0.523869   1.477205 3105.177626 7.543882e-09 0
  0.523705   1.451750 3105.181589 7.411533e-09 0
  0.523202   1.427190 3105.186173 7.279184e-09 0
  0.522971   1.401853 3105.191503 7.146835e-09 0
  0.522292   1.377681 3105.196814 7.014486e-09 0
  0.521790   1.352995 3105.201066 6.882138e-09 0
  0.521857   1.326799 3105.205829 6.749789e-09 0
  0.521715   1.301144 3105.210203 6.617440e-09 0
  0.521483   1.275683 3105.214720 6.485091e-09 0
  0.520502   1.251984 3105.220573 6.352742e-09 0
  0.519370   1.228572 3105.226503 6.220394e-09 0
  0.518252   1.205007 3105.233227 6.088044e-09 0
  0.517449   1.180660 3105.238952 5.955696e-09 0
  0.517156   1.155058 3105.245219 5.823347e-09 0
  0.514962   1.133568 3105.253840 5.690998e-09 0
  0.514136   1.109027 3105.260163 5.558650e-09 0
  0.512678   1.085622 3105.269490 5.426301e-09 0
  0.503022   1.078565 3105.294000 5.293952e-09 0
  0.486835   1.086009 3105.324442 5.161603e-09 1
  0.468760   1.099156 3105.353493 5.029254e-09 1
  0.448789   1.118072 3105.380873 4.896906e-09 1
  0.427002   1.143611 3105.405961 4.764557e-09 1
  0.404693   1.173311 3105.429296 4.632208e-09 1
  0.382247   1.206963 3105.450016 4.499859e-09 1
  0.360854   1.241164 3105.466809 4.367511e-09 1
  0.339657   1.278749 3105.482364 4.235162e-09 1
  0.319000   1.319138 3105.495345 4.102813e-09 1
  0.299267   1.360843 3105.505841 3.970464e-09 1
  0.280442   1.403835 3105.514864 3.838115e-09 1
  0.262107   1.450285 3105.522263 3.705767e-09 1
  0.245133   1.495364 3105.526883 3.573418e-09 1
  0.229485   1.538195 3105.528872 3.441069e-09 1
  0.214431   1.582868 3105.530263 3.308720e-09 1
  0.200023   1.629010 3105.531793 3.176371e-09 1
  0.186565   1.673736 3105.529213 3.044022e-09 1
  0.173368   1.722834 3105.526575 2.911674e-09 1
  0.160957   1.771313 3105.522185 2.779325e-09 1
  0.149548   1.815619 3105.514861 2.646976e-09 1
  0.138697   1.859810 3105.508291 2.514627e-09 1
  0.128042   1.908497 3105.499446 2.382278e-09 1
  0.118568   1.946535 3105.492552 2.249930e-09 1
  0.109135   1.990348 3105.483586 2.117581e-09 1
  0.099910   2.038228 3105.473827 1.985232e-09 1
  0.091684   2.072842 3105.457391 1.852883e-09 1
  0.083113   2.123434 3105.445358 1.720534e-09 1
  0.075705   2.151878 3105.433483 1.588186e-09 1
  0.068124   2.192066 3105.420567 1.455837e-09 1
  0.060765   2.234066 3105.405743 1.323488e-09 1
  0.053990   2.263113 3105.396953 1.191139e-09 1
  0.047163   2.302639 3105.381057 1.058790e-09 1
  0.040699   2.334940 3105.369087 9.264417e-10 1
  0.034442   2.365054 3105.360799 7.940928e-10 0
  0.028457   2.385107 3105.341529 6.617440e-10 0
  0.022666   2.395666 3105.323873 5.293952e-10 0
  0.017127   2.377901 3105.307769 3.970464e-10 0
  0.011255   2.412234 3105.291568 2.646976e-10 0
  0.005717   2.374515 3105.305650 1.323488e-10 0
  0.005675   2.392301 3105.318160 1.323488e-10 0
