# vel[cm/s]  width[Hz], freq[Hz], drive[A], fit
  0.000134 -153.020885 1590.062669 3.828271e-11 0
  0.001123  20.550939 1580.920324 7.656542e-11 0
  0.002810   7.919693 1589.563575 1.148481e-10 0
  0.007098  11.610210 1589.750773 1.531308e-10 1
  0.008552  11.963096 1589.009614 1.914136e-10 1
  0.010645  11.615949 1589.106609 2.296963e-10 1
  0.013459  10.721091 1589.110001 2.679790e-10 1
  0.015784  10.443530 1588.932185 3.062617e-10 1
  0.017999  10.307956 1588.916853 3.445444e-10 1
  0.021617   9.535915 1588.934652 3.828271e-10 1
  0.024466   9.267089 1588.838873 4.211098e-10 1
  0.027634   8.951495 1588.844314 4.593925e-10 1
  0.030662   8.739773 1588.865797 4.976752e-10 1
  0.035025   8.239380 1588.803312 5.359579e-10 1
  0.039121   7.903957 1588.811641 5.742407e-10 1
  0.042813   7.703745 1588.765588 6.125234e-10 1
  0.047280   7.411919 1588.780521 6.508061e-10 1
  0.052237   7.102923 1588.726083 6.890888e-10 1
  0.057567   6.803771 1588.703300 7.273715e-10 1
  0.061093   6.748443 1588.700557 7.656542e-10 1
  0.068517   6.317843 1588.653792 8.039369e-10 1
  0.075205   6.030394 1588.642124 8.422196e-10 1
  0.081412   5.823242 1588.585677 8.805023e-10 1
  0.088617   5.582436 1588.532595 9.187851e-10 1
  0.096013   5.367138 1588.482826 9.570678e-10 1
  0.103404   5.182220 1588.416869 9.953505e-10 1
  0.110337   5.042591 1588.336088 1.033633e-09 1
  0.116806   4.939443 1588.252379 1.071916e-09 1
  0.125588   4.755171 1588.132284 1.110199e-09 1
  0.132034   4.679541 1588.021096 1.148481e-09 1
  0.138677   4.602686 1587.898314 1.186764e-09 1
  0.143364   4.596293 1587.781148 1.225047e-09 0
  0.144340   4.711228 1587.706433 1.263330e-09 0
  0.144527   4.848935 1587.656658 1.301612e-09 0
  0.144676   4.986537 1587.609333 1.339895e-09 0
  0.144957   5.119286 1587.569023 1.378178e-09 0
  0.145312   5.248614 1587.527421 1.416460e-09 0
  0.145883   5.369675 1587.504053 1.454743e-09 0
  0.145667   5.518859 1587.461218 1.493026e-09 0
  0.145892   5.651697 1587.419273 1.531308e-09 0
  0.146081   5.785612 1587.384234 1.569591e-09 0
  0.146353   5.915746 1587.350684 1.607874e-09 0
  0.146568   6.047802 1587.328918 1.646157e-09 0
  0.146630   6.185727 1587.292921 1.684439e-09 0
  0.147284   6.298296 1587.262403 1.722722e-09 0
  0.147609   6.423999 1587.224798 1.761005e-09 0
  0.147686   6.560338 1587.199553 1.799287e-09 0
  0.148142   6.679312 1587.173506 1.837570e-09 0
  0.148598   6.797189 1587.122493 1.875853e-09 0
  0.148877   6.923215 1587.087656 1.914135e-09 0
  0.149521   7.031065 1587.039521 1.952418e-09 0
  0.149379   7.175972 1587.009601 1.990701e-09 0
  0.149679   7.299285 1586.976764 2.028984e-09 0
  0.150064   7.417817 1586.931264 2.067266e-09 0
  0.150131   7.551836 1586.886644 2.105549e-09 0
  0.150396   7.675760 1586.857278 2.143832e-09 0
  0.150528   7.805718 1586.806661 2.182114e-09 0
  0.150561   7.941093 1586.766161 2.220397e-09 0
  0.150763   8.067169 1586.726309 2.258680e-09 0
  0.150983   8.191937 1586.682866 2.296963e-09 0
  0.151168   8.318371 1586.648102 2.335245e-09 0
  0.151174   8.454183 1586.596096 2.373528e-09 0
  0.151773   8.556860 1586.562707 2.411811e-09 0
  0.152395   8.657165 1586.522717 2.450094e-09 0
  0.151713   8.831795 1586.468470 2.488376e-09 0
  0.152071   8.946673 1586.426384 2.526659e-09 0
  0.152156   9.077122 1586.379439 2.564942e-09 0
  0.152248   9.207141 1586.343119 2.603224e-09 0
  0.152345   9.336608 1586.309326 2.641507e-09 0
  0.152227   9.479209 1586.268585 2.679790e-09 0
  0.152245   9.478160 1586.259761 2.679790e-09 0
