# vel[cm/s]  width[Hz], freq[Hz], drive[A], fit
  0.189291 150.543355 1572.326218 5.252388e-08 0
  0.189080 148.558420 1572.484031 5.177354e-08 0
  0.188843 146.588582 1572.653242 5.102320e-08 0
  0.188315 144.838504 1572.499514 5.027286e-08 0
  0.187759 143.097604 1572.687447 4.952251e-08 0
  0.188035 140.724404 1572.450880 4.877217e-08 0
  0.188029 138.561830 1572.528945 4.802183e-08 0
  0.187177 137.018463 1572.500830 4.727149e-08 0
  0.186853 135.077952 1572.356957 4.652115e-08 0
  0.186604 133.072943 1572.515748 4.577081e-08 0
  0.186432 131.015115 1572.416976 4.502047e-08 0
  0.185767 129.291763 1572.332730 4.427013e-08 0
  0.184826 127.742101 1572.556409 4.351979e-08 0
  0.183991 126.114321 1572.423301 4.276945e-08 0
  0.184301 123.679196 1572.914161 4.201910e-08 0
  0.184281 121.487619 1573.225681 4.126876e-08 0
  0.183805 119.587434 1573.506478 4.051842e-08 0
  0.183156 117.788468 1573.745653 3.976808e-08 0
  0.182304 116.102325 1574.082176 3.901774e-08 0
  0.181614 114.297467 1574.505173 3.826740e-08 0
  0.181138 112.350530 1574.903588 3.751706e-08 0
  0.179823 110.912211 1575.157100 3.676671e-08 0
  0.179302 108.956482 1575.583134 3.601637e-08 0
  0.178124 107.401031 1575.742692 3.526603e-08 0
  0.176227 106.246315 1575.906179 3.451569e-08 0
  0.174509 104.955213 1576.170269 3.376535e-08 0
  0.172445 103.855841 1576.284292 3.301501e-08 0
  0.170787 102.473121 1576.587326 3.226467e-08 0
  0.168831 101.252316 1576.791496 3.151433e-08 0
  0.167418  99.665893 1577.197963 3.076399e-08 0
  0.164678  98.849426 1577.645249 3.001364e-08 0
  0.162970  97.395635 1577.917743 2.926330e-08 0
  0.160817  96.156879 1578.405214 2.851296e-08 0
  0.158855  94.782925 1578.858223 2.776262e-08 0
  0.157555  92.985749 1579.211073 2.701228e-08 0
  0.155588  91.552933 1579.383456 2.626194e-08 0
  0.154442  89.587705 1579.723031 2.551160e-08 0
  0.153225  87.643108 1580.027455 2.476126e-08 0
  0.152357  85.460285 1580.484170 2.401092e-08 0
  0.151166  83.440950 1580.912439 2.326058e-08 0
  0.150178  81.272461 1581.422634 2.251024e-08 0
  0.149435  78.961733 1581.770658 2.175989e-08 0
  0.148190  76.853406 1582.439850 2.100955e-08 0
  0.146326  75.044458 1583.162107 2.025921e-08 0
  0.143036  73.938460 1583.721976 1.950887e-08 0
  0.133660  76.097453 1584.124588 1.875853e-08 1
  0.122923  79.455647 1584.236199 1.800819e-08 1
  0.112048  83.516795 1584.722522 1.725785e-08 1
  0.101929  87.838044 1584.906041 1.650750e-08 1
  0.092530  92.371837 1584.964962 1.575716e-08 1
  0.083329  97.670853 1585.430261 1.500682e-08 1
  0.075114 102.961048 1585.415598 1.425648e-08 1
  0.067829 108.019860 1585.429589 1.350614e-08 1
  0.060212 114.928788 1585.378221 1.275580e-08 1
  0.054336 119.862679 1585.558675 1.200546e-08 1
  0.048660 125.484624 1585.564709 1.125512e-08 1
  0.043394 131.312031 1586.384756 1.050478e-08 1
  0.038742 136.601390 1585.795940 9.754435e-09 1
  0.033892 144.130200 1586.233142 9.004094e-09 1
  0.029902 149.754909 1586.004710 8.253752e-09 1
  0.026004 156.532005 1587.196962 7.503411e-09 1
  0.023086 158.702978 1587.392199 6.753070e-09 1
  0.019453 167.397007 1588.756682 6.002729e-09 1
  0.016170 176.231599 1589.010670 5.252388e-09 1
  0.014103 173.142329 1591.842566 4.502047e-09 0
  0.011116 183.077990 1590.857142 3.751706e-09 0
  0.008432 193.109649 1591.950666 3.001364e-09 0
  0.006051 201.326852 1600.259632 2.251023e-09 0
  0.003530 229.144677 1614.888781 1.500682e-09 0
  0.001267 314.540313 1650.464141 7.503411e-10 0
  0.001020 382.119248 1715.712977 7.503411e-10 0
