# vel[cm/s]  width[Hz], freq[Hz], drive[A], fit
  0.005311   8.384458 3778.195975 4.725180e-10 0
  0.012224   7.188305 3779.342355 9.450361e-10 0
  0.017811   7.779346 3779.458179 1.417554e-09 0
  0.025528   7.238765 3779.459080 1.890072e-09 0
  0.033398   6.903091 3779.248630 2.362590e-09 0
  0.041053   6.739648 3779.454206 2.835108e-09 1
  0.051286   6.305230 3779.494328 3.307626e-09 1
  0.059246   6.238016 3779.474877 3.780144e-09 1
  0.068047   6.110271 3779.482100 4.252662e-09 1
  0.078648   5.873955 3779.506777 4.725180e-09 1
  0.090042   5.643885 3779.514250 5.197698e-09 1
  0.102661   5.401067 3779.533903 5.671310e-09 1
  0.114451   5.246359 3779.559692 6.141641e-09 1
  0.128755   5.020733 3779.580853 6.611971e-09 1
  0.143982   4.809211 3779.572704 7.082301e-09 1
  0.162281   4.550139 3779.595349 7.552632e-09 1
  0.181696   4.317074 3779.580043 8.022962e-09 1
  0.203811   4.074340 3779.588695 8.493293e-09 1
  0.229198   3.823709 3779.590338 8.963624e-09 1
  0.256666   3.593618 3779.582486 9.433954e-09 1
  0.289819   3.341229 3779.577674 9.904284e-09 1
  0.324947   3.121335 3779.559636 1.037461e-08 1
  0.368628   2.875495 3779.523962 1.084495e-08 1
  0.417195   2.651362 3779.501125 1.131528e-08 1
  0.463551   2.482949 3779.441977 1.178561e-08 1
  0.482507   2.481179 3779.390040 1.225594e-08 0
  0.483713   2.571579 3779.360475 1.272627e-08 0
  0.485112   2.659044 3779.331691 1.319660e-08 0
  0.485929   2.749027 3779.298567 1.366693e-08 0
  0.488432   2.829519 3779.275441 1.413726e-08 0
  0.490136   2.913602 3779.255505 1.460759e-08 0
  0.490826   3.002959 3779.227957 1.507792e-08 0
  0.491903   3.090242 3779.213091 1.554825e-08 0
  0.492371   3.180333 3779.184799 1.601858e-08 0
  0.494173   3.262158 3779.169989 1.648891e-08 0
  0.493862   3.357135 3779.146818 1.695924e-08 0
  0.496225   3.433928 3779.127990 1.742957e-08 0
  0.497092   3.520189 3779.099469 1.789990e-08 0
  0.496690   3.615851 3779.078741 1.837023e-08 0
  0.495710   3.716009 3779.074346 1.884056e-08 0
  0.499644   3.778175 3779.040622 1.931089e-08 0
  0.500435   3.864480 3779.020283 1.978122e-08 0
  0.501750   3.946097 3779.004755 2.025155e-08 0
  0.501624   4.038733 3778.987571 2.072188e-08 0
  0.502759   4.120915 3778.962368 2.119221e-08 0
  0.502033   4.218489 3778.937853 2.166255e-08 0
  0.503921   4.294004 3778.916090 2.213288e-08 0
  0.504402   4.381174 3778.899589 2.260321e-08 0
  0.505180   4.465241 3778.872464 2.307354e-08 0
  0.504450   4.562982 3778.850250 2.354387e-08 0
  0.505870   4.641119 3778.830096 2.401420e-08 0
  0.507509   4.716672 3778.806900 2.448453e-08 0
  0.506834   4.813572 3778.778273 2.495486e-08 0
  0.510684   4.867557 3778.761124 2.542519e-08 0
  0.509693   4.967087 3778.735634 2.589552e-08 0
  0.511205   5.042179 3778.703063 2.636585e-08 0
  0.511186   5.132530 3778.679033 2.683618e-08 0
  0.511445   5.219739 3778.650258 2.730651e-08 0
  0.514060   5.282838 3778.631586 2.777684e-08 0
  0.517011   5.341601 3778.611178 2.824717e-08 0
  0.518502   5.414856 3778.586624 2.871750e-08 0
  0.529390   5.390022 3778.549090 2.918783e-08 0
  0.531381   5.456729 3778.526587 2.965816e-08 0
  0.533485   5.521612 3778.523446 3.012849e-08 0
  0.532463   5.618342 3778.499436 3.059882e-08 0
  0.535945   5.667773 3778.484657 3.106916e-08 0
  0.535231   5.761283 3778.471829 3.153949e-08 0
  0.538965   5.806762 3778.472574 3.200982e-08 0
  0.539147   5.889742 3778.442666 3.248015e-08 0
  0.542898   5.933838 3778.417571 3.295048e-08 0
  0.542343   5.962852 3778.415913 3.307626e-08 0
  0.539079   5.913653 3778.421741 3.260593e-08 0
