# vel[cm/s]  width[Hz], freq[Hz], drive[A], fit
  0.007592   3.174061 3779.259817 2.521190e-10 0
  0.013691   3.521132 3779.465280 5.042380e-10 0
  0.022786   3.190169 3779.396416 7.563570e-10 0
  0.030079   3.220053 3779.501898 1.008476e-09 1
  0.039764   3.050399 3779.493759 1.260595e-09 1
  0.049011   2.969968 3779.503635 1.512714e-09 1
  0.059259   2.865180 3779.538114 1.764833e-09 1
  0.069338   2.799092 3779.543403 2.016952e-09 1
  0.081608   2.675118 3779.572266 2.269071e-09 1
  0.094437   2.568908 3779.585580 2.521190e-09 1
  0.107319   2.486574 3779.599032 2.773309e-09 1
  0.124341   2.341324 3779.601030 3.025428e-09 1
  0.141340   2.230973 3779.627217 3.277547e-09 1
  0.161760   2.098967 3779.658510 3.529666e-09 1
  0.182745   1.991136 3779.648227 3.781785e-09 1
  0.207726   1.868599 3779.658311 4.033904e-09 1
  0.234354   1.759762 3779.653346 4.286023e-09 1
  0.266075   1.641021 3779.643844 4.538142e-09 1
  0.299051   1.540785 3779.625882 4.790261e-09 1
  0.338015   1.434341 3779.600532 5.042380e-09 1
  0.378783   1.343544 3779.572078 5.294499e-09 1
  0.420048   1.267409 3779.531539 5.545525e-09 1
  0.459183   1.210160 3779.481179 5.797096e-09 0
  0.479167   1.211829 3779.442759 6.048668e-09 0
  0.481646   1.257755 3779.421264 6.300240e-09 0
  0.485959   1.296681 3779.403443 6.551812e-09 0
  0.484708   1.350340 3779.391967 6.803385e-09 0
  0.483869   1.402694 3779.379796 7.054957e-09 0
  0.485537   1.447659 3779.365966 7.306529e-09 0
  0.487737   1.490865 3779.354575 7.558101e-09 0
  0.489170   1.535712 3779.336903 7.809673e-09 0
  0.489045   1.585795 3779.323206 8.061245e-09 0
  0.489082   1.635101 3779.307705 8.312817e-09 0
  0.491423   1.676633 3779.293292 8.564389e-09 0
  0.493004   1.720449 3779.281210 8.815961e-09 0
  0.492129   1.772788 3779.271880 9.067533e-09 0
  0.493525   1.816766 3779.260551 9.319106e-09 0
  0.494199   1.863212 3779.247106 9.570678e-09 0
  0.493772   1.913858 3779.234294 9.822250e-09 0
  0.494796   1.958861 3779.222174 1.007382e-08 0
  0.495669   2.004304 3779.211940 1.032539e-08 0
  0.496558   2.049358 3779.198069 1.057697e-08 0
  0.496353   2.098996 3779.184723 1.082854e-08 0
  0.496960   2.145429 3779.188839 1.108011e-08 0
  0.497518   2.191473 3779.177753 1.133168e-08 0
  0.498180   2.237231 3779.170036 1.158325e-08 0
  0.498632   2.283674 3779.158945 1.183483e-08 0
  0.498165   2.334373 3779.146692 1.208640e-08 0
  0.498120   2.383306 3779.139571 1.233797e-08 0
  0.499843   2.423504 3779.131484 1.258954e-08 0
  0.500210   2.469837 3779.113470 1.284111e-08 0
  0.499769   2.520747 3779.105790 1.309269e-08 0
  0.500237   2.566722 3779.095698 1.334426e-08 0
  0.500661   2.612821 3779.082246 1.359583e-08 0
  0.500119   2.664194 3779.074306 1.384740e-08 0
  0.501074   2.707221 3779.058430 1.409898e-08 0
  0.501230   2.754825 3779.048026 1.435055e-08 0
  0.501982   2.798948 3779.038776 1.460212e-08 0
  0.502037   2.846822 3779.027684 1.485369e-08 0
  0.502271   2.893656 3779.015206 1.510526e-08 0
  0.503159   2.936771 3779.007619 1.535684e-08 0
  0.503001   2.985740 3778.996569 1.560841e-08 0
  0.503058   3.033549 3778.986237 1.585998e-08 0
  0.504647   3.071918 3778.974018 1.611155e-08 0
  0.505609   3.113847 3778.957489 1.636312e-08 0
  0.502825   3.179196 3778.939938 1.661470e-08 0
  0.504036   3.219651 3778.924914 1.686627e-08 0
  0.505462   3.258562 3778.913652 1.711784e-08 0
  0.507462   3.293449 3778.903937 1.736941e-08 0
  0.505909   3.351324 3778.890131 1.762098e-08 0
  0.505899   3.356828 3778.891559 1.764833e-08 0
  0.505048   3.314562 3778.903184 1.739676e-08 0
