# vel[cm/s]  width[Hz], freq[Hz], drive[A], fit
  0.003654  72.274053 6766.515510 2.577520e-09 0
  0.007486  70.630615 6768.287234 5.155041e-09 0
  0.011469  69.232227 6768.194121 7.732561e-09 1
  0.015877  66.671102 6768.887643 1.031008e-08 1
  0.019871  66.598746 6768.803309 1.288760e-08 1
  0.024255  65.469539 6769.138667 1.546512e-08 1
  0.028806  64.313563 6768.839383 1.804264e-08 1
  0.033258  63.665661 6768.877334 2.062016e-08 1
  0.038437  61.969174 6769.281265 2.319768e-08 1
  0.043683  60.590270 6769.279237 2.577520e-08 1
  0.048904  59.532441 6769.106750 2.835272e-08 1
  0.054689  58.075362 6769.268000 3.093024e-08 1
  0.060419  56.948611 6769.328276 3.350776e-08 1
  0.066001  56.141415 6769.175471 3.608528e-08 1
  0.072531  54.736702 6769.089250 3.866280e-08 1
  0.079652  53.166150 6769.106384 4.124032e-08 1
  0.086900  51.776916 6769.241811 4.381784e-08 1
  0.094957  50.171717 6769.294027 4.639537e-08 1
  0.103420  48.625405 6769.265009 4.897289e-08 1
  0.112141  47.203874 6769.234843 5.155040e-08 1
  0.121494  45.748373 6769.169281 5.412792e-08 1
  0.131833  44.168478 6769.169420 5.670544e-08 1
  0.143187  42.514389 6769.174856 5.928297e-08 1
  0.154593  41.089784 6769.185131 6.186049e-08 1
  0.167846  39.422280 6769.115737 6.443801e-08 1
  0.181600  37.893885 6769.072756 6.701553e-08 1
  0.196950  36.284378 6768.995995 6.959305e-08 1
  0.214596  34.534100 6768.968278 7.217057e-08 1
  0.233564  32.862836 6768.904367 7.474809e-08 1
  0.254209  31.235021 6768.835838 7.732561e-08 1
  0.276102  29.716380 6768.699787 7.990313e-08 0
  0.280650  30.152824 6768.037518 8.248065e-08 0
  0.269704  32.300221 6766.834429 8.505817e-08 0
  0.252074  35.564268 6765.251540 8.763569e-08 0
  0.228883  40.318327 6763.455713 9.021321e-08 0
  0.200882  47.309509 6761.725450 9.279073e-08 0
  0.171942  56.892437 6760.371272 9.536825e-08 0
  0.148323  67.757557 6759.051625 9.794577e-08 0
  0.124300  83.017241 6758.044972 1.005233e-07 0
  0.106504  99.277898 6755.654038 1.031008e-07 0
  0.070769 152.566745 6763.535821 1.056783e-07 0
  0.229549  41.990493 6752.804654 1.082558e-07 0
  0.040589 271.032153 6780.620056 1.093792e-07 0
  0.216385  34.472454 6769.077801 1.068017e-07 0
