# vel[cm/s]  width[Hz], freq[Hz], drive[A], fit
  0.018778  19.505657 1694.162862 1.928355e-09 0
  0.038278  19.116940 1694.591738 3.856710e-09 0
  0.058129  18.901809 1694.706860 5.785065e-09 0
  0.078310  18.708675 1694.759632 7.713419e-09 0
  0.099022  18.494636 1694.781446 9.641774e-09 0
  0.121539  18.081512 1694.828975 1.157013e-08 1
  0.143731  17.838471 1694.833698 1.349848e-08 1
  0.167233  17.521843 1694.821688 1.542684e-08 1
  0.191830  17.184438 1694.828773 1.735519e-08 1
  0.217517  16.839024 1694.834817 1.928355e-08 1
  0.244241  16.496273 1694.830086 2.121190e-08 1
  0.273269  16.084299 1694.825495 2.314026e-08 1
  0.304111  15.657537 1694.809894 2.506861e-08 1
  0.336437  15.241831 1694.791024 2.699697e-08 1
  0.371306  14.796941 1694.760801 2.892532e-08 1
  0.408698  14.339373 1694.736173 3.085368e-08 1
  0.448915  13.870636 1694.700888 3.278203e-08 1
  0.496305  13.284233 1694.673531 3.471039e-08 1
  0.543357  12.807950 1694.635757 3.663874e-08 1
  0.594183  12.328794 1694.595641 3.856710e-08 1
  0.647835  11.873151 1694.555554 4.049545e-08 1
  0.705250  11.425897 1694.514617 4.242381e-08 1
  0.768568  10.961105 1694.467132 4.435216e-08 1
  0.837234  10.499566 1694.416956 4.628052e-08 1
  0.908925  10.074360 1694.364389 4.820887e-08 1
  0.986640   9.652004 1694.308914 5.013722e-08 1
  1.066689   9.270925 1694.247103 5.206558e-08 1
  1.148645   8.928237 1694.183179 5.399393e-08 1
  1.216654   8.730253 1694.123330 5.592229e-08 0
  1.254085   8.761917 1694.075819 5.785064e-08 0
  1.279989   8.870766 1694.029432 5.977900e-08 0
  1.296851   9.037931 1693.989751 6.170735e-08 0
  1.311070   9.219268 1693.947408 6.363571e-08 0
  1.332625   9.344827 1693.890075 6.556406e-08 0
  1.342293   9.550617 1693.854485 6.749242e-08 0
  1.350325   9.765076 1693.820428 6.942077e-08 0
  1.360182   9.963587 1693.785092 7.134913e-08 0
  1.371666  10.147097 1693.735843 7.327748e-08 0
  1.380906  10.344480 1693.689886 7.520584e-08 0
  1.390461  10.536825 1693.644133 7.713419e-08 0
  1.400473  10.723018 1693.596325 7.906255e-08 0
  1.408130  10.924884 1693.555733 8.099090e-08 0
  1.430909  11.006343 1693.471872 8.291926e-08 0
  1.448455  11.126182 1693.403734 8.484761e-08 0
  1.456521  11.316336 1693.360981 8.677597e-08 0
  1.464860  11.501952 1693.317423 8.870433e-08 0
  1.472194  11.693457 1693.273818 9.063268e-08 0
  1.484703  11.841445 1693.210684 9.256104e-08 0
  1.492029  12.028987 1693.167564 9.448938e-08 0
  1.496292  12.239559 1693.134485 9.641774e-08 0
  1.501786  12.438654 1693.094942 9.834609e-08 0
  1.508340  12.627429 1693.054024 1.002744e-07 0
  1.515085  12.812978 1693.013900 1.022028e-07 0
  1.522101  12.994554 1692.973029 1.041312e-07 0
  1.523933  13.219282 1692.931888 1.060595e-07 0
  1.530628  13.400765 1692.891345 1.079879e-07 0
  1.535362  13.531610 1692.867272 1.093792e-07 0
  1.529028  13.347617 1692.900487 1.074508e-07 0
