# vel[cm/s]  width[Hz], freq[Hz], drive[A], fit
  0.188810 158.675809 1575.586836 4.433138e-08 0
  0.188124 156.978860 1575.567518 4.369807e-08 0
  0.188324 154.539846 1575.503090 4.306477e-08 0
  0.187877 152.628836 1575.654424 4.243146e-08 0
  0.187428 150.711941 1575.589210 4.179816e-08 0
  0.186949 148.808195 1575.613085 4.116485e-08 0
  0.186955 146.513508 1575.662143 4.053155e-08 0
  0.186389 144.662957 1575.560571 3.989824e-08 0
  0.185896 142.743651 1575.481796 3.926493e-08 0
  0.185630 140.641387 1575.513800 3.863163e-08 0
  0.185451 138.470797 1575.334064 3.799832e-08 0
  0.184805 136.637650 1575.263384 3.736502e-08 0
  0.184587 134.479395 1575.267266 3.673171e-08 0
  0.184356 132.326028 1575.238842 3.609841e-08 0
  0.183705 130.462091 1575.368716 3.546510e-08 0
  0.183334 128.390645 1575.514340 3.483180e-08 0
  0.183117 126.201349 1575.789344 3.419849e-08 0
  0.182571 124.234371 1576.022479 3.356519e-08 0
  0.181944 122.305766 1576.358589 3.293188e-08 0
  0.181471 120.262374 1576.779604 3.229858e-08 0
  0.181268 118.038080 1577.104403 3.166527e-08 0
  0.179919 116.548056 1577.288811 3.103197e-08 0
  0.180121 114.027601 1577.804891 3.039866e-08 0
  0.179248 112.201568 1578.117005 2.976535e-08 0
  0.177803 110.705697 1578.433736 2.913205e-08 0
  0.176447 109.136209 1578.581425 2.849874e-08 0
  0.174709 107.772685 1578.693325 2.786544e-08 0
  0.172669 106.563472 1578.900687 2.723213e-08 0
  0.171076 105.051429 1579.152610 2.659883e-08 0
  0.169311 103.622744 1579.298456 2.596552e-08 0
  0.167015 102.475365 1579.646711 2.533222e-08 0
  0.164924 101.174861 1580.075487 2.469891e-08 0
  0.163132  99.669244 1580.353635 2.406561e-08 0
  0.161404  98.077695 1580.755774 2.343230e-08 0
  0.159505  96.550939 1581.337930 2.279899e-08 0
  0.157763  94.917974 1581.666380 2.216569e-08 0
  0.156185  93.133865 1582.035054 2.153238e-08 0
  0.154820  91.197992 1582.250463 2.089908e-08 0
  0.153384  89.256955 1582.535271 2.026577e-08 0
  0.152542  86.935286 1582.939763 1.963247e-08 0
  0.151775  84.540503 1583.523671 1.899916e-08 0
  0.150907  82.200537 1583.946544 1.836586e-08 0
  0.149954  79.861571 1584.445937 1.773255e-08 0
  0.148970  77.508623 1585.025254 1.709925e-08 0
  0.147540  75.351617 1585.670743 1.646594e-08 0
  0.144570  73.939709 1586.308849 1.583264e-08 0
  0.136604  75.132903 1586.841852 1.519933e-08 1
  0.124958  78.726342 1587.275987 1.456602e-08 1
  0.114007  82.542223 1587.702366 1.393272e-08 1
  0.103080  87.169743 1587.723797 1.329941e-08 1
  0.092878  92.130174 1587.982858 1.266611e-08 1
  0.083786  97.021287 1588.313403 1.203280e-08 1
  0.075230 102.385682 1588.356112 1.139950e-08 1
  0.065776 110.603551 1588.336275 1.076619e-08 1
  0.058752 116.538088 1588.553217 1.013289e-08 1
  0.052520 122.234388 1588.290356 9.499581e-09 1
  0.046496 128.850009 1588.722345 8.866276e-09 1
  0.041207 135.020850 1588.659489 8.232970e-09 1
  0.036371 141.210985 1588.242168 7.599665e-09 1
  0.031816 147.943355 1589.394795 6.966360e-09 1
  0.028000 152.854834 1589.279183 6.333054e-09 1
  0.024371 158.050227 1589.572454 5.699749e-09 1
  0.020871 164.052140 1590.079435 5.066443e-09 1
  0.017477 171.420366 1590.639003 4.433138e-09 1
  0.014568 176.245949 1592.740190 3.799833e-09 1
  0.011618 184.180273 1592.521908 3.166527e-09 1
  0.009046 189.221793 1591.471183 2.533222e-09 1
  0.006241 204.911100 1601.703167 1.899916e-09 0
  0.003687 232.091286 1606.642860 1.266611e-09 0
  0.001538 274.093316 1633.455800 6.333054e-10 0
  0.001341 303.870876 1589.170785 6.333054e-10 0
