# vel[cm/s]  width[Hz], freq[Hz], drive[A], fit
  1.201021  10.214347 1675.039156 8.280550e-08 0
  1.197265  10.099786 1675.063004 8.162257e-08 0
  1.193947   9.981085 1675.085643 8.043963e-08 0
  1.191736   9.852592 1675.104616 7.925670e-08 0
  1.187963   9.736284 1675.128927 7.807376e-08 0
  1.183763   9.622746 1675.155557 7.689082e-08 0
  1.179704   9.507278 1675.183199 7.570789e-08 0
  1.175812   9.389749 1675.207873 7.452495e-08 0
  1.172599   9.265924 1675.237862 7.334202e-08 0
  1.168643   9.147462 1675.259429 7.215908e-08 0
  1.163214   9.039391 1675.287456 7.097615e-08 0
  1.160520   8.909415 1675.311899 6.979321e-08 0
  1.158027   8.777293 1675.334114 6.861027e-08 0
  1.153430   8.660294 1675.358575 6.742734e-08 0
  1.149509   8.537344 1675.384801 6.624440e-08 0
  1.145825   8.411822 1675.411916 6.506147e-08 0
  1.141269   8.291929 1675.433741 6.387853e-08 0
  1.137364   8.166211 1675.461477 6.269560e-08 0
  1.134634   8.031541 1675.480894 6.151266e-08 0
  1.129988   7.909423 1675.502805 6.032972e-08 0
  1.125336   7.786388 1675.524524 5.914679e-08 0
  1.123176   7.645387 1675.542447 5.796385e-08 0
  1.116313   7.535283 1675.566944 5.678092e-08 0
  1.110897   7.414332 1675.587558 5.559798e-08 0
  1.104572   7.298113 1675.608525 5.441504e-08 0
  1.098803   7.176808 1675.635948 5.323211e-08 0
  1.095728   7.037098 1675.658844 5.204918e-08 0
  1.091680   6.902686 1675.679913 5.086624e-08 0
  1.089491   6.755801 1675.694759 4.968330e-08 0
  1.085824   6.617122 1675.715069 4.850037e-08 0
  1.082657   6.474637 1675.733366 4.731743e-08 0
  1.081407   6.320088 1675.749983 4.613450e-08 0
  1.078233   6.176181 1675.764978 4.495156e-08 0
  1.075497   6.028844 1675.784985 4.376863e-08 0
  1.072330   5.883225 1675.804430 4.258569e-08 0
  1.070811   5.727943 1675.821926 4.140275e-08 0
  1.068622   5.575700 1675.838185 4.021982e-08 0
  1.060356   5.453096 1675.881500 3.903688e-08 0
  1.045090   5.365372 1675.915991 3.785394e-08 0
  1.005310   5.402417 1675.973889 3.667101e-08 1
  0.977067   5.380181 1676.009690 3.548807e-08 1
  0.912931   5.564990 1676.074908 3.430514e-08 1
  0.848216   5.784215 1676.116516 3.312220e-08 1
  0.782554   6.045859 1676.154130 3.193926e-08 1
  0.719762   6.330043 1676.187246 3.075633e-08 1
  0.660883   6.628947 1676.218284 2.957339e-08 1
  0.606234   6.937612 1676.244147 2.839046e-08 1
  0.555485   7.256022 1676.268409 2.720752e-08 1
  0.508750   7.578149 1676.292885 2.602459e-08 1
  0.466001   7.897346 1676.314848 2.484165e-08 1
  0.426230   8.223180 1676.331613 2.365872e-08 1
  0.388906   8.561788 1676.347113 2.247578e-08 1
  0.354637   8.894986 1676.362335 2.129284e-08 1
  0.323488   9.209817 1676.370884 2.010991e-08 1
  0.294764   9.512559 1676.394333 1.892697e-08 1
  0.267859   9.814057 1676.390003 1.774404e-08 1
  0.243070  10.093850 1676.398077 1.656110e-08 1
  0.219073  10.399565 1676.406220 1.537816e-08 1
  0.197235  10.662568 1676.402590 1.419523e-08 1
  0.175999  10.953319 1676.401969 1.301229e-08 1
  0.156709  11.183250 1676.405057 1.182936e-08 1
  0.137414  11.478247 1676.392187 1.064642e-08 1
  0.119468  11.735519 1676.379999 9.463486e-09 1
  0.102636  11.952568 1676.361349 8.280550e-09 1
  0.086442  12.164310 1676.362110 7.097614e-09 1
  0.071062  12.330846 1676.319733 5.914679e-09 1
  0.056296  12.451763 1676.259297 4.731743e-09 1
  0.041598  12.638230 1676.170877 3.548807e-09 1
  0.027177  12.886591 1675.897229 2.365871e-09 0
  0.013471  12.965582 1675.348913 1.182936e-09 0
  0.012767  13.726833 1675.264472 1.182936e-09 0
