# vel[cm/s]  width[Hz], freq[Hz], drive[A], fit
  0.000104 -69.358908 1495.719103 8.148748e-11 0
  0.002507  -6.318472 1561.948850 1.629750e-10 0
  0.003698  -8.202946 1568.390803 2.444625e-10 0
  0.003817  -4.623615 1577.960123 3.259499e-10 0
  0.005785  -1.201534 1585.750959 4.074374e-10 0
  0.021212   4.774627 1586.790403 4.889249e-10 1
  0.030155   4.685452 1586.613963 5.704124e-10 1
  0.036715   4.409460 1586.652585 6.518999e-10 1
  0.043837   4.155252 1586.656592 7.333874e-10 1
  0.052281   3.866514 1586.561894 8.148748e-10 1
  0.062493   3.561914 1586.597151 8.963623e-10 1
  0.072512   3.347578 1586.541949 9.778498e-10 1
  0.083766   3.141008 1586.536567 1.059337e-09 1
  0.096148   2.945060 1586.483399 1.140825e-09 1
  0.111883   2.711980 1586.440117 1.222312e-09 1
  0.123831   2.611575 1586.373657 1.303800e-09 1
  0.138167   2.486057 1586.303256 1.385287e-09 1
  0.151507   2.394050 1586.193044 1.466775e-09 0
  0.159578   2.401388 1586.095778 1.548262e-09 0
  0.160759   2.514840 1586.035783 1.629750e-09 0
  0.158413   2.682298 1586.006211 1.711237e-09 0
  0.160941   2.766101 1585.979636 1.792725e-09 0
  0.161400   2.883929 1585.961776 1.874212e-09 0
  0.161597   3.005280 1585.931626 1.955700e-09 0
  0.162399   3.115367 1585.909962 2.037187e-09 0
  0.163249   3.223140 1585.888163 2.118675e-09 0
  0.163361   3.344718 1585.862630 2.200162e-09 0
  0.163072   3.474982 1585.845208 2.281650e-09 0
  0.164097   3.576355 1585.817403 2.363137e-09 0
  0.164512   3.690739 1585.806543 2.444625e-09 0
  0.164690   3.809301 1585.779711 2.526112e-09 0
  0.165577   3.911074 1585.750459 2.607599e-09 0
  0.165012   4.047082 1585.719888 2.689087e-09 0
  0.165571   4.155865 1585.696079 2.770575e-09 0
  0.165964   4.267905 1585.668906 2.852062e-09 0
  0.166201   4.383767 1585.649608 2.933550e-09 0
  0.166773   4.490057 1585.627714 3.015037e-09 0
  0.167213   4.599337 1585.608259 3.096525e-09 0
  0.167110   4.723370 1585.593710 3.178012e-09 0
  0.167880   4.822049 1585.567623 3.259499e-09 0
  0.167151   4.964435 1585.557552 3.340987e-09 0
  0.167917   5.061752 1585.520084 3.422474e-09 0
  0.168141   5.175973 1585.512978 3.503962e-09 0
  0.169355   5.258214 1585.493386 3.585449e-09 0
  0.169414   5.375765 1585.467818 3.666937e-09 0
  0.169400   5.495399 1585.430522 3.748424e-09 0
  0.170047   5.594067 1585.427729 3.829912e-09 0
  0.169936   5.716427 1585.395718 3.911399e-09 0
  0.171307   5.789110 1585.379042 3.992887e-09 0
  0.170810   5.924239 1585.351353 4.074374e-09 0
  0.171403   6.021861 1585.324845 4.155862e-09 0
  0.171218   6.146459 1585.291900 4.237349e-09 0
  0.171501   6.254217 1585.254592 4.318837e-09 0
  0.170890   6.395147 1585.222530 4.400324e-09 0
  0.171864   6.477029 1585.235849 4.481812e-09 0
  0.172560   6.567735 1585.199565 4.563299e-09 0
  0.172640   6.681863 1585.159833 4.644787e-09 0
  0.172240   6.815413 1585.159823 4.726274e-09 0
  0.173140   6.896660 1585.134276 4.807762e-09 0
  0.174245   6.969307 1585.130059 4.889249e-09 0
  0.173937   7.097787 1585.105659 4.970737e-09 0
  0.173806   7.219748 1585.092942 5.052224e-09 0
  0.173649   7.342356 1585.051943 5.133712e-09 0
  0.174930   7.404632 1585.028868 5.215199e-09 0
  0.174308   7.547263 1585.013706 5.296687e-09 0
  0.174863   7.639031 1584.997004 5.378174e-09 0
  0.175218   7.739202 1584.997182 5.459662e-09 0
  0.175861   7.825206 1584.947948 5.541149e-09 0
  0.176536   7.910327 1584.913001 5.622636e-09 0
  0.175622   8.066983 1584.892142 5.704124e-09 0
  0.175542   8.070779 1584.894589 5.704124e-09 0
