# vel[cm/s]  width[Hz], freq[Hz], drive[A], fit
  0.011502   0.912328 3776.436414 1.093792e-10 0
  0.022923   0.863424 3776.433364 2.061797e-10 0
  0.034992   0.830907 3776.446546 3.029803e-10 1
  0.048343   0.792966 3776.467622 3.997809e-10 1
  0.061370   0.774467 3776.499351 4.965815e-10 1
  0.076275   0.745999 3776.518580 5.933820e-10 1
  0.092159   0.717772 3776.540487 6.901826e-10 1
  0.106729   0.706903 3776.560348 7.869832e-10 1
  0.123332   0.687177 3776.577546 8.837837e-10 1
  0.141881   0.663290 3776.587035 9.805843e-10 1
  0.159619   0.647643 3776.598500 1.077385e-09 1
  0.179428   0.628001 3776.607862 1.174185e-09 1
  0.199946   0.610162 3776.613890 1.270986e-09 1
  0.220114   0.596557 3776.613919 1.367787e-09 1
  0.243324   0.577845 3776.613722 1.464587e-09 1
  0.264809   0.566037 3776.611890 1.561388e-09 1
  0.289577   0.549668 3776.608279 1.658188e-09 1
  0.313023   0.538130 3776.603022 1.754989e-09 1
  0.338155   0.525518 3776.596447 1.851789e-09 1
  0.363137   0.514973 3776.589977 1.948590e-09 1
  0.387618   0.506304 3776.582127 2.045391e-09 1
  0.413126   0.497409 3776.572599 2.142191e-09 1
  0.438400   0.489841 3776.562369 2.238992e-09 1
  0.466272   0.480434 3776.552131 2.335792e-09 1
  0.492114   0.474030 3776.541346 2.432593e-09 1
  0.520184   0.466092 3776.528743 2.529393e-09 1
  0.546804   0.460268 3776.515612 2.626194e-09 1
  0.569311   0.458480 3776.503462 2.722995e-09 1
  0.598586   0.451452 3776.490524 2.819795e-09 1
  0.624332   0.447535 3776.476457 2.916596e-09 1
  0.650020   0.443940 3776.461372 3.013396e-09 1
  0.673759   0.442079 3776.446200 3.110197e-09 0
  0.674524   0.456360 3776.442540 3.206997e-09 0
  0.680366   0.466046 3776.437336 3.303798e-09 0
  0.685232   0.476260 3776.431606 3.400599e-09 0
  0.691535   0.485511 3776.430141 3.497399e-09 0
  0.689988   0.500020 3776.426723 3.594200e-09 0
  0.694294   0.510257 3776.421889 3.691000e-09 0
  0.695410   0.522865 3776.419107 3.787801e-09 0
  0.697369   0.534720 3776.416090 3.884602e-09 0
  0.702515   0.543950 3776.410746 3.981402e-09 0
  0.706160   0.554327 3776.406010 4.078202e-09 0
  0.699821   0.572733 3776.406581 4.175003e-09 0
  0.701922   0.584222 3776.404256 4.271804e-09 0
  0.703602   0.596006 3776.400585 4.368604e-09 0
  0.703790   0.609092 3776.398710 4.465405e-09 0
  0.704891   0.621281 3776.394823 4.562205e-09 0
  0.706347   0.633165 3776.391491 4.659006e-09 0
  0.708954   0.643956 3776.388392 4.755806e-09 0
  0.711000   0.655152 3776.384633 4.852607e-09 0
  0.712952   0.666388 3776.380732 4.949407e-09 0
  0.714370   0.678098 3776.377494 5.046208e-09 0
  0.711448   0.693980 3776.376450 5.143009e-09 0
  0.712476   0.705988 3776.373239 5.239809e-09 0
  0.713771   0.717729 3776.370377 5.336610e-09 0
  0.714467   0.730022 3776.366554 5.433410e-09 0
  0.716750   0.740545 3776.364449 5.529117e-09 0
  0.715833   0.754682 3776.361568 5.627558e-09 0
  0.716810   0.766858 3776.359655 5.726000e-09 0
  0.718690   0.777975 3776.356597 5.824442e-09 0
  0.718564   0.791272 3776.353735 5.922882e-09 0
  0.718823   0.804139 3776.351212 6.021324e-09 0
  0.720030   0.815921 3776.348746 6.119765e-09 0
  0.718446   0.830885 3776.347109 6.218206e-09 0
  0.718188   0.844319 3776.344449 6.316647e-09 0
  0.719025   0.856478 3776.341303 6.415089e-09 0
  0.719976   0.868473 3776.338366 6.513530e-09 0
  0.720367   0.881147 3776.336892 6.611971e-09 0
  0.721370   0.892998 3776.334019 6.710412e-09 0
  0.722329   0.900544 3776.331755 6.776040e-09 0
  0.720817   0.889357 3776.334609 6.677599e-09 0
