# vel[cm/s]  width[Hz], freq[Hz], drive[A], fit
  0.249444  60.930959 1587.442400 2.798466e-08 0
  0.249065  60.151384 1587.547052 2.758488e-08 0
  0.247984  59.537790 1587.679090 2.718510e-08 0
  0.246851  58.931749 1587.773813 2.678532e-08 0
  0.246372  58.165059 1587.876778 2.638554e-08 0
  0.245354  57.519757 1588.097007 2.598576e-08 0
  0.244339  56.870355 1588.290024 2.558598e-08 0
  0.243477  56.180816 1588.423085 2.518619e-08 0
  0.242278  55.563137 1588.482797 2.478641e-08 0
  0.240635  55.039429 1588.620916 2.438663e-08 0
  0.239639  54.360474 1588.854922 2.398685e-08 0
  0.238558  53.698698 1588.941036 2.358707e-08 0
  0.236743  53.191649 1589.134311 2.318729e-08 0
  0.235952  52.452121 1589.123767 2.278751e-08 0
  0.233954  51.969743 1589.306978 2.238773e-08 0
  0.232021  51.466962 1589.482195 2.198795e-08 0
  0.230449  50.877168 1589.559462 2.158817e-08 0
  0.229191  50.208690 1589.661481 2.118839e-08 0
  0.228381  49.436410 1589.733603 2.078861e-08 0
  0.226241  48.941744 1589.945475 2.038883e-08 0
  0.224781  48.296195 1590.016955 1.998904e-08 0
  0.223352  47.631690 1590.164327 1.958926e-08 0
  0.221803  46.986190 1590.267171 1.918948e-08 0
  0.221100  46.154012 1590.332977 1.878970e-08 0
  0.219630  45.473604 1590.444600 1.838992e-08 0
  0.218577  44.699746 1590.529831 1.799014e-08 0
  0.217587  43.904530 1590.638655 1.759036e-08 0
  0.216329  43.157123 1590.696339 1.719058e-08 0
  0.215990  42.220804 1590.644646 1.679080e-08 0
  0.215095  41.385335 1590.717513 1.639102e-08 0
  0.214348  40.517562 1590.723630 1.599124e-08 0
  0.213061  39.741670 1590.820373 1.559145e-08 0
  0.211651  38.981968 1590.840092 1.519167e-08 0
  0.210512  38.160498 1590.902503 1.479189e-08 0
  0.209113  37.377421 1590.963625 1.439211e-08 0
  0.208353  36.471666 1591.020928 1.399233e-08 0
  0.207619  35.555831 1591.027453 1.359255e-08 0
  0.206436  34.705003 1591.150904 1.319277e-08 0
  0.204774  33.928374 1591.186224 1.279299e-08 0
  0.203759  33.031761 1591.226969 1.239321e-08 0
  0.202317  32.192274 1591.326774 1.199343e-08 0
  0.200461  31.406347 1591.449237 1.159365e-08 0
  0.198983  30.551377 1591.467697 1.119386e-08 0
  0.186087  31.496872 1591.648621 1.079408e-08 1
  0.171671  32.879456 1591.785268 1.039430e-08 1
  0.157360  34.491579 1591.889044 9.994522e-09 1
  0.143592  36.286805 1592.011720 9.594741e-09 1
  0.130854  38.161615 1592.087514 9.194960e-09 1
  0.119301  40.037531 1592.169183 8.795179e-09 1
  0.108172  42.149206 1592.270176 8.395398e-09 1
  0.098714  43.990176 1592.272339 7.995618e-09 1
  0.089524  46.080674 1592.296266 7.595837e-09 1
  0.080512  48.542111 1592.323407 7.196056e-09 1
  0.073117  50.480502 1592.456672 6.796275e-09 1
  0.066786  52.013195 1592.685733 6.396494e-09 1
  0.060160  54.137099 1592.618943 5.996713e-09 1
  0.054161  56.123420 1592.768786 5.596932e-09 1
  0.047929  58.890797 1592.964261 5.197151e-09 1
  0.043351  60.101865 1593.112153 4.797371e-09 1
  0.038354  62.270092 1592.873287 4.397590e-09 1
  0.033713  64.403645 1593.083148 3.997809e-09 1
  0.029916  65.315574 1593.512372 3.598028e-09 1
  0.025807  67.302139 1593.980201 3.198247e-09 1
  0.022174  68.543349 1594.130180 2.798466e-09 1
  0.018229  71.465275 1594.052486 2.398685e-09 1
  0.014594  74.385928 1594.454204 1.998904e-09 1
  0.011747  73.888374 1593.290941 1.599124e-09 1
  0.008254  78.299790 1598.325586 1.199343e-09 1
  0.004973  87.273168 1599.993670 7.995618e-10 0
  0.001989 102.935699 1618.422090 3.997809e-10 0
  0.000720 264.354492 1545.089160 3.997809e-10 0
