# vel[cm/s]  width[Hz], freq[Hz], drive[A], fit
  0.007830   9.497429 3072.625277 2.271805e-09 0
  0.012275  11.768507 3071.072906 4.543611e-09 0
  0.021110  10.610830 3070.866932 6.815416e-09 0
  0.028434  10.505437 3070.983216 9.087222e-09 0
  0.035740  10.450138 3070.956331 1.135903e-08 1
  0.042584  10.521653 3070.815740 1.363083e-08 1
  0.050692  10.314397 3070.744063 1.590264e-08 1
  0.059228  10.089650 3070.755050 1.817444e-08 1
  0.067597   9.943827 3070.656341 2.044625e-08 1
  0.077121   9.685802 3070.673172 2.271805e-08 1
  0.086322   9.518928 3070.680890 2.498986e-08 1
  0.096094   9.328282 3070.681195 2.726166e-08 1
  0.106842   9.088999 3070.677817 2.953347e-08 1
  0.117770   8.879670 3070.638443 3.180528e-08 1
  0.129943   8.622898 3070.635179 3.407708e-08 1
  0.141113   8.469727 3070.635420 3.634889e-08 1
  0.154291   8.230476 3070.636922 3.862069e-08 1
  0.168786   7.966201 3070.628661 4.089250e-08 1
  0.183684   7.726620 3070.597297 4.316430e-08 1
  0.199324   7.495111 3070.614796 4.543611e-08 1
  0.215296   7.286175 3070.602456 4.770791e-08 1
  0.233895   7.026062 3070.580433 4.997972e-08 1
  0.254036   6.763141 3070.574063 5.225153e-08 1
  0.274995   6.519309 3070.562709 5.452333e-08 1
  0.298481   6.256565 3070.546700 5.679514e-08 1
  0.323517   6.003263 3070.527765 5.906694e-08 1
  0.350186   5.759387 3070.508822 6.133875e-08 1
  0.379319   5.513795 3070.478548 6.361055e-08 1
  0.412065   5.256873 3070.448307 6.588236e-08 1
  0.445215   5.032844 3070.404575 6.815416e-08 1
  0.471448   4.910534 3070.343979 7.042597e-08 0
  0.474949   5.032438 3070.306065 7.269777e-08 0
  0.477902   5.157986 3070.283479 7.496958e-08 0
  0.480473   5.285823 3070.258282 7.724138e-08 0
  0.483174   5.410917 3070.236283 7.951319e-08 0
  0.485388   5.540143 3070.214394 8.178500e-08 0
  0.487794   5.666012 3070.197571 8.405680e-08 0
  0.491056   5.780420 3070.174252 8.632861e-08 0
  0.493470   5.903569 3070.154783 8.860041e-08 0
  0.497343   6.007707 3070.127953 9.087221e-08 0
  0.498994   6.137607 3070.108335 9.314403e-08 0
  0.501639   6.254083 3070.081589 9.541583e-08 0
  0.504530   6.366363 3070.060246 9.768763e-08 0
  0.506843   6.484695 3070.038245 9.995943e-08 0
  0.508335   6.612634 3070.019173 1.022313e-07 0
  0.509531   6.743713 3069.999479 1.045031e-07 0
  0.512019   6.856809 3069.976035 1.067749e-07 0
  0.514748   6.965547 3069.950716 1.090467e-07 0
  0.514126   6.995353 3069.949949 1.093792e-07 0
  0.512854   6.866815 3069.973509 1.071074e-07 0
