# vel[cm/s]  width[Hz], freq[Hz], drive[A], fit
  1.145255   6.755810 1653.790393 9.411312e-08 0
  1.142415   6.674389 1653.806878 9.274916e-08 0
  1.140531   6.587153 1653.820070 9.138521e-08 0
  1.137389   6.506738 1653.834612 9.002125e-08 0
  1.134947   6.421957 1653.847484 8.865729e-08 0
  1.132051   6.339254 1653.864733 8.729333e-08 0
  1.129350   6.255182 1653.878539 8.592937e-08 0
  1.126666   6.170504 1653.895128 8.456541e-08 0
  1.123479   6.088210 1653.910803 8.320146e-08 0
  1.121140   6.000923 1653.924973 8.183750e-08 0
  1.119224   5.911019 1653.938328 8.047354e-08 0
  1.117305   5.820845 1653.949277 7.910958e-08 0
  1.114971   5.732401 1653.963350 7.774562e-08 0
  1.112511   5.644272 1653.977931 7.638166e-08 0
  1.109147   5.560266 1653.993775 7.501771e-08 0
  1.106341   5.473046 1654.007675 7.365375e-08 0
  1.103664   5.384697 1654.022521 7.228979e-08 0
  1.101035   5.295696 1654.037918 7.092583e-08 0
  1.098815   5.204382 1654.051189 6.956187e-08 0
  1.096725   5.112056 1654.064525 6.819791e-08 0
  1.091752   5.032637 1654.077354 6.683396e-08 0
  1.090206   4.936893 1654.091193 6.547000e-08 0
  1.086981   4.848413 1654.103322 6.410604e-08 0
  1.082645   4.764172 1654.119448 6.274208e-08 0
  1.079369   4.674853 1654.129877 6.137812e-08 0
  1.076238   4.584211 1654.142874 6.001416e-08 0
  1.074812   4.486006 1654.153658 5.865021e-08 0
  1.072227   4.392198 1654.166335 5.728625e-08 0
  1.069310   4.299356 1654.176891 5.592229e-08 0
  1.066922   4.203864 1654.187951 5.455833e-08 0
  1.063797   4.110768 1654.200637 5.319437e-08 0
  1.061301   4.014576 1654.220884 5.183041e-08 0
  1.057270   3.924003 1654.233979 5.046646e-08 0
  1.054734   3.827174 1654.244840 4.910250e-08 0
  1.052660   3.728176 1654.256237 4.773854e-08 0
  1.050469   3.629102 1654.271649 4.637458e-08 0
  1.041800   3.551726 1654.284573 4.501062e-08 0
  1.008251   3.557672 1654.323711 4.364667e-08 0
  1.001616   3.470304 1654.336885 4.228271e-08 0
  0.995663   3.378455 1654.349274 4.091875e-08 0
  0.991360   3.279974 1654.362854 3.955479e-08 0
  0.983799   3.191177 1654.377019 3.819083e-08 0
  0.977152   3.098102 1654.392199 3.682687e-08 0
  0.966342   3.016617 1654.410122 3.546291e-08 0
  0.920300   3.045258 1654.439316 3.409896e-08 1
  0.849408   3.167332 1654.471807 3.273500e-08 1
  0.767889   3.357833 1654.501527 3.137104e-08 1
  0.692153   3.563636 1654.524677 3.000708e-08 1
  0.623019   3.779256 1654.545749 2.864312e-08 1
  0.559676   4.006854 1654.560837 2.727917e-08 1
  0.502715   4.237848 1654.575893 2.591521e-08 1
  0.452049   4.464933 1654.584883 2.455125e-08 1
  0.405799   4.697510 1654.592957 2.318729e-08 1
  0.363757   4.932212 1654.598937 2.182333e-08 1
  0.326351   5.154019 1654.599115 2.045937e-08 1
  0.291400   5.387229 1654.610949 1.909542e-08 1
  0.260063   5.605423 1654.599925 1.773146e-08 1
  0.231139   5.821665 1654.600916 1.636750e-08 1
  0.204060   6.044676 1654.604884 1.500354e-08 1
  0.179109   6.260673 1654.607859 1.363958e-08 1
  0.156487   6.449215 1654.584215 1.227563e-08 1
  0.135024   6.643916 1654.574709 1.091167e-08 1
  0.114567   6.851451 1654.569057 9.547708e-09 1
  0.095693   7.030967 1654.547745 8.183750e-09 1
  0.077849   7.201789 1654.496897 6.819791e-09 1
  0.060370   7.428865 1654.422433 5.455833e-09 1
  0.044389   7.577134 1654.332959 4.091875e-09 0
  0.028796   7.771523 1654.063053 2.727917e-09 0
  0.013368   8.274882 1653.357519 1.363958e-09 0
  0.012033   9.307320 1653.563057 1.363958e-09 0
