# vel[cm/s]  width[Hz], freq[Hz], drive[A], fit
  0.011608   0.613477 1654.380584 9.461299e-11 0
  0.023257   0.593359 1654.469972 1.892260e-10 0
  0.041184   0.522296 1654.495739 2.838390e-10 0
  0.058487   0.490765 1654.511664 3.784520e-10 1
  0.076730   0.467979 1654.519997 4.730649e-10 1
  0.095035   0.453440 1654.526496 5.676779e-10 1
  0.115092   0.436849 1654.531075 6.622909e-10 1
  0.135971   0.422593 1654.534809 7.569039e-10 1
  0.157687   0.409944 1654.538602 8.515169e-10 1
  0.181602   0.395508 1654.541110 9.461298e-10 1
  0.207591   0.380596 1654.544507 1.040743e-09 1
  0.235902   0.365363 1654.548312 1.135356e-09 1
  0.265541   0.351632 1654.551986 1.229969e-09 1
  0.295698   0.340044 1654.556627 1.324582e-09 1
  0.327264   0.329161 1654.562223 1.419195e-09 1
  0.360619   0.318628 1654.567912 1.513808e-09 1
  0.395370   0.308768 1654.573792 1.608421e-09 1
  0.431054   0.299870 1654.579318 1.703034e-09 1
  0.466060   0.292705 1654.585797 1.797647e-09 1
  0.499431   0.287484 1654.592888 1.892260e-09 1
  0.533487   0.282507 1654.600840 1.986873e-09 1
  0.565342   0.279215 1654.609677 2.081486e-09 1
  0.598620   0.275882 1654.615318 2.176099e-09 1
  0.633619   0.272059 1654.617715 2.270712e-09 1
  0.670277   0.267833 1654.616914 2.365325e-09 1
  0.706170   0.264265 1654.614056 2.459938e-09 1
  0.741930   0.261047 1654.609359 2.554551e-09 1
  0.777406   0.258180 1654.603131 2.649164e-09 1
  0.812725   0.255574 1654.595517 2.743776e-09 1
  0.849274   0.252773 1654.586459 2.838390e-09 1
  0.883317   0.250954 1654.576545 2.933003e-09 0
  0.893964   0.256697 1654.571167 3.027616e-09 0
  0.904933   0.261708 1654.567773 3.122229e-09 0
  0.919073   0.265354 1654.563021 3.216841e-09 0
  0.937164   0.267672 1654.556439 3.311454e-09 0
  0.949909   0.271750 1654.550611 3.406067e-09 0
  0.948335   0.280184 1654.550082 3.500680e-09 0
  0.954130   0.285911 1654.547802 3.595293e-09 0
  0.962977   0.290626 1654.544007 3.689907e-09 0
  0.962877   0.298268 1654.542218 3.784519e-09 0
  0.962565   0.305869 1654.541345 3.879132e-09 0
  0.964553   0.312653 1654.539822 3.973745e-09 0
  0.966395   0.319496 1654.538515 4.068358e-09 0
  0.968759   0.326121 1654.536898 4.162971e-09 0
  0.966648   0.334315 1654.536653 4.257584e-09 0
  0.967849   0.341285 1654.535423 4.352197e-09 0
  0.969252   0.348194 1654.534031 4.446810e-09 0
  0.971256   0.354866 1654.532674 4.541423e-09 0
  0.973023   0.361594 1654.530961 4.636036e-09 0
  0.973274   0.368889 1654.529486 4.730649e-09 0
  0.974109   0.375960 1654.528258 4.825262e-09 0
  0.975507   0.382780 1654.527230 4.919875e-09 0
  0.976536   0.389721 1654.525756 5.014488e-09 0
  0.975398   0.397563 1654.524757 5.109101e-09 0
  0.976610   0.404410 1654.523678 5.203714e-09 0
  0.977581   0.411360 1654.522462 5.298327e-09 0
  0.977879   0.418560 1654.520850 5.392940e-09 0
  0.979347   0.425282 1654.519788 5.487553e-09 0
  0.980602   0.432061 1654.518619 5.582166e-09 0
  0.980803   0.439293 1654.517300 5.676779e-09 0
  0.982536   0.445827 1654.515950 5.771392e-09 0
  0.983366   0.452757 1654.514769 5.866005e-09 0
  0.984183   0.459688 1654.513856 5.960618e-09 0
  0.983982   0.467072 1654.512577 6.055231e-09 0
  0.984547   0.474094 1654.511323 6.149844e-09 0
  0.984258   0.481556 1654.510637 6.244457e-09 0
  0.983982   0.488981 1654.509836 6.339071e-09 0
  0.985230   0.495637 1654.508528 6.433682e-09 0
  0.986437   0.502313 1654.507341 6.528296e-09 0
  0.986777   0.509428 1654.506357 6.622909e-09 0
  0.987675   0.508991 1654.506314 6.622909e-09 0
