# vel[cm/s]  width[Hz], freq[Hz], drive[A], fit
  0.001413 100.085722 1601.984667 1.739129e-10 0
  0.003571  79.456375 1597.016287 3.478258e-10 0
  0.006240  68.710988 1598.404026 5.217386e-10 1
  0.008190  69.672337 1595.851544 6.956516e-10 1
  0.010941  65.362002 1596.267029 8.695644e-10 1
  0.013758  62.358609 1595.404847 1.043477e-09 1
  0.016071  62.304269 1595.157504 1.217390e-09 1
  0.019330  59.197831 1594.843607 1.391303e-09 1
  0.022504  57.204449 1594.602402 1.565216e-09 1
  0.026139  54.722912 1594.517820 1.739129e-09 1
  0.030300  51.928412 1594.423391 1.913042e-09 1
  0.034560  49.664987 1594.111240 2.086955e-09 1
  0.038653  48.093052 1594.546698 2.260867e-09 1
  0.043698  45.826622 1594.302542 2.434780e-09 1
  0.049005  43.781770 1594.266260 2.608693e-09 1
  0.054777  41.777507 1594.335302 2.782606e-09 1
  0.061310  39.661670 1594.145424 2.956519e-09 1
  0.068172  37.766842 1594.073277 3.130432e-09 1
  0.076362  35.588272 1594.070938 3.304345e-09 1
  0.086080  33.232808 1593.998418 3.478258e-09 1
  0.094725  31.709917 1593.920294 3.652171e-09 1
  0.103528  30.396139 1593.762950 3.826083e-09 1
  0.112733  29.182949 1593.611498 3.999996e-09 1
  0.121979  28.143530 1593.480617 4.173909e-09 1
  0.131294  27.236388 1593.270106 4.347822e-09 1
  0.139829  26.596939 1593.058815 4.521735e-09 1
  0.145233  26.590095 1592.708033 4.695648e-09 0
  0.147070  27.231863 1592.427548 4.869561e-09 0
  0.147471  28.128595 1592.231474 5.043474e-09 0
  0.148995  28.800117 1591.939909 5.217387e-09 0
  0.149673  29.625956 1591.703286 5.391300e-09 0
  0.150039  30.506629 1591.425386 5.565213e-09 0
  0.150502  31.363592 1591.203770 5.739125e-09 0
  0.150531  32.307927 1590.997528 5.913038e-09 0
  0.151110  33.130622 1590.767752 6.086951e-09 0
  0.151574  33.972966 1590.543811 6.260863e-09 0
  0.151582  34.914866 1590.361272 6.434777e-09 0
  0.152370  35.672976 1590.155815 6.608690e-09 0
  0.152774  36.514972 1589.972857 6.782603e-09 0
  0.153014  37.391582 1589.899488 6.956515e-09 0
  0.153076  38.311343 1589.780578 7.130428e-09 0
  0.153587  39.115301 1589.653356 7.304341e-09 0
  0.153929  39.957621 1589.531584 7.478255e-09 0
  0.154219  40.810466 1589.341285 7.652167e-09 0
  0.154573  41.642216 1589.150215 7.826080e-09 0
  0.154577  42.566390 1588.928749 7.999993e-09 0
  0.155082  43.350154 1588.776535 8.173906e-09 0
  0.155204  44.237901 1588.585888 8.347819e-09 0
  0.155200  45.160453 1588.452861 8.521731e-09 0
  0.155953  45.859521 1588.311778 8.695644e-09 0
  0.155888  46.796079 1588.217404 8.869557e-09 0
  0.156431  47.548249 1588.092782 9.043470e-09 0
  0.156803  48.347307 1588.019011 9.217383e-09 0
  0.157278  49.111047 1587.914915 9.391296e-09 0
  0.158113  49.756658 1587.761559 9.565209e-09 0
  0.158599  50.506076 1587.636428 9.739122e-09 0
  0.159183  51.219251 1587.502979 9.913035e-09 0
  0.159478  52.021587 1587.307953 1.008695e-08 0
  0.159863  52.791034 1587.171697 1.026086e-08 0
  0.160318  53.533168 1587.088733 1.043477e-08 0
  0.160841  54.248504 1586.938638 1.060869e-08 0
  0.161381  54.953551 1586.819606 1.078260e-08 0
  0.161894  55.662651 1586.625468 1.095651e-08 0
  0.162527  56.325986 1586.494612 1.113043e-08 0
  0.163011  57.036237 1586.389558 1.130434e-08 0
  0.163646  57.689199 1586.235128 1.147825e-08 0
  0.164192  58.368389 1586.058731 1.165216e-08 0
  0.165088  58.918120 1585.908838 1.182608e-08 0
  0.165459  59.650602 1585.807765 1.199999e-08 0
  0.165960  60.332066 1585.634105 1.217390e-08 0
  0.166278  60.216287 1585.660159 1.217390e-08 0
