# vel[cm/s]  width[Hz], freq[Hz], drive[A], fit
  0.001677 188.366294 1623.719441 3.844678e-10 0
  0.003347 178.287805 1590.964223 7.689356e-10 0
  0.006456 147.501974 1600.750226 1.153403e-09 1
  0.009014 141.595546 1596.076050 1.537871e-09 1
  0.011747 136.211340 1596.194558 1.922339e-09 1
  0.014488 132.449100 1594.153582 2.306807e-09 1
  0.017552 127.621044 1595.105469 2.691275e-09 1
  0.020898 122.479333 1593.902114 3.075742e-09 1
  0.024542 117.357527 1593.764068 3.460210e-09 1
  0.028092 113.918095 1593.730589 3.844678e-09 1
  0.032452 108.472025 1593.318964 4.229146e-09 1
  0.037059 103.622592 1593.353250 4.613613e-09 1
  0.042083  98.856746 1593.241063 4.998081e-09 1
  0.047386  94.546481 1593.185547 5.382549e-09 1
  0.053099  90.401343 1592.950299 5.767017e-09 1
  0.059756  85.684318 1592.833296 6.151485e-09 1
  0.067033  81.149187 1592.965299 6.535952e-09 1
  0.075041  76.760020 1592.706472 6.920421e-09 1
  0.083298  72.990901 1592.532022 7.304888e-09 1
  0.092727  69.017435 1592.422593 7.689356e-09 1
  0.102770  65.387517 1592.245661 8.073824e-09 1
  0.113149  62.216961 1592.074422 8.458291e-09 1
  0.123752  59.473896 1591.791810 8.842759e-09 1
  0.134195  57.230836 1591.470206 9.227227e-09 1
  0.143771  55.645910 1591.065731 9.611695e-09 0
  0.147365  56.461440 1590.535781 9.996163e-09 0
  0.149138  57.936088 1589.994015 1.038063e-08 0
  0.150165  59.670849 1589.416601 1.076510e-08 0
  0.151190  61.382895 1588.816349 1.114957e-08 0
  0.151644  63.308769 1588.382442 1.153403e-08 0
  0.152525  65.040274 1588.056535 1.191850e-08 0
  0.153180  66.851022 1587.734745 1.230297e-08 0
  0.153707  68.704211 1587.409802 1.268744e-08 0
  0.154087  70.612416 1587.008143 1.307190e-08 0
  0.154759  72.373068 1586.675973 1.345637e-08 0
  0.155515  74.077246 1586.465470 1.384084e-08 0
  0.156551  75.631720 1586.229157 1.422531e-08 0
  0.157694  77.112991 1585.982743 1.460978e-08 0
  0.158681  78.651458 1585.667635 1.499424e-08 0
  0.159523  80.241671 1585.394912 1.537871e-08 0
  0.160531  81.730417 1585.214666 1.576318e-08 0
  0.161857  83.039567 1584.929818 1.614765e-08 0
  0.162935  84.454656 1584.610695 1.653212e-08 0
  0.164213  85.745466 1584.359662 1.691658e-08 0
  0.165682  86.915878 1584.183421 1.730105e-08 0
  0.167459  87.906607 1583.822612 1.768552e-08 0
  0.168538  89.242295 1583.508114 1.806999e-08 0
  0.170363  90.163805 1583.292157 1.845445e-08 0
  0.171537  91.411960 1583.121467 1.883892e-08 0
  0.172758  92.617562 1583.008007 1.922339e-08 0
  0.174374  93.596089 1582.779681 1.960786e-08 0
  0.175485  94.825373 1582.731014 1.999233e-08 0
  0.176999  95.823968 1582.531999 2.037679e-08 0
  0.177764  97.211172 1582.434397 2.076126e-08 0
  0.178917  98.374819 1582.179131 2.114573e-08 0
  0.180124  99.491633 1582.009536 2.153020e-08 0
  0.180409 101.109174 1581.694655 2.191466e-08 0
  0.181095 102.493005 1581.492637 2.229913e-08 0
  0.181403 104.083372 1581.208053 2.268360e-08 0
  0.181860 105.581242 1580.880917 2.306807e-08 0
  0.182304 107.079424 1580.648521 2.345254e-08 0
  0.182799 108.540118 1580.362148 2.383700e-08 0
  0.182961 110.193132 1580.175009 2.422147e-08 0
  0.183352 111.703331 1579.910076 2.460594e-08 0
  0.183627 113.279042 1579.651451 2.499041e-08 0
  0.183668 114.996037 1579.478365 2.537488e-08 0
  0.184228 116.383385 1579.248391 2.575934e-08 0
  0.184552 117.913248 1579.143133 2.614381e-08 0
  0.184647 119.585929 1579.028417 2.652828e-08 0
  0.185010 121.080879 1578.919123 2.691275e-08 0
  0.185148 120.990843 1578.823580 2.691275e-08 0
