# vel[cm/s]  width[Hz], freq[Hz], drive[A], fit
  0.003762  85.909674 6777.695476 2.062344e-09 0
  0.007610  84.932791 6778.650107 4.124689e-09 0
  0.011558  83.882890 6779.517756 6.187033e-09 1
  0.015689  82.407325 6779.695887 8.249377e-09 1
  0.020008  80.769222 6780.195887 1.031172e-08 1
  0.024768  78.300732 6780.232048 1.237407e-08 1
  0.029021  77.961593 6780.461472 1.443641e-08 1
  0.034164  75.686925 6780.700982 1.649875e-08 1
  0.039218  74.175441 6780.725825 1.856110e-08 1
  0.044823  72.109247 6780.925174 2.062344e-08 1
  0.050632  70.220565 6781.104579 2.268579e-08 1
  0.056671  68.441219 6781.257080 2.474813e-08 1
  0.063278  66.403209 6781.423714 2.681048e-08 1
  0.070223  64.438429 6781.547092 2.887282e-08 1
  0.077360  62.672296 6781.566815 3.093516e-08 1
  0.085169  60.720385 6781.695562 3.299751e-08 1
  0.093054  59.048305 6781.827848 3.505985e-08 1
  0.101883  57.103938 6781.936968 3.712220e-08 1
  0.110909  55.371610 6781.925362 3.918454e-08 1
  0.121104  53.378860 6781.984321 4.124689e-08 1
  0.132100  51.381595 6782.104243 4.330923e-08 1
  0.144012  49.376185 6782.205934 4.537157e-08 1
  0.156836  47.400085 6782.253539 4.743392e-08 1
  0.170828  45.409502 6782.309366 4.949626e-08 1
  0.185927  43.460881 6782.302580 5.155861e-08 1
  0.202126  41.576368 6782.354889 5.362095e-08 1
  0.220339  39.607048 6782.352854 5.568330e-08 1
  0.240065  37.698831 6782.349104 5.774564e-08 1
  0.261521  35.842063 6782.312020 5.980799e-08 0
  0.283373  34.218574 6782.184297 6.187033e-08 0
  0.289975  34.540292 6781.622519 6.393267e-08 0
  0.285215  36.224004 6780.703408 6.599502e-08 0
  0.277533  38.366931 6779.518054 6.805736e-08 0
  0.265894  41.256743 6778.223994 7.011971e-08 0
  0.251591  44.900373 6776.961273 7.218205e-08 0
  0.236890  49.069382 6775.788755 7.424440e-08 0
  0.222606  53.686260 6774.729196 7.630674e-08 0
  0.209245  58.669813 6773.752302 7.836908e-08 0
  0.196925  63.985901 6772.786839 8.043143e-08 0
  0.184423  70.082600 6771.877131 8.249377e-08 0
  0.172970  76.590833 6770.896722 8.455612e-08 0
  0.160367  84.634740 6770.058642 8.661846e-08 0
  0.149550  92.910799 6769.029996 8.868081e-08 0
  0.136428 104.234202 6768.398784 9.074315e-08 0
  0.129467 112.256215 6766.333082 9.280549e-08 0
  0.101883 145.454400 6772.441971 9.486784e-08 0
  0.203977  69.621727 6760.117668 9.693018e-08 0
  0.056457 160.320018 6870.666084 9.899253e-08 0
  0.082226  62.953269 6782.752479 1.010549e-07 0
  0.313489  44.106034 6769.108516 1.031172e-07 0
  0.149418  99.840641 6745.594956 1.051796e-07 0
  0.043383 -47.042841 6934.678469 1.072419e-07 0
  0.061871  69.933834 6782.342148 1.093042e-07 0
  0.322907  43.378238 6767.211249 1.093792e-07 0
  0.122659 123.661359 6737.525727 1.073168e-07 0
