# vel[cm/s]  width[Hz], freq[Hz], drive[A], fit
  0.007054   9.015732 3106.358266 5.922882e-10 0
  0.013233   9.603873 3106.146665 1.184576e-09 0
  0.020248   9.423854 3106.143544 1.776865e-09 0
  0.027088   9.391931 3106.099683 2.369153e-09 0
  0.034150   9.311975 3106.056469 2.961441e-09 1
  0.042047   9.076145 3106.077911 3.553729e-09 1
  0.050092   8.888140 3106.072501 4.146017e-09 1
  0.058279   8.731011 3106.079810 4.738306e-09 1
  0.067458   8.485858 3106.080206 5.330594e-09 1
  0.076889   8.272139 3106.101296 5.922882e-09 1
  0.087085   8.034083 3106.105618 6.515170e-09 1
  0.098217   7.770911 3106.129290 7.107459e-09 1
  0.110203   7.502934 3106.140968 7.699747e-09 1
  0.123205   7.227343 3106.159573 8.292035e-09 1
  0.136990   6.964415 3106.169347 8.884323e-09 1
  0.152411   6.676905 3106.194415 9.476612e-09 1
  0.169073   6.395204 3106.210262 1.006890e-08 1
  0.187843   6.094734 3106.228064 1.066119e-08 1
  0.210036   5.753546 3106.245288 1.125348e-08 1
  0.233587   5.445783 3106.258567 1.184576e-08 1
  0.259299   5.151029 3106.273583 1.243805e-08 1
  0.287714   4.863447 3106.279718 1.303034e-08 1
  0.319331   4.581111 3106.270352 1.362263e-08 1
  0.353511   4.317736 3106.240046 1.421492e-08 1
  0.388540   4.091182 3106.186253 1.480721e-08 1
  0.421228   3.922628 3106.104449 1.539949e-08 1
  0.440416   3.895138 3106.013523 1.599178e-08 0
  0.440434   4.042803 3105.974035 1.658407e-08 0
  0.444850   4.145606 3105.932450 1.717636e-08 0
  0.446531   4.272967 3105.907650 1.776865e-08 0
  0.447617   4.404721 3105.883316 1.836093e-08 0
  0.448590   4.536996 3105.861313 1.895322e-08 0
  0.449167   4.672814 3105.841403 1.954551e-08 0
  0.449940   4.806205 3105.825166 2.013780e-08 0
  0.450959   4.936417 3105.812290 2.073009e-08 0
  0.451854   5.067404 3105.799055 2.132238e-08 0
  0.452855   5.196624 3105.783110 2.191466e-08 0
  0.452959   5.335873 3105.769016 2.250695e-08 0
  0.469027   5.287094 3105.701140 2.309924e-08 0
  0.471217   5.399076 3105.686119 2.369153e-08 0
  0.472625   5.517600 3105.675860 2.428382e-08 0
  0.474140   5.634082 3105.659950 2.487611e-08 0
  0.475582   5.750707 3105.641085 2.546839e-08 0
  0.475479   5.885602 3105.613903 2.606068e-08 0
  0.476120   6.011357 3105.592714 2.665297e-08 0
  0.477014   6.133488 3105.576975 2.724526e-08 0
  0.477702   6.257815 3105.562398 2.783755e-08 0
  0.478729   6.377215 3105.543958 2.842983e-08 0
  0.479792   6.495674 3105.527996 2.902212e-08 0
  0.480111   6.623777 3105.506713 2.961441e-08 0
  0.480524   6.750526 3105.491898 3.020670e-08 0
  0.480693   6.880277 3105.461676 3.079899e-08 0
  0.481228   7.005014 3105.449818 3.139128e-08 0
  0.481414   7.134366 3105.431282 3.198356e-08 0
  0.482005   7.257568 3105.411409 3.257585e-08 0
  0.482516   7.381714 3105.392733 3.316814e-08 0
  0.483474   7.498690 3105.380942 3.376043e-08 0
  0.484529   7.613621 3105.366430 3.435272e-08 0
  0.485081   7.736011 3105.344148 3.494500e-08 0
  0.485789   7.855662 3105.321719 3.553729e-08 0
  0.486630   7.972854 3105.306443 3.612958e-08 0
  0.487702   8.085746 3105.291660 3.672187e-08 0
  0.488143   8.208720 3105.273794 3.731416e-08 0
  0.488911   8.325903 3105.253812 3.790645e-08 0
  0.489054   8.453454 3105.227583 3.849874e-08 0
  0.489904   8.568671 3105.207280 3.909102e-08 0
  0.491081   8.677643 3105.185571 3.968331e-08 0
  0.491703   8.796071 3105.169377 4.027560e-08 0
  0.492826   8.905048 3105.149030 4.086789e-08 0
  0.493279   9.025821 3105.129328 4.146018e-08 0
  0.493308   9.025377 3105.129433 4.146018e-08 0
