# vel[cm/s]  width[Hz], freq[Hz], drive[A], fit
  0.003399  57.254896 6762.708927 2.928080e-09 0
  0.007723  50.802023 6761.691544 5.856160e-09 0
  0.011516  51.119021 6762.735825 8.784241e-09 1
  0.015216  51.581608 6761.753460 1.171232e-08 1
  0.019150  51.255352 6762.504107 1.464040e-08 1
  0.023506  50.123755 6762.331458 1.756848e-08 1
  0.028283  48.595128 6761.936780 2.049656e-08 1
  0.032678  48.075219 6762.090713 2.342464e-08 1
  0.038166  46.308689 6762.220711 2.635273e-08 1
  0.043576  45.064988 6762.389912 2.928081e-08 1
  0.048765  44.295674 6762.623273 3.220889e-08 1
  0.053671  43.894640 6762.122795 3.513697e-08 1
  0.059607  42.829043 6762.148529 3.806505e-08 1
  0.066270  41.486024 6762.249186 4.099313e-08 1
  0.072798  40.463699 6762.336564 4.392121e-08 1
  0.080200  39.177523 6762.410066 4.684929e-08 1
  0.088137  37.877907 6762.424626 4.977737e-08 1
  0.095938  36.844525 6762.374429 5.270545e-08 1
  0.104854  35.584728 6762.359173 5.563353e-08 1
  0.114211  34.388749 6762.359179 5.856161e-08 1
  0.124778  33.050284 6762.344094 6.148969e-08 1
  0.135572  31.867043 6762.275904 6.441777e-08 1
  0.147645  30.591713 6762.262127 6.734585e-08 1
  0.160785  29.312786 6762.220484 7.027393e-08 1
  0.175464  27.979832 6762.211760 7.320201e-08 1
  0.191575  26.651881 6762.195342 7.613009e-08 1
  0.209248  25.339306 6762.144466 7.905817e-08 1
  0.228813  24.030689 6762.070412 8.198625e-08 1
  0.250366  22.746200 6761.990262 8.491433e-08 1
  0.272803  21.594194 6761.853215 8.784241e-08 1
  0.284449  21.399433 6761.679540 9.077050e-08 0
  0.276819  22.664950 6761.025368 9.369857e-08 0
  0.258028  24.961625 6759.630066 9.662666e-08 0
  0.227763  29.021872 6757.562709 9.955474e-08 0
  0.180516  37.764763 6755.138033 1.024828e-07 0
  0.118065  59.870034 6754.621630 1.054109e-07 0
  0.100676  71.303855 6749.125430 1.083390e-07 0
  0.048834 136.581583 6780.321013 1.093792e-07 0
  0.135592  31.829999 6762.527106 1.064511e-07 0
