# vel[cm/s]  width[Hz], freq[Hz], drive[A], fit
  0.152398  15.202497 1582.439011 6.010386e-09 0
  0.152402  14.985089 1582.433987 5.924523e-09 0
  0.152146  14.791968 1582.510133 5.838660e-09 0
  0.152462  14.544851 1582.545851 5.752798e-09 0
  0.152133  14.358266 1582.616689 5.666935e-09 0
  0.151746  14.177306 1582.647311 5.581072e-09 0
  0.151305  13.999531 1582.702850 5.495210e-09 0
  0.151254  13.785400 1582.759266 5.409347e-09 0
  0.150911  13.597252 1582.825180 5.323484e-09 0
  0.151035  13.367373 1582.861049 5.237622e-09 0
  0.150504  13.194605 1582.901008 5.151759e-09 0
  0.150283  12.993048 1582.978615 5.065896e-09 0
  0.150048  12.791382 1583.101476 4.980034e-09 0
  0.149819  12.591919 1583.157571 4.894171e-09 0
  0.149733  12.377867 1583.224364 4.808308e-09 0
  0.149027  12.214728 1583.270954 4.722446e-09 0
  0.149062  11.989287 1583.341987 4.636583e-09 0
  0.148679  11.797043 1583.431045 4.550720e-09 0
  0.148431  11.594296 1583.501288 4.464858e-09 0
  0.148376  11.375688 1583.563227 4.378995e-09 0
  0.148175  11.167458 1583.635641 4.293133e-09 0
  0.147541  10.991422 1583.697050 4.207270e-09 0
  0.147872  10.743199 1583.746506 4.121407e-09 0
  0.146957  10.584996 1583.788891 4.035545e-09 0
  0.147351  10.331723 1583.848264 3.949682e-09 0
  0.147091  10.124377 1583.925399 3.863819e-09 0
  0.146549   9.936870 1583.969440 3.777957e-09 0
  0.146726   9.699061 1584.022152 3.692094e-09 0
  0.146666   9.477616 1584.062994 3.606231e-09 0
  0.146253   9.277671 1584.118958 3.520369e-09 0
  0.145810   9.078079 1584.197860 3.434506e-09 0
  0.146180   8.829148 1584.262575 3.348643e-09 0
  0.145668   8.633428 1584.310809 3.262781e-09 0
  0.145805   8.398421 1584.354359 3.176918e-09 0
  0.145506   8.188310 1584.392197 3.091055e-09 0
  0.144888   7.993789 1584.461994 3.005193e-09 0
  0.145141   7.752586 1584.507584 2.919330e-09 0
  0.144729   7.546066 1584.550416 2.833468e-09 0
  0.143665   7.371580 1584.592465 2.747605e-09 0
  0.143339   7.156794 1584.651906 2.661742e-09 0
  0.143723   6.908032 1584.691677 2.575879e-09 0
  0.142879   6.717256 1584.727865 2.490017e-09 0
  0.142468   6.504018 1584.773104 2.404154e-09 0
  0.142056   6.290120 1584.810350 2.318292e-09 0
  0.142728   6.027425 1584.876032 2.232429e-09 0
  0.141808   5.833903 1584.923530 2.146566e-09 0
  0.141565   5.610181 1584.968938 2.060704e-09 0
  0.141275   5.386693 1585.028913 1.974841e-09 0
  0.140684   5.174669 1585.074320 1.888978e-09 0
  0.140462   4.946178 1585.139241 1.803116e-09 0
  0.139902   4.728593 1585.213976 1.717253e-09 0
  0.138271   4.542905 1585.312234 1.631390e-09 0
  0.128456   4.613070 1585.541383 1.545528e-09 1
  0.117350   4.780146 1585.713717 1.459665e-09 1
  0.106158   4.978898 1585.855507 1.373802e-09 1
  0.093981   5.275632 1585.980057 1.287940e-09 1
  0.082119   5.639407 1586.065325 1.202077e-09 1
  0.072005   5.972915 1586.145190 1.116214e-09 1
  0.061378   6.469626 1586.200857 1.030352e-09 1
  0.052357   6.952418 1586.260044 9.444892e-10 1
  0.044241   7.481208 1586.239783 8.586266e-10 1
  0.037124   8.022818 1586.299622 7.727638e-10 1
  0.031495   8.406668 1586.340529 6.869012e-10 1
  0.025614   9.044294 1586.401014 6.010386e-10 1
  0.020502   9.685721 1586.450053 5.151759e-10 1
  0.016041  10.314216 1586.553595 4.293133e-10 1
  0.012374  10.697985 1586.622263 3.434506e-10 1
  0.008118  12.230977 1586.613948 2.575880e-10 0
  0.005051  13.003514 1587.429835 1.717253e-10 0
  0.001173  21.388848 1596.621933 8.586265e-11 0
  0.000825 -34.897173 1587.194127 8.586265e-11 0
