# vel[cm/s]  width[Hz], freq[Hz], drive[A], fit
  0.007567   4.580865 3104.221378 3.270437e-10 0
  0.015374   4.506716 3104.146716 6.540875e-10 0
  0.023304   4.462324 3104.142638 9.811312e-10 0
  0.031221   4.440920 3104.137021 1.308175e-09 0
  0.039632   4.373039 3104.139417 1.635219e-09 0
  0.047874   4.344166 3104.150329 1.962262e-09 0
  0.056719   4.277914 3104.154103 2.289306e-09 0
  0.065540   4.231021 3104.152618 2.616350e-09 1
  0.074912   4.164385 3104.162145 2.943394e-09 1
  0.084718   4.091498 3104.171464 3.270437e-09 1
  0.094925   4.016626 3104.186902 3.597481e-09 1
  0.105715   3.934627 3104.197320 3.924525e-09 1
  0.116518   3.867233 3104.213327 4.251569e-09 1
  0.128324   3.781589 3104.225517 4.578612e-09 1
  0.140049   3.712523 3104.234975 4.905656e-09 1
  0.152993   3.624894 3104.250815 5.232700e-09 1
  0.166424   3.540713 3104.260365 5.559743e-09 1
  0.180417   3.458164 3104.272892 5.886787e-09 1
  0.195088   3.375715 3104.289021 6.213831e-09 1
  0.210650   3.290870 3104.305248 6.540875e-09 1
  0.227068   3.205587 3104.319510 6.867918e-09 1
  0.244643   3.117057 3104.328939 7.194962e-09 1
  0.263378   3.026965 3104.335168 7.522005e-09 1
  0.282375   2.946095 3104.338550 7.849049e-09 1
  0.303220   2.857884 3104.339211 8.176093e-09 1
  0.325262   2.770773 3104.335471 8.503137e-09 1
  0.349085   2.680965 3104.329260 8.830180e-09 1
  0.373949   2.595361 3104.320088 9.157224e-09 1
  0.400451   2.510122 3104.308987 9.484268e-09 1
  0.428929   2.424219 3104.295285 9.811312e-09 1
  0.457619   2.347890 3104.278315 1.013836e-08 1
  0.487842   2.273371 3104.258832 1.046540e-08 1
  0.518669   2.204967 3104.236646 1.079244e-08 1
  0.551668   2.135591 3104.208486 1.111949e-08 1
  0.581670   2.084811 3104.177399 1.144653e-08 1
  0.604706   2.062567 3104.144721 1.177357e-08 0
  0.607663   2.110453 3104.133025 1.210062e-08 0
  0.609891   2.159630 3104.123820 1.242766e-08 0
  0.611972   2.208950 3104.116146 1.275471e-08 0
  0.614379   2.256704 3104.107922 1.308175e-08 0
  0.615762   2.307949 3104.100855 1.340879e-08 0
  0.617754   2.356593 3104.092157 1.373584e-08 0
  0.618961   2.408017 3104.084585 1.406288e-08 0
  0.620387   2.458371 3104.078227 1.438992e-08 0
  0.621571   2.509446 3104.071521 1.471697e-08 0
  0.622494   2.561416 3104.065307 1.504401e-08 0
  0.623585   2.612526 3104.059498 1.537106e-08 0
  0.624342   2.664889 3104.055059 1.569810e-08 0
  0.625476   2.715469 3104.050057 1.602514e-08 0
  0.626631   2.765771 3104.043782 1.635219e-08 0
  0.627381   2.817719 3104.037974 1.667923e-08 0
  0.628840   2.866309 3104.032917 1.700627e-08 0
  0.630098   2.915581 3104.025662 1.733332e-08 0
  0.630867   2.966987 3104.020658 1.766036e-08 0
  0.631431   3.019225 3104.014588 1.798741e-08 0
  0.632473   3.069060 3104.009486 1.831445e-08 0
  0.633485   3.118873 3104.003789 1.864149e-08 0
  0.634264   3.169696 3103.998845 1.896854e-08 0
  0.635528   3.217938 3103.993854 1.929558e-08 0
  0.636413   3.267923 3103.988547 1.962262e-08 0
  0.637511   3.316670 3103.983455 1.994967e-08 0
  0.638435   3.366146 3103.976395 2.027671e-08 0
  0.638929   3.417798 3103.969675 2.060375e-08 0
  0.639780   3.467448 3103.964810 2.093080e-08 0
  0.640725   3.516419 3103.958592 2.125784e-08 0
  0.641038   3.568777 3103.952685 2.158489e-08 0
  0.641440   3.620584 3103.947439 2.191193e-08 0
  0.642401   3.669113 3103.940015 2.223897e-08 0
  0.642547   3.722243 3103.935291 2.256602e-08 0
  0.648547   3.740975 3103.912684 2.289306e-08 0
  0.647908   3.744959 3103.911885 2.289306e-08 0
