# vel[cm/s]  width[Hz], freq[Hz], drive[A], fit
  0.008209   9.501897 3077.037374 1.498495e-09 0
  0.015848   9.812953 3076.621100 2.996989e-09 0
  0.024571   9.526981 3076.534761 4.495484e-09 0
  0.033608   9.288043 3076.550471 5.993979e-09 0
  0.042512   9.175918 3076.441962 7.492473e-09 0
  0.052221   8.966424 3076.437410 8.990969e-09 0
  0.061593   8.869090 3076.424862 1.048946e-08 0
  0.073018   8.550149 3076.438782 1.198796e-08 1
  0.083912   8.370203 3076.440899 1.348645e-08 1
  0.095791   8.146482 3076.405807 1.498495e-08 1
  0.108124   7.939331 3076.408597 1.648344e-08 1
  0.122048   7.673023 3076.407827 1.798194e-08 1
  0.136552   7.429515 3076.406981 1.948043e-08 1
  0.151996   7.187987 3076.395695 2.097893e-08 1
  0.168473   6.948244 3076.386913 2.247742e-08 1
  0.186038   6.711692 3076.392572 2.397591e-08 1
  0.206087   6.437378 3076.379813 2.547441e-08 1
  0.227046   6.186883 3076.372196 2.697291e-08 1
  0.250186   5.926594 3076.365867 2.847140e-08 1
  0.276075   5.653461 3076.354620 2.996989e-08 1
  0.304031   5.390243 3076.339745 3.146839e-08 1
  0.334899   5.126415 3076.322374 3.296688e-08 1
  0.369338   4.859538 3076.297711 3.446538e-08 1
  0.404813   4.626254 3076.266039 3.596387e-08 1
  0.445024   4.383030 3076.220492 3.746237e-08 1
  0.486386   4.169563 3076.155726 3.896086e-08 0
  0.499933   4.213593 3076.108592 4.045936e-08 0
  0.504025   4.334864 3076.078500 4.195785e-08 0
  0.506156   4.470903 3076.051360 4.345635e-08 0
  0.509767   4.592359 3076.025844 4.495484e-08 0
  0.512494   4.720229 3076.001390 4.645334e-08 0
  0.514973   4.849130 3075.980882 4.795183e-08 0
  0.519205   4.959644 3075.948135 4.945032e-08 0
  0.520343   5.099050 3075.927831 5.094882e-08 0
  0.521720   5.235124 3075.904603 5.244731e-08 0
  0.524088   5.360445 3075.884834 5.394581e-08 0
  0.526040   5.488871 3075.862768 5.544430e-08 0
  0.527331   5.623504 3075.846481 5.694280e-08 0
  0.529090   5.752274 3075.827347 5.844129e-08 0
  0.531055   5.877985 3075.811544 5.993979e-08 0
  0.532949   6.003496 3075.792855 6.143828e-08 0
  0.535608   6.119452 3075.779191 6.293678e-08 0
  0.537321   6.245078 3075.757490 6.443527e-08 0
  0.540059   6.357931 3075.736624 6.593377e-08 0
  0.541969   6.479549 3075.717606 6.743226e-08 0
  0.544994   6.586840 3075.704380 6.893076e-08 0
  0.547684   6.696922 3075.685902 7.042925e-08 0
  0.550512   6.804213 3075.662407 7.192774e-08 0
  0.551737   6.930606 3075.642994 7.342624e-08 0
  0.553043   7.055226 3075.614940 7.492473e-08 0
  0.554285   7.180364 3075.598242 7.642323e-08 0
  0.555412   7.306227 3075.574576 7.792172e-08 0
  0.555674   7.443277 3075.555025 7.942022e-08 0
  0.556640   7.570491 3075.530090 8.091871e-08 0
  0.557406   7.700147 3075.509141 8.241721e-08 0
  0.557837   7.834048 3075.484497 8.391570e-08 0
  0.559131   7.955564 3075.465829 8.541420e-08 0
  0.559961   8.083110 3075.444587 8.691269e-08 0
  0.561006   8.207166 3075.424690 8.841119e-08 0
  0.561486   8.339161 3075.406088 8.990969e-08 0
  0.561909   8.471670 3075.379147 9.140818e-08 0
  0.563081   8.592680 3075.356016 9.290668e-08 0
  0.564147   8.714845 3075.339994 9.440516e-08 0
  0.565621   8.830033 3075.316196 9.590365e-08 0
  0.566655   8.951666 3075.295421 9.740215e-08 0
  0.567847   9.070274 3075.271680 9.890065e-08 0
  0.569350   9.183394 3075.247600 1.003991e-07 0
  0.570422   9.302991 3075.228167 1.018976e-07 0
  0.571897   9.415514 3075.214386 1.033961e-07 0
  0.573174   9.530543 3075.186599 1.048946e-07 0
  0.572519   9.541649 3075.187736 1.048946e-07 0
