# vel[cm/s]  width[Hz], freq[Hz], drive[A], fit
  0.602391   0.652293 3083.160036 6.010386e-09 0
  0.602117   0.643272 3083.161601 5.924523e-09 0
  0.601934   0.634142 3083.162520 5.838660e-09 0
  0.602110   0.624634 3083.164190 5.752798e-09 0
  0.601758   0.615672 3083.165733 5.666935e-09 0
  0.601489   0.606614 3083.167050 5.581072e-09 0
  0.601675   0.597096 3083.168739 5.495210e-09 0
  0.601815   0.587631 3083.169812 5.409347e-09 0
  0.601654   0.578458 3083.170855 5.323484e-09 0
  0.601123   0.569630 3083.172344 5.237622e-09 0
  0.601530   0.559912 3083.173715 5.151759e-09 0
  0.601336   0.550759 3083.174961 5.065896e-09 0
  0.601196   0.541549 3083.176331 4.980034e-09 0
  0.601050   0.532341 3083.177817 4.894171e-09 0
  0.600799   0.523221 3083.178955 4.808308e-09 0
  0.600908   0.513783 3083.180372 4.722446e-09 0
  0.600505   0.504779 3083.182112 4.636583e-09 0
  0.600776   0.495209 3083.183401 4.550720e-09 0
  0.600476   0.486106 3083.185044 4.464858e-09 0
  0.600346   0.476863 3083.186573 4.378995e-09 0
  0.600169   0.467638 3083.188847 4.293133e-09 0
  0.599976   0.458439 3083.190839 4.207270e-09 0
  0.599741   0.449259 3083.192705 4.121407e-09 0
  0.599610   0.439998 3083.194189 4.035545e-09 0
  0.599437   0.430760 3083.195725 3.949682e-09 0
  0.599040   0.421669 3083.197868 3.863819e-09 0
  0.598785   0.412479 3083.199409 3.777957e-09 0
  0.598592   0.403234 3083.200921 3.692094e-09 0
  0.598695   0.393788 3083.202593 3.606231e-09 0
  0.598349   0.384631 3083.204302 3.520369e-09 0
  0.598998   0.374853 3083.204541 3.434506e-09 0
  0.598382   0.365848 3083.206188 3.348643e-09 0
  0.597935   0.356726 3083.208298 3.262781e-09 0
  0.597992   0.347310 3083.209973 3.176918e-09 0
  0.597668   0.338102 3083.211897 3.091055e-09 0
  0.597195   0.328949 3083.214686 3.005193e-09 0
  0.597233   0.319549 3083.216524 2.919330e-09 0
  0.597163   0.310200 3083.217454 2.833468e-09 0
  0.596883   0.300898 3083.220171 2.747605e-09 0
  0.590863   0.293965 3083.229464 2.661742e-09 0
  0.569440   0.292751 3083.250645 2.575879e-09 0
  0.550011   0.293619 3083.269833 2.490017e-09 1
  0.526581   0.295874 3083.289991 2.404154e-09 1
  0.502580   0.299164 3083.309505 2.318292e-09 1
  0.476101   0.304187 3083.328794 2.232429e-09 1
  0.449230   0.310296 3083.347356 2.146566e-09 1
  0.423303   0.316560 3083.364142 2.060704e-09 1
  0.396801   0.323731 3083.380823 1.974841e-09 1
  0.371170   0.331374 3083.396037 1.888978e-09 1
  0.346011   0.339538 3083.410181 1.803116e-09 1
  0.320654   0.349141 3083.423500 1.717253e-09 1
  0.296789   0.358521 3083.435883 1.631390e-09 1
  0.273379   0.368920 3083.447220 1.545528e-09 1
  0.251353   0.379128 3083.457319 1.459665e-09 1
  0.230613   0.389066 3083.466056 1.373802e-09 1
  0.210491   0.399744 3083.473270 1.287940e-09 1
  0.190640   0.412017 3083.479753 1.202077e-09 1
  0.172087   0.423925 3083.484742 1.116214e-09 1
  0.154636   0.435563 3083.487836 1.030352e-09 1
  0.137887   0.447780 3083.490238 9.444892e-10 1
  0.122366   0.458740 3083.489754 8.586266e-10 1
  0.107039   0.471980 3083.488580 7.727638e-10 1
  0.092921   0.483253 3083.485339 6.869012e-10 1
  0.079429   0.494622 3083.480346 6.010386e-10 1
  0.066325   0.507606 3083.472508 5.151759e-10 1
  0.053853   0.520912 3083.463407 4.293133e-10 0
  0.042719   0.525195 3083.452106 3.434506e-10 0
  0.030812   0.545864 3083.437695 2.575880e-10 0
  0.020293   0.551170 3083.413066 1.717253e-10 0
  0.009623   0.578650 3083.375061 8.586265e-11 0
  0.009737   0.575993 3083.361983 8.586265e-11 0
