# vel[cm/s]  width[Hz], freq[Hz], drive[A], fit
  0.000623 152.957458 1597.757438 1.788349e-10 0
  0.003312  57.286077 1592.400749 3.576699e-10 0
  0.006907  41.865464 1591.080936 5.365048e-10 0
  0.009312  41.456810 1591.623703 7.153397e-10 0
  0.011997  40.195872 1590.727017 8.941747e-10 1
  0.015520  37.322818 1590.496220 1.073010e-09 1
  0.018622  36.293001 1590.401275 1.251845e-09 1
  0.022090  34.965886 1590.299130 1.430680e-09 1
  0.025855  33.608222 1590.410224 1.609514e-09 1
  0.030175  31.996857 1590.297758 1.788349e-09 1
  0.034580  30.705961 1589.933821 1.967184e-09 1
  0.039598  29.254585 1590.147878 2.146019e-09 1
  0.044442  28.242036 1590.046539 2.324854e-09 1
  0.050174  26.940179 1589.995631 2.503689e-09 1
  0.056856  25.472300 1589.954230 2.682524e-09 1
  0.063417  24.359442 1589.896618 2.861359e-09 1
  0.071401  22.987634 1589.788929 3.040194e-09 1
  0.079073  21.977282 1589.853062 3.219029e-09 1
  0.087920  20.865121 1589.804673 3.397864e-09 1
  0.098332  19.637213 1589.814482 3.576699e-09 1
  0.108560  18.676640 1589.711527 3.755534e-09 1
  0.119006  17.848809 1589.667452 3.934369e-09 1
  0.130026  17.078414 1589.578142 4.113204e-09 1
  0.142055  16.311958 1589.493787 4.292039e-09 1
  0.152811  15.795414 1589.393376 4.470874e-09 1
  0.164217  15.285545 1589.254801 4.649709e-09 1
  0.172826  15.082144 1589.095698 4.828544e-09 0
  0.173999  15.535991 1588.959291 5.007379e-09 0
  0.174335  16.060870 1588.900390 5.186214e-09 0
  0.175423  16.511570 1588.859904 5.365049e-09 0
  0.176053  17.000986 1588.808398 5.543883e-09 0
  0.176639  17.491116 1588.735240 5.722718e-09 0
  0.177512  17.948642 1588.623632 5.901553e-09 0
  0.177920  18.450263 1588.521315 6.080388e-09 0
  0.178140  18.969264 1588.403551 6.259223e-09 0
  0.179231  19.392925 1588.320842 6.438058e-09 0
  0.179296  19.924262 1588.219143 6.616893e-09 0
  0.179865  20.398107 1588.126877 6.795728e-09 0
  0.179833  20.938723 1588.069725 6.974563e-09 0
  0.180276  21.422877 1588.003735 7.153398e-09 0
  0.180536  21.926811 1587.944378 7.332233e-09 0
  0.180930  22.412621 1587.904867 7.511068e-09 0
  0.180718  22.973152 1587.868549 7.689903e-09 0
  0.181350  23.425499 1587.845977 7.868738e-09 0
  0.181822  23.895742 1587.778916 8.047573e-09 0
  0.181874  24.419767 1587.714246 8.226408e-09 0
  0.182620  24.848533 1587.716762 8.405243e-09 0
  0.182584  25.382417 1587.688991 8.584078e-09 0
  0.183005  25.851673 1587.621207 8.762912e-09 0
  0.183013  26.378029 1587.539221 8.941747e-09 0
  0.183753  26.797174 1587.523733 9.120583e-09 0
  0.183776  27.319127 1587.433766 9.299417e-09 0
  0.184090  27.797132 1587.391488 9.478253e-09 0
  0.184412  28.272213 1587.336143 9.657087e-09 0
  0.184178  28.832277 1587.257929 9.835922e-09 0
  0.185036  29.220459 1587.223372 1.001476e-08 0
  0.185057  29.738870 1587.166729 1.019359e-08 0
  0.185463  30.194253 1587.143123 1.037243e-08 0
  0.185895  30.643371 1587.061963 1.055126e-08 0
  0.186038  31.138916 1587.016290 1.073010e-08 0
  0.186114  31.645017 1586.970198 1.090893e-08 0
  0.186414  32.111857 1586.876096 1.108777e-08 0
  0.186759  32.569693 1586.875821 1.126660e-08 0
  0.187089  33.028267 1586.854306 1.144544e-08 0
  0.187416  33.485718 1586.765091 1.162427e-08 0
  0.187561  33.974775 1586.753886 1.180311e-08 0
  0.188204  34.371535 1586.687364 1.198194e-08 0
  0.188355  34.856200 1586.575474 1.216078e-08 0
  0.188984  35.251340 1586.478588 1.233961e-08 0
  0.189485  35.667900 1586.447646 1.251845e-08 0
  0.189563  35.653341 1586.450457 1.251845e-08 0
