# vel[cm/s]  width[Hz], freq[Hz], drive[A], fit
  0.625957   4.698258 3764.282525 5.154494e-08 0
  0.622984   4.652063 3764.288931 5.079569e-08 0
  0.622763   4.584933 3764.309914 5.004644e-08 0
  0.621288   4.527156 3764.314333 4.929719e-08 0
  0.620950   4.460566 3764.338477 4.854795e-08 0
  0.617181   4.418726 3764.348131 4.779870e-08 0
  0.612931   4.379509 3764.367820 4.704945e-08 0
  0.613806   4.303737 3764.376525 4.630020e-08 0
  0.611684   4.248658 3764.395986 4.555096e-08 0
  0.607628   4.206746 3764.409929 4.480171e-08 0
  0.606009   4.147495 3764.417398 4.405246e-08 0
  0.605287   4.081770 3764.430436 4.330322e-08 0
  0.602859   4.027102 3764.454824 4.255397e-08 0
  0.602183   3.960768 3764.472452 4.180472e-08 0
  0.599532   3.907079 3764.480985 4.105547e-08 0
  0.597426   3.849086 3764.504131 4.030622e-08 0
  0.597121   3.779658 3764.514187 3.955698e-08 0
  0.596469   3.711798 3764.541460 3.880773e-08 0
  0.594515   3.652179 3764.565387 3.805848e-08 0
  0.593947   3.583880 3764.579835 3.730924e-08 0
  0.593060   3.516968 3764.603406 3.655999e-08 0
  0.592470   3.448487 3764.618911 3.581074e-08 0
  0.590672   3.386605 3764.634588 3.506149e-08 0
  0.591025   3.312209 3764.652166 3.431225e-08 0
  0.590328   3.243678 3764.670906 3.356300e-08 0
  0.588469   3.181360 3764.685615 3.281375e-08 0
  0.585676   3.123517 3764.671593 3.206450e-08 0
  0.586334   3.047172 3764.683256 3.131526e-08 0
  0.585350   2.979082 3764.703529 3.056601e-08 0
  0.585715   2.904467 3764.710415 2.981676e-08 0
  0.583858   2.840471 3764.718959 2.906752e-08 0
  0.584279   2.765064 3764.737947 2.831827e-08 0
  0.582101   2.702079 3764.751848 2.756902e-08 0
  0.580285   2.636776 3764.769533 2.681977e-08 0
  0.581832   2.556433 3764.780257 2.607053e-08 0
  0.581972   2.482211 3764.797848 2.532128e-08 0
  0.580394   2.415103 3764.821249 2.457203e-08 0
  0.578616   2.348871 3764.837100 2.382278e-08 0
  0.577318   2.280049 3764.854928 2.307354e-08 0
  0.583297   2.183441 3764.870496 2.232429e-08 0
  0.580655   2.119743 3764.886086 2.157504e-08 0
  0.581132   2.044522 3764.898409 2.082580e-08 0
  0.581410   1.969676 3764.920643 2.007655e-08 0
  0.578442   1.906056 3764.937794 1.932730e-08 0
  0.577299   1.835760 3764.955272 1.857805e-08 0
  0.577324   1.761718 3764.970234 1.782881e-08 0
  0.573224   1.699450 3764.991601 1.707956e-08 0
  0.565249   1.647729 3765.014246 1.633031e-08 0
  0.547835   1.621141 3765.049471 1.558106e-08 0
  0.481742   1.751100 3765.118331 1.483182e-08 1
  0.418131   1.918488 3765.171655 1.408257e-08 1
  0.364152   2.086764 3765.219713 1.333332e-08 1
  0.298037   2.407021 3765.268508 1.258407e-08 1
  0.274644   2.458605 3765.268339 1.183483e-08 1
  0.234271   2.699075 3765.300822 1.108558e-08 1
  0.206523   2.855533 3765.293467 1.033633e-08 1
  0.180444   3.030988 3765.318920 9.587085e-09 1
  0.155641   3.239744 3765.310030 8.837838e-09 1
  0.136797   3.373561 3765.303708 8.088590e-09 1
  0.118947   3.519742 3765.340666 7.339343e-09 1
  0.100371   3.745714 3765.314302 6.590095e-09 1
  0.086409   3.855767 3765.358049 5.840848e-09 1
  0.071705   4.051561 3765.303261 5.093788e-09 1
  0.057163   4.338186 3765.276485 4.346728e-09 0
  0.045148   4.543801 3765.387007 3.599669e-09 0
  0.036372   4.467637 3765.263503 2.852609e-09 0
  0.024347   4.928859 3765.379069 2.105549e-09 0
  0.015553   4.981772 3765.317481 1.358489e-09 0
  0.008336   5.109253 3765.222032 7.470598e-10 0
  0.008024   5.269395 3764.888255 7.470598e-10 0
