# vel[cm/s]  width[Hz], freq[Hz], drive[A], fit
  0.002183   6.833572 6759.676829 3.308720e-10 0
  0.006048   5.051011 6759.004402 6.617440e-10 0
  0.009663   5.004742 6759.019881 9.926160e-10 0
  0.013078   4.925035 6759.145394 1.323488e-09 1
  0.017304   4.647274 6759.301721 1.654360e-09 1
  0.021362   4.529259 6759.350523 1.985232e-09 1
  0.025800   4.378287 6759.314147 2.316104e-09 1
  0.030597   4.216745 6759.341220 2.646976e-09 1
  0.035150   4.129878 6759.360767 2.977848e-09 1
  0.040424   3.989735 6759.382887 3.308720e-09 1
  0.045673   3.885141 6759.389277 3.639592e-09 1
  0.051999   3.721446 6759.413269 3.970464e-09 1
  0.058406   3.591480 6759.392565 4.301336e-09 1
  0.065668   3.438781 6759.398539 4.632208e-09 1
  0.073399   3.297253 6759.384068 4.963080e-09 1
  0.081241   3.176316 6759.393522 5.293952e-09 1
  0.090401   3.034127 6759.375947 5.624824e-09 1
  0.100049   2.902965 6759.353857 5.955696e-09 1
  0.110735   2.768499 6759.333055 6.286568e-09 1
  0.122439   2.635947 6759.297055 6.617440e-09 1
  0.135140   2.507609 6759.262116 6.948311e-09 1
  0.148921   2.383795 6759.209612 7.279184e-09 1
  0.163922   2.264004 6759.156719 7.610056e-09 1
  0.180250   2.147845 6759.091148 7.940928e-09 1
  0.196334   2.053006 6759.014432 8.271800e-09 1
  0.212483   1.971506 6758.927163 8.602672e-09 1
  0.227411   1.912428 6758.839043 8.933544e-09 1
  0.236294   1.909654 6758.760691 9.264416e-09 0
  0.238252   1.964191 6758.724511 9.595288e-09 0
  0.239942   2.017644 6758.692784 9.926161e-09 0
  0.239817   2.085691 6758.676629 1.025703e-08 0
  0.241305   2.139749 6758.657350 1.058790e-08 0
  0.240922   2.210102 6758.638602 1.091878e-08 0
  0.241049   2.275782 6758.622995 1.124965e-08 0
  0.241732   2.336114 6758.605842 1.158052e-08 0
  0.241622   2.404037 6758.586858 1.191139e-08 0
  0.242598   2.460744 6758.571232 1.224226e-08 0
  0.242836   2.524698 6758.557534 1.257314e-08 0
  0.242941   2.590168 6758.539503 1.290401e-08 0
  0.243088   2.654941 6758.522963 1.323488e-08 0
  0.243318   2.718837 6758.503311 1.356575e-08 0
  0.243969   2.777529 6758.489429 1.389662e-08 0
  0.244126   2.842088 6758.467550 1.422750e-08 0
  0.244210   2.906790 6758.456768 1.455837e-08 0
  0.244086   2.974723 6758.436919 1.488924e-08 0
  0.244151   3.039937 6758.419395 1.522011e-08 0
  0.244741   3.098452 6758.404450 1.555098e-08 0
  0.244738   3.164283 6758.392868 1.588186e-08 0
  0.244630   3.231864 6758.375288 1.621273e-08 0
  0.245006   3.292829 6758.356042 1.654360e-08 0
  0.245350   3.353798 6758.342223 1.687447e-08 0
  0.245145   3.422605 6758.323045 1.720534e-08 0
  0.245712   3.480186 6758.309561 1.753622e-08 0
  0.245676   3.546480 6758.293559 1.786709e-08 0
  0.245822   3.610063 6758.276055 1.819796e-08 0
  0.245813   3.675647 6758.264696 1.852883e-08 0
  0.246140   3.736613 6758.244231 1.885970e-08 0
  0.246042   3.803583 6758.227226 1.919058e-08 0
  0.246165   3.867202 6758.211763 1.952145e-08 0
  0.246674   3.924787 6758.190988 1.985232e-08 0
  0.247097   3.983208 6758.176655 2.018319e-08 0
  0.247279   4.045527 6758.162364 2.051406e-08 0
  0.246973   4.115958 6758.146547 2.084494e-08 0
  0.247270   4.176270 6758.130219 2.117581e-08 0
  0.247024   4.245800 6758.113671 2.150668e-08 0
  0.247535   4.302215 6758.096690 2.183755e-08 0
  0.247299   4.371557 6758.081434 2.216843e-08 0
  0.247124   4.439935 6758.066811 2.249929e-08 0
  0.247909   4.491072 6758.048666 2.283017e-08 0
  0.248166   4.551487 6758.029310 2.316104e-08 0
  0.248068   4.552426 6758.033955 2.316104e-08 0
