# vel[cm/s]  width[Hz], freq[Hz], drive[A], fit
  0.296816   0.967168 6766.049063 3.598575e-09 0
  0.296417   0.954651 6766.052651 3.547166e-09 0
  0.296498   0.940559 6766.056209 3.495758e-09 0
  0.297529   0.923490 6766.054824 3.444350e-09 0
  0.297044   0.911211 6766.059218 3.392942e-09 0
  0.296695   0.898458 6766.063908 3.341534e-09 0
  0.296127   0.886338 6766.067518 3.290125e-09 0
  0.296393   0.871685 6766.073348 3.238717e-09 0
  0.296302   0.858116 6766.078281 3.187309e-09 0
  0.296052   0.845005 6766.081522 3.135901e-09 0
  0.295417   0.832914 6766.086691 3.084493e-09 0
  0.295442   0.818977 6766.090908 3.033084e-09 0
  0.295870   0.803946 6766.093564 2.981676e-09 0
  0.295246   0.791731 6766.097868 2.930268e-09 0
  0.295343   0.777591 6766.101864 2.878860e-09 0
  0.295310   0.763791 6766.105679 2.827452e-09 0
  0.294500   0.751921 6766.111829 2.776043e-09 0
  0.294436   0.738188 6766.116706 2.724635e-09 0
  0.295627   0.721357 6766.115334 2.673227e-09 0
  0.294996   0.708944 6766.120679 2.621819e-09 0
  0.292514   0.700662 6766.132651 2.570411e-09 0
  0.291699   0.688770 6766.140731 2.519002e-09 0
  0.294732   0.667820 6766.136264 2.467594e-09 0
  0.292300   0.659182 6766.145753 2.416186e-09 0
  0.290827   0.648385 6766.156108 2.364778e-09 0
  0.289526   0.637209 6766.164899 2.313370e-09 0
  0.288870   0.624563 6766.170776 2.261961e-09 0
  0.286215   0.615618 6766.184024 2.210553e-09 0
  0.280685   0.612493 6766.203550 2.159145e-09 0
  0.277658   0.604975 6766.217662 2.107737e-09 0
  0.272303   0.601470 6766.235313 2.056328e-09 0
  0.266289   0.599533 6766.254001 2.004920e-09 0
  0.259574   0.599243 6766.272837 1.953512e-09 0
  0.252649   0.599451 6766.291453 1.902104e-09 1
  0.245682   0.599982 6766.308945 1.850696e-09 1
  0.238437   0.600976 6766.326627 1.799287e-09 1
  0.231583   0.601154 6766.344028 1.747879e-09 1
  0.224253   0.602607 6766.360589 1.696471e-09 1
  0.216698   0.604778 6766.376713 1.645063e-09 1
  0.210007   0.604521 6766.393133 1.593655e-09 1
  0.202397   0.607023 6766.409230 1.542246e-09 1
  0.194972   0.609237 6766.424411 1.490838e-09 1
  0.187780   0.610799 6766.439141 1.439430e-09 1
  0.180056   0.614219 6766.454721 1.388022e-09 1
  0.173101   0.615310 6766.469090 1.336613e-09 1
  0.165799   0.617841 6766.481766 1.285205e-09 1
  0.158519   0.620324 6766.494924 1.233797e-09 1
  0.150934   0.624448 6766.507525 1.182389e-09 1
  0.143875   0.626613 6766.519696 1.130981e-09 1
  0.136529   0.630404 6766.530777 1.079572e-09 1
  0.129366   0.633605 6766.541912 1.028164e-09 1
  0.122117   0.637708 6766.552480 9.767560e-10 1
  0.114693   0.643354 6766.561606 9.253478e-10 1
  0.107760   0.646690 6766.570694 8.739395e-10 1
  0.100179   0.654865 6766.577074 8.225314e-10 1
  0.093661   0.656668 6766.583207 7.711232e-10 1
  0.086240   0.665696 6766.587357 7.197150e-10 1
  0.079222   0.672956 6766.589099 6.683068e-10 1
  0.072785   0.676145 6766.589090 6.168985e-10 1
  0.065820   0.685367 6766.585748 5.654903e-10 1
  0.059190   0.692804 6766.580348 5.140821e-10 1
  0.053127   0.694690 6766.574852 4.626739e-10 1
  0.046775   0.700840 6766.559878 4.112657e-10 1
  0.039995   0.716923 6766.541605 3.598575e-10 1
  0.034047   0.721021 6766.515755 3.084493e-10 1
  0.027783   0.736206 6766.488540 2.570410e-10 1
  0.021983   0.741468 6766.445737 2.056328e-10 1
  0.015969   0.763775 6766.394161 1.542246e-10 1
  0.010387   0.779201 6766.329097 1.028164e-10 1
  0.004870   0.807647 6766.208349 5.140821e-11 0
  0.004939   0.829182 6766.183747 5.140821e-11 0
