# vel[cm/s]  width[Hz], freq[Hz], drive[A], fit
  0.532488   4.731095 3787.089333 2.128519e-08 0
  0.531941   4.667821 3787.099475 2.097893e-08 0
  0.528886   4.626222 3787.114887 2.067266e-08 0
  0.527935   4.565885 3787.131431 2.036640e-08 0
  0.525291   4.519890 3787.144304 2.006014e-08 0
  0.526035   4.444561 3787.159658 1.975388e-08 0
  0.524359   4.389568 3787.182019 1.944762e-08 0
  0.522354   4.337033 3787.203252 1.914136e-08 0
  0.518094   4.302605 3787.231768 1.883509e-08 0
  0.517488   4.237745 3787.250712 1.852883e-08 0
  0.517767   4.165373 3787.275031 1.822257e-08 0
  0.517251   4.099471 3787.297338 1.791631e-08 0
  0.516348   4.036537 3787.311764 1.761005e-08 0
  0.515352   3.973923 3787.332923 1.730379e-08 0
  0.515226   3.904635 3787.344376 1.699752e-08 0
  0.514989   3.836037 3787.357378 1.669126e-08 0
  0.515472   3.762023 3787.378295 1.638500e-08 0
  0.513614   3.705178 3787.386437 1.607874e-08 0
  0.513171   3.637633 3787.406000 1.577248e-08 0
  0.513077   3.567623 3787.426919 1.546622e-08 0
  0.512460   3.501313 3787.436856 1.515995e-08 0
  0.512096   3.432948 3787.453479 1.485369e-08 0
  0.511690   3.364881 3787.465490 1.454743e-08 0
  0.512417   3.289390 3787.473440 1.424117e-08 0
  0.512211   3.219808 3787.493215 1.393491e-08 0
  0.510533   3.159520 3787.502739 1.362865e-08 0
  0.510242   3.090211 3787.518246 1.332238e-08 0
  0.509390   3.024213 3787.534277 1.301612e-08 0
  0.508888   2.955959 3787.549934 1.270986e-08 0
  0.507578   2.892174 3787.565730 1.240360e-08 0
  0.506982   2.824162 3787.574043 1.209734e-08 0
  0.506850   2.753177 3787.594784 1.179107e-08 0
  0.506249   2.685052 3787.601813 1.148481e-08 0
  0.506456   2.612179 3787.621641 1.117855e-08 0
  0.505525   2.545232 3787.643228 1.087229e-08 0
  0.501779   2.492244 3787.650966 1.056603e-08 0
  0.499502   2.431027 3787.659884 1.025977e-08 0
  0.500024   2.355941 3787.672673 9.953505e-09 0
  0.499241   2.286865 3787.692133 9.647244e-09 0
  0.497027   2.224000 3787.714925 9.340981e-09 0
  0.493588   2.165413 3787.750222 9.034720e-09 0
  0.486622   2.122144 3787.781515 8.728458e-09 0
  0.482577   2.064949 3787.810033 8.422196e-09 0
  0.486928   1.971998 3787.838916 8.115935e-09 0
  0.468231   1.972402 3787.881465 7.809673e-09 1
  0.424590   2.088794 3787.937197 7.503411e-09 1
  0.383310   2.221562 3787.967621 7.197150e-09 1
  0.342733   2.378675 3788.003796 6.890888e-09 1
  0.303587   2.566948 3788.020064 6.584626e-09 1
  0.273218   2.719700 3788.032513 6.278365e-09 1
  0.241951   2.921225 3788.052570 5.972103e-09 1
  0.217727   3.079845 3788.041820 5.665841e-09 1
  0.196394   3.228641 3788.048527 5.357392e-09 1
  0.175311   3.408159 3788.022703 5.048943e-09 1
  0.154408   3.633662 3788.033637 4.740493e-09 1
  0.136960   3.830040 3788.034088 4.432044e-09 1
  0.124769   3.911590 3788.025117 4.123595e-09 1
  0.109909   4.108362 3788.020615 3.815146e-09 1
  0.098865   4.195523 3787.952640 3.506696e-09 1
  0.085141   4.444659 3787.903250 3.198247e-09 1
  0.074980   4.561560 3787.918512 2.889798e-09 1
  0.063193   4.834691 3787.913667 2.581348e-09 1
  0.054701   4.917914 3787.925921 2.272899e-09 1
  0.045917   5.063609 3787.925604 1.964450e-09 1
  0.037912   5.169468 3787.899922 1.656001e-09 1
  0.029547   5.383192 3787.707936 1.347551e-09 0
  0.024542   4.975542 3788.011784 1.039102e-09 0
  0.016327   5.236680 3787.625195 7.306529e-10 0
  0.007519   6.594479 3788.038768 4.222036e-10 0
  0.007184   4.950755 3787.486423 3.084493e-10 0
  0.005956   6.073486 3787.901952 3.084493e-10 0
